date_range_end,placekey,visitor
2021-07-26,222-222@627-s4k-cwk,"{'10025': 11, '11203': 4, '11206': 4, '11211': 4, '11221': 4, '11222': 4}"
2021-07-26,222-222@627-s4k-d7q,"{'10019': 4, '11414': 7, '11417': 7}"
2021-07-26,222-222@627-s4k-nqz,"{'10024': 9, '10025': 9, '10027': 4, '10031': 8, '10032': 4, '10034': 4, '10463': 4, '10471': 4, '11106': 4, '11214': 8, '11221': 4, '11362': 4, '11363': 4, '11372': 4, '11375': 4, '11377': 4, '11379': 4, '11416': 4, '11420': 4}"
2021-07-26,222-222@627-s4k-psq,"{'10025': 4, '10027': 4, '10031': 4, '10452': 4, '11101': 4, '11104': 4, '11211': 4, '11212': 4, '11213': 6, '11222': 4}"
2021-07-26,222-222@627-s4m-4jv,"{'10027': 4, '10031': 8, '10032': 4, '10039': 8, '10451': 4, '10455': 4, '11103': 4}"
2021-07-26,222-222@627-s4m-75z,"{'10025': 9, '10027': 5, '11104': 4, '11377': 4}"
2021-07-26,222-222@627-s4m-835,"{'10025': 11, '10306': 4, '11103': 4}"
2021-07-26,222-222@627-s4m-9j9,"{'10021': 4, '10025': 22, '10026': 9, '10030': 4, '10031': 4, '10037': 4, '10039': 4, '10075': 4, '10463': 4, '11370': 4, '11372': 4, '11377': 4}"
2021-07-26,222-222@627-s4m-btv,"{'10024': 4, '10025': 4, '10455': 4, '10456': 4, '10459': 4}"
2021-07-26,222-222@627-s4m-ckf,"{'10025': 4, '10128': 4, '11101': 4}"
2021-07-26,222-222@627-s4m-ffz,"{'10001': 4, '10030': 4, '10034': 4, '10037': 4}"
2021-07-26,222-222@627-s4m-v4v,"{'10022': 4, '10029': 4, '10065': 4}"
2021-07-26,222-222@627-s4m-wc5,"{'10010': 4, '10016': 4, '10030': 4, '10037': 4, '10467': 4, '11368': 4, '11369': 4}"
2021-07-26,222-222@627-s4m-y7q,"{'10028': 4, '10128': 4, '10451': 4, '10455': 4, '10456': 4, '10457': 4, '10458': 4, '11204': 4}"
2021-07-26,222-222@627-s4n-2tv,"{'10021': 4, '10028': 4, '10065': 4, '10075': 4}"
2021-07-26,222-222@627-s4n-4y9,"{'10022': 4, '10028': 4, '10065': 4, '10128': 4, '10451': 4, '10454': 4, '11374': 4, '11375': 4}"
2021-07-26,222-222@627-s4n-52k,"{'10021': 4, '10075': 4, '11218': 4}"
2021-07-26,222-222@627-s4n-5mk,"{'10024': 4, '10458': 4, '10469': 4, '11207': 4}"
2021-07-26,222-222@627-s4n-b6k,"{'10007': 4, '10029': 4, '10280': 4, '10282': 4, '11201': 4, '11211': 4, '11358': 4}"
2021-07-26,222-222@627-s4n-ch5,"{'10019': 4, '10023': 8, '10024': 4, '10069': 8}"
2021-07-26,222-222@627-s4n-q4v,"{'10029': 4, '10452': 4, '10455': 4, '10459': 4, '10472': 4, '11385': 4}"
2021-07-26,222-222@627-s4n-q9f,"{'10025': 4, '10027': 4, '10029': 8, '10031': 4, '10128': 12, '10451': 4, '10455': 4, '10456': 4, '10459': 4, '10460': 4, '10462': 4, '11102': 4, '11104': 4, '11106': 4, '11212': 4, '11219': 4, '11226': 4, '11230': 4, '11373': 4, '11377': 8}"
2021-07-26,222-222@627-s4n-qcq,"{'10029': 4, '10037': 4, '10128': 8, '10461': 5, '11363': 4, '11368': 4, '11372': 4, '11423': 4, '11432': 4}"
2021-07-26,222-222@627-s4n-w49,"{'10017': 4, '10022': 4, '10031': 4, '10032': 4, '11373': 6, '11377': 6}"
2021-07-26,222-222@627-s4q-v75,"{'10019': 4, '10023': 9, '10069': 9, '10467': 4, '11101': 4, '11238': 4, '11370': 4, '11372': 4}"
2021-07-26,222-222@627-s4q-wx5,"{'10019': 4, '10023': 8, '10024': 4, '10069': 4, '10128': 4, '11229': 8, '11235': 4, '11365': 4, '11366': 4}"
2021-07-26,222-222@627-s4q-zvf,"{'10005': 4, '10009': 4, '10019': 4, '10023': 8, '10025': 5, '10027': 4, '10030': 8, '10033': 4, '10036': 4, '10037': 4, '10038': 4, '10039': 4, '10069': 4, '10453': 4, '10457': 4, '10458': 8, '11101': 4, '11104': 4, '11214': 4, '11223': 4, '11234': 4, '11235': 8}"
2021-07-26,222-222@627-s4r-28v,"{'10023': 13, '10024': 4, '11205': 4, '11238': 4}"
2021-07-26,222-222@627-s4r-3kf,"{'10019': 5, '10023': 5, '10034': 4, '10069': 5, '10472': 4, '11105': 4, '11222': 4, '11370': 4, '11372': 4, '11373': 4, '11434': 7, '11691': 4, '11692': 4}"
2021-07-26,222-222@627-s4r-5j9,"{'10007': 4, '10013': 4, '10019': 9, '10023': 8, '10024': 8, '10025': 4, '10033': 4, '10036': 4, '10038': 4, '10040': 4}"
2021-07-26,222-222@627-s4r-5s5,"{'10016': 4, '10017': 4, '10019': 4, '10023': 4, '10069': 4}"
2021-07-26,222-222@627-s4r-hkf,"{'11104': 4, '11377': 4, '11420': 4}"
2021-07-26,222-222@627-s4r-vs5,"{'10023': 4, '10024': 4, '10451': 4, '10452': 4, '10454': 4, '10457': 4, '10458': 4, '10472': 4}"
2021-07-26,222-222@627-s4s-bp9,"{'10003': 4, '10010': 4, '10027': 4, '10030': 4, '10035': 4, '10037': 4, '10468': 4, '11203': 4, '11221': 4, '11226': 4, '11233': 4, '11235': 4, '11413': 4, '11434': 4}"
2021-07-26,222-222@627-s4s-brk,"{'10025': 4, '10027': 5, '10456': 4, '10468': 4}"
2021-07-26,222-222@627-s4s-cbk,"{'10011': 5, '10014': 5, '10027': 4, '10032': 4}"
2021-07-26,222-222@627-s4s-ch5,"{'10453': 4, '10468': 4, '11208': 4}"
2021-07-26,222-222@627-s4s-k4v,"{'10027': 4, '10034': 4, '11224': 4, '11235': 4}"
2021-07-26,222-222@627-s4s-m6k,"{'10027': 8, '10452': 4, '10453': 4, '11236': 4}"
2021-07-26,222-222@627-s4s-nwk,"{'10027': 4, '11216': 6, '11373': 4, '11377': 4}"
