date_range_end,placekey,visitor
2021-01-04,222-222@627-s4k-cwk,"{'10024': 4, '10025': 4, '10034': 4, '11354': 4, '11358': 4}"
2021-01-04,222-222@627-s4k-d7q,"{'10026': 4, '10461': 4, '10462': 4, '10467': 4, '10469': 4, '11203': 4, '11209': 4, '11234': 4, '11236': 4, '11421': 4}"
2021-01-04,222-222@627-s4k-fvf,"{'10025': 4, '10029': 4, '10464': 4, '10466': 4, '10475': 4, '11218': 4, '11226': 4}"
2021-01-04,222-222@627-s4k-kzz,"{'10463': 4, '11213': 4, '11216': 4}"
2021-01-04,222-222@627-s4k-nqz,"{'10024': 10, '10025': 19, '11436': 4}"
2021-01-04,222-222@627-s4k-p35,"{'10024': 4, '10025': 4, '10461': 4, '11354': 4, '11355': 4}"
2021-01-04,222-222@627-s4k-psq,"{'10463': 4, '10469': 6, '11368': 12}"
2021-01-04,222-222@627-s4m-4jv,"{'10026': 4, '10027': 4, '11230': 4, '11385': 4}"
2021-01-04,222-222@627-s4m-75z,"{'10025': 4, '10027': 4, '10031': 4}"
2021-01-04,222-222@627-s4m-835,"{'11101': 4, '11106': 4, '11204': 4, '11207': 4}"
2021-01-04,222-222@627-s4m-9j9,"{'10025': 18, '10026': 4, '10027': 4, '10030': 4, '10037': 4, '11105': 4, '11412': 4, '11413': 4, '11422': 4, '11434': 4}"
2021-01-04,222-222@627-s4m-ckf,"{'10007': 4, '10013': 4, '10023': 4, '10025': 4, '10069': 4, '11373': 4, '11377': 4}"
2021-01-04,222-222@627-s4m-vzz,"{'10128': 4, '11374': 4, '11377': 4, '11379': 4, '11419': 9}"
2021-01-04,222-222@627-s4m-wc5,"{'10023': 4, '10305': 4, '11105': 4}"
2021-01-04,222-222@627-s4m-y7q,"{'10028': 4, '10128': 9, '11236': 4}"
2021-01-04,222-222@627-s4n-52k,"{'10021': 4, '10028': 8, '10075': 8, '10312': 4}"
2021-01-04,222-222@627-s4n-5mk,"{'10021': 4, '10075': 4, '11374': 4}"
2021-01-04,222-222@627-s4n-6c5,"{'10021': 4, '10075': 4, '10468': 4}"
2021-01-04,222-222@627-s4n-b6k,"{'10024': 4, '10034': 4, '11211': 4, '11222': 4}"
2021-01-04,222-222@627-s4n-mc5,"{'10453': 4, '11358': 4, '11365': 4}"
2021-01-04,222-222@627-s4n-pn5,"{'10010': 4, '10011': 4, '10029': 8, '11216': 4}"
2021-01-04,222-222@627-s4n-q4v,"{'10002': 4, '10039': 4, '10468': 4, '11105': 4, '11370': 4}"
