date_range_end,placekey,visitor
2021-05-10,222-222@627-s4k-d7q,"{'10023': 4, '10025': 8, '10029': 8, '10030': 4, '10037': 4, '10466': 4, '10469': 4, '11104': 4, '11368': 4, '11377': 4}"
2021-05-10,222-222@627-s4k-kzz,"{'10024': 4, '11207': 4, '11221': 4, '11385': 4}"
2021-05-10,222-222@627-s4k-nqz,"{'10021': 8, '10022': 4, '10024': 12, '10025': 20, '10027': 4, '10030': 4, '10031': 4, '10039': 4, '10065': 8, '10462': 4, '10473': 4, '11208': 4, '11214': 4, '11225': 4}"
2021-05-10,222-222@627-s4k-p35,"{'10021': 13, '10022': 4, '10024': 5, '10025': 8, '10030': 4, '10037': 4, '10039': 4, '10065': 4, '10075': 4, '11212': 4, '11434': 4}"
2021-05-10,222-222@627-s4k-psq,"{'10019': 4, '10024': 8, '10025': 4, '10026': 4, '10029': 4, '10467': 4, '11423': 4, '11427': 4, '11428': 4, '11434': 5}"
2021-05-10,222-222@627-s4m-4jv,"{'10019': 4, '10023': 4, '10025': 8, '10027': 4, '10035': 4, '10069': 4}"
2021-05-10,222-222@627-s4m-575,"{'10025': 8, '10026': 4, '10032': 7, '10128': 4, '10312': 4}"
2021-05-10,222-222@627-s4m-75z,"{'10025': 24, '10026': 4, '10027': 28, '10034': 4, '11226': 4, '11364': 4}"
2021-05-10,222-222@627-s4m-835,"{'10025': 9, '10027': 5, '10452': 4}"
2021-05-10,222-222@627-s4m-9j9,"{'10023': 4, '10025': 13, '10027': 4, '10033': 9, '10040': 9, '10069': 4, '10314': 4, '10454': 4, '10466': 4, '11238': 4}"
2021-05-10,222-222@627-s4m-btv,"{'10024': 6, '10025': 14, '10456': 4, '10459': 4}"
2021-05-10,222-222@627-s4m-ckf,"{'10023': 4, '10031': 4, '10032': 4, '11385': 4}"
2021-05-10,222-222@627-s4m-ffz,"{'10025': 4, '10029': 4, '10451': 4, '10456': 4}"
2021-05-10,222-222@627-s4m-v4v,"{'10021': 4, '10022': 5, '10024': 4, '10028': 13, '10075': 8, '10128': 4}"
2021-05-10,222-222@627-s4m-vzz,"{'10028': 4, '10075': 4, '11373': 4}"
2021-05-10,222-222@627-s4m-wc5,"{'10003': 4, '10009': 4, '10473': 4}"
2021-05-10,222-222@627-s4m-y7q,"{'10016': 4, '10028': 4, '10029': 4, '10035': 4, '10128': 4, '10471': 4}"
2021-05-10,222-222@627-s4n-2tv,"{'10021': 4, '10028': 4, '10065': 4, '10075': 4, '10307': 4, '10309': 4}"
2021-05-10,222-222@627-s4n-4y9,"{'10022': 8, '10065': 4, '10460': 4, '11374': 4, '11375': 4}"
2021-05-10,222-222@627-s4n-5mk,"{'10021': 4, '10028': 4, '10075': 8, '11374': 4}"
2021-05-10,222-222@627-s4n-5pv,"{'10028': 4, '10075': 4, '11230': 4, '11377': 4}"
2021-05-10,222-222@627-s4n-6c5,"{'11105': 4, '11213': 4, '11370': 4}"
2021-05-10,222-222@627-s4n-b6k,"{'10014': 4, '10024': 4, '10028': 4, '10033': 4, '10040': 4, '10075': 4, '10466': 4, '11204': 4, '11223': 4}"
2021-05-10,222-222@627-s4n-ch5,"{'10024': 4, '10031': 4, '11366': 4, '11374': 4, '11375': 4, '11423': 4, '11432': 4}"
2021-05-10,222-222@627-s4n-nbk,"{'10003': 4, '10011': 4, '10019': 8, '10022': 4, '10023': 4, '10024': 8, '10026': 4, '10065': 4, '10128': 8, '11414': 4}"
2021-05-10,222-222@627-s4n-pn5,"{'10029': 4, '10454': 4, '11370': 4, '11372': 4}"
2021-05-10,222-222@627-s4n-q9f,"{'10023': 4, '10025': 4, '10027': 4, '10029': 21, '10039': 4, '10069': 4, '10128': 5, '10451': 4, '10453': 4, '10456': 4, '10458': 4, '11207': 4, '11208': 4, '11213': 4, '11238': 4}"
2021-05-10,222-222@627-s4n-qcq,"{'10009': 4, '10021': 4, '10029': 12, '10065': 4, '10128': 12, '10451': 4, '10456': 4, '10457': 4, '10460': 4, '11203': 4, '11234': 4, '11385': 4}"
2021-05-10,222-222@627-s4n-skf,"{'10003': 4, '10010': 4, '10028': 5, '10128': 5, '11434': 4}"
2021-05-10,222-222@627-s4n-tn5,"{'10028': 4, '10075': 4, '10314': 4, '11214': 4}"
2021-05-10,222-222@627-s4n-vxq,"{'10028': 12, '10075': 4, '10128': 8, '11104': 4, '11373': 4, '11377': 8}"
2021-05-10,222-222@627-s4n-xbk,"{'10019': 4, '10024': 4, '10026': 4, '10128': 4, '10458': 4}"
2021-05-10,222-222@627-s4p-3nq,"{'10128': 4, '11206': 4, '11237': 4}"
2021-05-10,222-222@627-s4q-v75,"{'10023': 9, '10024': 4, '10069': 9, '11419': 4}"
2021-05-10,222-222@627-s4q-wx5,"{'10019': 8, '10023': 12, '10069': 12, '10455': 4, '11101': 8, '11109': 8, '11365': 4, '11366': 4, '11385': 4}"
2021-05-10,222-222@627-s4q-zvf,"{'10002': 4, '10003': 4, '10009': 8, '10019': 5, '10023': 4, '10025': 4, '10026': 8, '10027': 4, '10465': 4, '11213': 4, '11373': 4}"
2021-05-10,222-222@627-s4r-28v,"{'10023': 13, '10024': 12, '10035': 4, '10037': 4, '10472': 7}"
2021-05-10,222-222@627-s4r-2p9,"{'10019': 4, '10023': 4, '11374': 4}"
2021-05-10,222-222@627-s4r-3dv,"{'10024': 4, '10028': 4, '10075': 4, '10454': 4, '10455': 4, '11238': 4}"
2021-05-10,222-222@627-s4r-3kf,"{'10009': 4, '10019': 6, '10023': 6, '10028': 4, '10069': 6, '10128': 4, '10460': 4, '11236': 4}"
2021-05-10,222-222@627-s4r-5j9,"{'10019': 4, '10023': 8, '10069': 4}"
2021-05-10,222-222@627-s4r-hkf,"{'10019': 10, '10023': 6, '10036': 4, '10069': 6, '10309': 4, '11214': 4, '11223': 4, '11360': 5}"
2021-05-10,222-222@627-s4r-q75,"{'10024': 8, '10029': 5, '10307': 4, '10309': 4}"
2021-05-10,222-222@627-s4s-bp9,"{'10027': 4, '10030': 4, '10037': 4, '10468': 4}"
2021-05-10,222-222@627-s4s-brk,"{'10027': 8, '10029': 4, '10030': 4, '10031': 4, '10037': 4, '10039': 4, '10303': 4, '10314': 4, '10465': 4, '10468': 4, '11105': 4}"
2021-05-10,222-222@627-s4s-c5z,"{'10027': 8, '10035': 4, '10037': 4}"
2021-05-10,222-222@627-s4s-ch5,"{'10027': 14, '10031': 4, '10032': 6, '10473': 4, '11374': 4, '11385': 4}"
2021-05-10,222-222@627-s4s-k2k,"{'10025': 4, '10027': 4, '10034': 4, '10040': 4}"
