date_range_end,placekey,visitor
2021-01-25,222-222@627-s4k-d7q,"{'10024': 4, '10025': 8, '10026': 4, '10030': 4, '10032': 4, '10033': 4, '10035': 4, '10037': 4}"
2021-01-25,222-222@627-s4k-kpv,"{'10024': 4, '10025': 4, '11220': 4}"
2021-01-25,222-222@627-s4k-kzz,"{'10024': 8, '10025': 4, '11214': 4, '11226': 4, '11372': 4, '11419': 4}"
2021-01-25,222-222@627-s4k-nqz,"{'10007': 4, '10013': 4, '10021': 4, '10024': 11, '10025': 11, '10306': 4, '10455': 4, '10460': 4, '11104': 4, '11221': 4, '11226': 4, '11229': 4, '11230': 4, '11237': 4}"
2021-01-25,222-222@627-s4k-p35,"{'10025': 4, '10456': 4, '11364': 4, '11365': 4, '11413': 4, '11422': 4}"
2021-01-25,222-222@627-s4k-psq,"{'10024': 5, '10025': 5, '10031': 4}"
2021-01-25,222-222@627-s4m-75z,"{'10023': 4, '10024': 4, '10025': 9, '10027': 9, '10031': 4, '10032': 4, '11106': 4}"
2021-01-25,222-222@627-s4m-9j9,"{'10025': 10, '10453': 4, '10461': 4, '11206': 4, '11422': 4, '11435': 4}"
2021-01-25,222-222@627-s4m-ckf,"{'10024': 4, '10025': 12, '10455': 4, '10456': 4, '11106': 4, '11225': 4}"
2021-01-25,222-222@627-s4m-wc5,"{'10003': 5, '10032': 4, '10306': 4, '11201': 4, '11231': 4, '11419': 4}"
2021-01-25,222-222@627-s4n-4y9,"{'10021': 4, '10028': 4, '10075': 8, '10464': 4, '10475': 4, '11206': 4, '11212': 4, '11216': 4, '11221': 4, '11236': 4, '11374': 4, '11375': 4}"
2021-01-25,222-222@627-s4n-b6k,"{'10019': 4, '10024': 4, '10025': 4, '10026': 4, '11385': 4, '11694': 4}"
2021-01-25,222-222@627-s4n-mc5,"{'10027': 4, '10030': 4, '11212': 4}"
2021-01-25,222-222@627-s4n-nbk,"{'10023': 4, '10024': 4, '11414': 4}"
2021-01-25,222-222@627-s4n-q9f,"{'10009': 4, '10025': 4, '10026': 4, '10029': 11, '10128': 10, '10451': 4, '10456': 4, '11214': 4, '11230': 4, '11372': 4, '11373': 4, '11423': 4, '11432': 4}"
2021-01-25,222-222@627-s4n-qcq,"{'10019': 4, '10024': 4, '10025': 4, '10029': 8, '10035': 4, '10036': 4, '10128': 8, '10472': 4, '11234': 4}"
2021-01-25,222-222@627-s4n-skf,"{'10003': 4, '10010': 4, '10028': 4, '10128': 9}"
2021-01-25,222-222@627-s4n-vxq,"{'10002': 4, '10007': 4, '10038': 4, '10128': 4, '11201': 4, '11360': 4, '11361': 4}"
2021-01-25,222-222@627-s4q-v75,"{'10019': 4, '10023': 14, '10025': 8, '10069': 14, '11204': 4, '11229': 4, '11230': 4, '11357': 4, '11362': 4, '11363': 4, '11373': 4}"
2021-01-25,222-222@627-s4q-vpv,"{'11223': 5, '11238': 4, '11239': 4}"
2021-01-25,222-222@627-s4q-wx5,"{'10019': 10, '10023': 14, '10024': 4, '10069': 6, '11101': 4, '11106': 4, '11228': 4, '11377': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-01-25,222-222@627-s4q-zvf,"{'10306': 4, '10312': 4, '10451': 4, '10465': 4, '11101': 4, '11204': 4, '11214': 4, '11234': 4, '11237': 4, '11238': 4, '11354': 4, '11357': 4, '11373': 6, '11374': 6, '11377': 4, '11385': 4}"
2021-01-25,222-222@627-s4r-28v,"{'10019': 4, '10023': 10, '10024': 5}"
2021-01-25,222-222@627-s4r-3dv,"{'10016': 4, '10021': 4, '10023': 4, '10024': 4, '10075': 4, '10463': 4, '10471': 4, '11372': 4, '11375': 4}"
2021-01-25,222-222@627-s4r-3kf,"{'10019': 8, '10023': 4, '10025': 4, '10069': 4}"
2021-01-25,222-222@627-s4r-hkf,"{'10023': 4, '10027': 4, '10069': 4, '10461': 4, '10462': 4, '11103': 5, '11360': 4, '11377': 5, '11691': 4, '11692': 4}"
2021-01-25,222-222@627-s4r-p35,"{'10023': 4, '10024': 4, '11226': 4, '11358': 4, '11361': 4, '11370': 5, '11372': 5, '11432': 4, '11435': 4}"
2021-01-25,222-222@627-s4r-vs5,"{'10019': 4, '10023': 4, '10069': 4, '11375': 4}"
