date_range_end,placekey,visitor
2020-08-24,222-222@627-s4k-d7q,"{'10025': 4, '10454': 4, '10455': 4, '11203': 6, '11210': 6}"
2020-08-24,222-222@627-s4k-fvf,"{'10027': 4, '10031': 4, '11385': 4}"
2020-08-24,222-222@627-s4k-kzz,"{'11213': 4, '11225': 4, '11368': 4, '11373': 4, '11412': 4, '11433': 4, '11434': 4}"
2020-08-24,222-222@627-s4k-nqz,"{'10003': 4, '10024': 6, '10025': 6, '10029': 4, '10464': 4, '10466': 4, '10475': 4, '11377': 4, '11378': 4}"
2020-08-24,222-222@627-s4k-p35,"{'10025': 4, '10037': 4, '10457': 4, '11205': 4, '11216': 4, '11238': 4}"
2020-08-24,222-222@627-s4k-psq,"{'10029': 4, '10030': 4, '10035': 4, '10039': 4, '10451': 4, '10452': 8, '10469': 4, '10472': 4, '11385': 4}"
2020-08-24,222-222@627-s4m-575,"{'10026': 4, '10463': 5, '10471': 5}"
2020-08-24,222-222@627-s4m-75z,"{'10024': 4, '10025': 8, '10027': 4, '10451': 4, '10455': 4, '10456': 4, '11235': 4}"
2020-08-24,222-222@627-s4m-835,"{'10025': 12, '10027': 8, '10030': 4, '10037': 4}"
2020-08-24,222-222@627-s4m-9j9,"{'10019': 4, '10023': 4, '10024': 8, '10025': 23, '10026': 4, '10027': 4, '10029': 4, '10030': 4, '10035': 4, '10037': 4, '10069': 4, '10456': 4, '10457': 4, '11418': 4, '11432': 4, '11434': 4}"
2020-08-24,222-222@627-s4m-btv,"{'10025': 8, '10454': 4, '10455': 4}"
2020-08-24,222-222@627-s4m-ckf,"{'10025': 8, '10029': 4, '10468': 6, '11212': 4, '11372': 4}"
2020-08-24,222-222@627-s4m-ffz,"{'10025': 4, '10026': 4, '10460': 4}"
2020-08-24,222-222@627-s4m-vzz,"{'10028': 4, '10128': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2020-08-24,222-222@627-s4n-2tv,"{'10028': 4, '10075': 4, '10463': 4, '10468': 4, '11220': 4}"
2020-08-24,222-222@627-s4n-4y9,"{'10457': 6, '10458': 6, '10459': 4, '10460': 8, '11102': 4, '11105': 4}"
2020-08-24,222-222@627-s4n-5fz,"{'10028': 4, '10075': 4, '11102': 4, '11362': 4}"
2020-08-24,222-222@627-s4n-5mk,"{'10028': 4, '10075': 4, '10458': 6, '11101': 4, '11104': 4, '11377': 4}"
2020-08-24,222-222@627-s4n-6c5,"{'10028': 4, '10312': 4, '10454': 4, '11421': 4}"
2020-08-24,222-222@627-s4n-b6k,"{'10024': 8, '10030': 4, '10037': 4, '11207': 4, '11214': 4, '11220': 4, '11221': 4, '11225': 4, '11228': 4, '11691': 4}"
2020-08-24,222-222@627-s4n-ch5,"{'10016': 4, '10018': 4, '10024': 4}"
2020-08-24,222-222@627-s4n-nbk,"{'10032': 4, '10453': 7, '10461': 4, '11369': 4, '11370': 4, '11378': 4, '11379': 4, '11414': 4}"
2020-08-24,222-222@627-s4n-pn5,"{'10029': 4, '10035': 4, '11203': 4, '11208': 4, '11373': 4, '11374': 4}"
2020-08-24,222-222@627-s4n-q4v,"{'10005': 4, '10029': 9, '10038': 4, '10128': 8, '11229': 4, '11235': 4, '11357': 4}"
2020-08-24,222-222@627-s4n-q9f,"{'10009': 4, '10026': 16, '10027': 8, '10029': 16, '10030': 4, '10031': 4, '10035': 8, '10037': 4, '10039': 4, '10302': 4, '10314': 4, '10451': 8, '10452': 14, '10453': 4, '10455': 4, '10456': 12, '10460': 4, '10462': 4, '10467': 4, '10468': 4, '10472': 12, '11102': 4, '11103': 4, '11208': 4, '11216': 4, '11218': 4, '11225': 4, '11229': 4, '11230': 4, '11365': 4, '11366': 4, '11368': 8, '11377': 4, '11421': 4, '11423': 4, '11427': 4, '11428': 4, '11433': 4, '11435': 4}"
