date_range_end,placekey,visitor
2020-11-09,222-222@627-s4k-d7q,"{'10002': 4, '10009': 4, '10024': 4, '10029': 4, '10030': 4, '10037': 4, '10039': 4, '10454': 4, '10455': 4, '11206': 4, '11216': 4, '11221': 4}"
2020-11-09,222-222@627-s4k-fvf,"{'10024': 4, '10025': 4, '11691': 4, '11692': 4}"
2020-11-09,222-222@627-s4k-kpv,"{'10472': 4, '11201': 4, '11217': 4}"
2020-11-09,222-222@627-s4k-kzz,"{'10024': 8, '10025': 4, '10464': 4, '10466': 4, '10475': 4, '11214': 4, '11230': 4}"
2020-11-09,222-222@627-s4k-nqz,"{'10002': 4, '10007': 4, '10009': 4, '10013': 4, '10019': 4, '10023': 5, '10024': 13, '10025': 17, '10026': 8, '10027': 8, '10030': 4, '10031': 4, '10035': 4, '10039': 4, '10069': 5, '10282': 4, '11101': 4, '11106': 8, '11210': 4, '11372': 4, '11373': 4}"
2020-11-09,222-222@627-s4k-p35,"{'10021': 4, '10022': 4, '10031': 4, '11201': 4, '11217': 4}"
2020-11-09,222-222@627-s4k-psq,"{'10024': 4, '10025': 8, '10027': 4, '10031': 4, '10040': 4, '10304': 4, '11372': 4, '11377': 4}"
2020-11-09,222-222@627-s4m-4jv,"{'10016': 4, '10017': 4, '10025': 4, '10031': 4, '11234': 4, '11373': 4}"
2020-11-09,222-222@627-s4m-575,"{'10024': 4, '10025': 12, '10026': 4, '10457': 4}"
2020-11-09,222-222@627-s4m-75z,"{'10025': 16, '10027': 8, '10031': 4, '10032': 4, '10473': 4, '11208': 4}"
2020-11-09,222-222@627-s4m-835,"{'10023': 4, '10024': 9, '10025': 7, '10032': 4, '10033': 8, '10040': 4, '10456': 4, '10459': 4, '11373': 4, '11416': 4, '11418': 4, '11419': 4}"
2020-11-09,222-222@627-s4m-9j9,"{'10023': 4, '10025': 14, '10031': 4, '10032': 4, '10451': 4, '10455': 4, '10460': 4, '10472': 4}"
2020-11-09,222-222@627-s4m-btv,"{'10024': 4, '10025': 8, '10454': 4}"
2020-11-09,222-222@627-s4m-v4v,"{'10465': 8, '11373': 4, '11691': 4}"
2020-11-09,222-222@627-s4m-vzz,"{'10021': 4, '10028': 4, '10065': 4, '10075': 4, '11373': 4, '11377': 4, '11412': 5, '11423': 5, '11432': 5, '11433': 5}"
2020-11-09,222-222@627-s4m-wc5,"{'10019': 4, '10024': 4, '10025': 4, '10026': 4, '10039': 4, '11415': 4, '11418': 4}"
2020-11-09,222-222@627-s4n-4y9,"{'10021': 4, '10075': 4, '11369': 4, '11692': 4, '11693': 4}"
2020-11-09,222-222@627-s4n-52k,"{'10028': 4, '10075': 4, '11221': 4, '11377': 4}"
2020-11-09,222-222@627-s4n-5fz,"{'10002': 4, '10028': 8, '10075': 8}"
2020-11-09,222-222@627-s4n-5mk,"{'10028': 4, '10075': 4, '11105': 4}"
2020-11-09,222-222@627-s4n-5pv,"{'10028': 8, '10075': 4, '10128': 8, '11236': 4}"
2020-11-09,222-222@627-s4n-6c5,"{'10004': 4, '10006': 4, '10007': 4, '10021': 4, '10022': 4, '10028': 4, '10032': 4, '10033': 4, '10065': 4, '10075': 4, '11101': 4, '11104': 4, '11203': 4, '11207': 4, '11369': 4, '11372': 4, '11375': 4, '11377': 4, '11420': 4}"
2020-11-09,222-222@627-s4n-8sq,"{'10003': 4, '10010': 4, '11354': 4, '11357': 4, '11372': 4, '11691': 4, '11692': 4}"
2020-11-09,222-222@627-s4n-b6k,"{'10019': 12, '10024': 16, '10026': 4, '10030': 4, '11238': 4, '11373': 4, '11374': 4}"
2020-11-09,222-222@627-s4n-ch5,"{'10019': 4, '10023': 4, '10028': 4, '10069': 4, '10075': 4, '10453': 4}"
2020-11-09,222-222@627-s4n-nbk,"{'10029': 4, '10031': 8, '10032': 8, '10128': 4, '11218': 5, '11379': 4, '11385': 4, '11413': 4, '11414': 5, '11422': 4}"
2020-11-09,222-222@627-s4n-q4v,"{'10005': 4, '10021': 4, '10029': 14, '10038': 4, '10128': 4, '10451': 4, '10455': 4, '10461': 4, '11105': 4, '11229': 4, '11235': 4, '11370': 4, '11434': 4}"
2020-11-09,222-222@627-s4n-q9f,"{'10002': 4, '10007': 4, '10009': 4, '10012': 4, '10013': 4, '10019': 4, '10024': 4, '10026': 8, '10027': 8, '10029': 16, '10128': 12, '10451': 4, '10452': 4, '10453': 4, '10455': 4, '10456': 9, '10457': 4, '10459': 9, '10463': 4, '10467': 4, '10474': 8, '11101': 4, '11104': 4, '11209': 4, '11216': 4, '11230': 4, '11417': 4, '11418': 4, '11432': 4, '11435': 4}"
2020-11-09,222-222@627-s4n-qcq,"{'10028': 4, '10029': 17, '10035': 4, '10037': 4, '10128': 16, '10454': 4, '10457': 4, '10458': 4, '11203': 4, '11208': 4}"
2020-11-09,222-222@627-s4n-skf,"{'10002': 4, '10009': 4, '10028': 4, '10128': 4, '11372': 4, '11377': 4}"
2020-11-09,222-222@627-s4n-tn5,"{'10021': 4, '10075': 4, '11229': 4}"
2020-11-09,222-222@627-s4n-vxq,"{'10009': 4, '10010': 4, '10035': 4, '10128': 4, '10471': 4}"
2020-11-09,222-222@627-s4n-xbk,"{'10004': 5, '10006': 5, '10007': 13, '10013': 8, '10019': 6, '10021': 7, '10024': 6, '10026': 6, '10028': 4, '10029': 4, '10032': 4, '10033': 4, '10037': 4, '10065': 7, '10075': 4, '10128': 14, '10301': 4, '10310': 4, '11104': 6, '11377': 6, '11432': 4, '11435': 4}"
2020-11-09,222-222@627-s4p-3nq,"{'10019': 4, '10024': 4, '10026': 4, '10128': 4}"
2020-11-09,222-222@627-s4q-v75,"{'10010': 4, '10016': 4, '10019': 4, '10023': 16, '10034': 4, '10037': 4, '10040': 4, '10069': 16, '11370': 5, '11372': 5}"
2020-11-09,222-222@627-s4q-vpv,"{'10023': 4, '10031': 4, '10036': 4, '10069': 4, '11224': 4, '11235': 4}"
2020-11-09,222-222@627-s4q-wx5,"{'10010': 4, '10016': 8, '10017': 4, '10019': 14, '10023': 22, '10024': 4, '10025': 4, '10031': 4, '10039': 4, '10069': 18, '11228': 4}"
2020-11-09,222-222@627-s4q-zvf,"{'10019': 4, '10023': 8, '10024': 4, '10025': 8, '10026': 4, '10027': 8, '10029': 4, '10031': 8, '10040': 6, '10467': 4, '10469': 4, '10473': 4, '11201': 4, '11208': 4, '11225': 4, '11226': 4, '11236': 9, '11355': 4, '11368': 4, '11377': 4, '11378': 4, '11385': 4, '11421': 4}"
2020-11-09,222-222@627-s4r-28v,"{'10019': 10, '10023': 13, '10024': 5, '10472': 4}"
2020-11-09,222-222@627-s4r-3dv,"{'10019': 6, '10023': 6, '10024': 4, '10025': 5, '10069': 6}"
2020-11-09,222-222@627-s4r-3kf,"{'10019': 7, '10023': 11, '10024': 4, '10028': 4, '10040': 4, '10069': 11, '11104': 4, '11216': 4, '11229': 4, '11377': 4, '11418': 4, '11421': 4}"
2020-11-09,222-222@627-s4r-5j9,"{'10004': 4, '10005': 4, '10023': 4, '10038': 4, '10452': 4}"
2020-11-09,222-222@627-s4r-hkf,"{'10019': 10, '10023': 4, '10069': 4, '10453': 4, '10458': 4, '10468': 4, '11105': 4, '11213': 4, '11216': 4, '11356': 4, '11369': 4, '11378': 4, '11385': 4, '11413': 4}"
2020-11-09,222-222@627-s4r-tgk,"{'10023': 8, '10069': 4, '10456': 4}"
2020-11-09,222-222@627-s4r-vs5,"{'10023': 4, '10025': 4, '10451': 4, '10456': 4}"
2020-11-09,222-222@627-s4s-bp9,"{'10003': 4, '10010': 4, '10027': 8, '10030': 4, '10037': 4, '10305': 4, '10451': 4, '10455': 4, '11423': 4}"
2020-11-09,222-222@627-s4s-brk,"{'10027': 8, '10029': 4, '10031': 8, '10304': 4, '10458': 4, '11416': 7}"
2020-11-09,222-222@627-s4s-cbk,"{'10007': 4, '10013': 4, '10454': 4, '10455': 8, '10456': 4, '10461': 4}"
2020-11-09,222-222@627-s4s-ch5,"{'10027': 12, '10030': 4, '10031': 4, '10037': 4, '10467': 4, '11221': 4, '11233': 4}"
2020-11-09,222-222@627-s4s-jjv,"{'10024': 4, '10025': 4, '10026': 8, '10027': 8}"
2020-11-09,222-222@627-s4s-k4v,"{'10025': 12, '10026': 4, '10027': 8, '11201': 4}"
2020-11-09,222-222@627-s4s-kj9,"{'10026': 4, '10453': 4, '10468': 4, '11373': 4, '11377': 4}"
2020-11-09,222-222@627-s4s-m6k,"{'10027': 8, '10468': 4, '11206': 4, '11207': 4, '11236': 4, '11237': 4, '11379': 4, '11385': 4}"
2020-11-09,222-222@627-s4t-4sq,"{'10007': 4, '10013': 4, '10027': 7, '10030': 4, '10031': 16, '10032': 4, '10034': 8, '10037': 4, '10040': 4, '10452': 4, '10453': 4, '10462': 8, '10468': 4}"
2020-11-09,222-222@627-s4t-5fz,"{'10027': 9, '10031': 17, '10032': 8, '10033': 4, '10040': 4, '11208': 4, '11420': 4, '11421': 4}"
2020-11-09,222-222@627-s4t-9cq,"{'10027': 4, '10030': 4, '10454': 4, '10455': 4, '10460': 6, '10463': 4, '10465': 4, '11364': 4, '11370': 4}"
2020-11-09,222-222@627-s4t-bp9,"{'10026': 4, '10027': 4, '10039': 4, '10458': 4, '10468': 4, '11216': 4, '11238': 4, '11373': 4, '11377': 4}"
2020-11-09,222-222@627-s4t-tgk,"{'10011': 4, '10014': 4, '10026': 8, '10029': 9, '10035': 9, '10473': 4, '11218': 4, '11226': 4}"
2020-11-09,222-222@627-s4t-tvz,"{'10002': 4, '10029': 4, '10035': 8, '10039': 4}"
2020-11-09,222-222@627-s4t-xt9,"{'10029': 8, '10035': 11, '10453': 5, '10459': 4, '10469': 4, '10472': 4}"
2020-11-09,222-222@627-s4v-2c5,"{'10029': 4, '10039': 4, '10452': 4}"
2020-11-09,222-222@627-s4v-2hq,"{'10026': 4, '10029': 12, '10454': 7, '11412': 5}"
2020-11-09,222-222@627-s4v-2rk,"{'10003': 4, '10010': 4, '10029': 16, '10035': 4, '10467': 4, '10472': 4, '10473': 4, '11418': 4, '11421': 12}"
2020-11-09,222-222@627-s4v-2x5,"{'10011': 4, '10014': 4, '10029': 9}"
2020-11-09,222-222@627-s4v-2zf,"{'10024': 4, '10025': 4, '10029': 16, '10035': 12, '10037': 4, '10463': 4, '10468': 4, '11434': 5}"
2020-11-09,222-222@627-s4v-3nq,"{'10021': 4, '10029': 12, '10035': 4, '10037': 4, '10128': 4, '10473': 4}"
2020-11-09,222-222@627-s4v-435,"{'10466': 4, '10467': 4, '11435': 4}"
2020-11-09,222-222@627-s4v-5pv,"{'10029': 10, '10455': 4, '10465': 8, '10473': 8}"
2020-11-09,222-222@627-s4v-789,"{'10026': 8, '10302': 4, '10314': 4, '10452': 4, '10453': 4, '10458': 4, '10462': 4, '10468': 4}"
2020-11-09,222-222@627-s4v-9cq,"{'10026': 8, '10027': 4, '10030': 5, '10031': 4, '10037': 5, '10039': 9, '10044': 4, '10301': 4, '10451': 4, '10452': 4, '10453': 4, '10456': 8, '10459': 4, '10468': 4, '10474': 4}"
2020-11-09,222-222@627-s4v-9xq,"{'10026': 5, '10027': 4, '10453': 4}"
2020-11-09,222-222@627-s4v-bc5,"{'10026': 4, '10027': 4, '10029': 4, '10031': 4}"
