date_range_end,placekey,visitor
2021-02-01,222-222@627-s4k-cwk,"{'10306': 4, '11235': 6, '11694': 4}"
2021-02-01,222-222@627-s4k-d7q,"{'10021': 4, '10024': 4, '10025': 8, '10075': 4, '10453': 4, '10468': 4}"
2021-02-01,222-222@627-s4k-kpv,"{'10024': 4, '10033': 4, '10040': 4, '11691': 4}"
2021-02-01,222-222@627-s4k-nqz,"{'10024': 8, '10025': 16, '10026': 4, '10128': 4, '10306': 4, '10457': 4, '10460': 4, '11104': 4, '11214': 4, '11354': 4, '11355': 4, '11372': 4, '11373': 4}"
2021-02-01,222-222@627-s4k-p35,"{'10021': 4, '10023': 4, '10025': 4, '10029': 4, '10128': 4, '10456': 4, '11212': 4}"
2021-02-01,222-222@627-s4k-psq,"{'10031': 4, '10032': 4, '10452': 4, '10453': 4, '10454': 4, '10455': 4, '11411': 10, '11429': 10}"
2021-02-01,222-222@627-s4m-75z,"{'10031': 8, '10032': 4, '11106': 4, '11208': 4, '11213': 4}"
2021-02-01,222-222@627-s4m-835,"{'10025': 4, '10454': 4, '10460': 4, '11103': 4, '11214': 4}"
2021-02-01,222-222@627-s4m-9j9,"{'10025': 17, '10466': 4, '10467': 4, '10469': 4, '10475': 4, '11213': 4, '11225': 4}"
2021-02-01,222-222@627-s4m-btv,"{'10025': 8, '10037': 4, '10458': 4, '10469': 4}"
2021-02-01,222-222@627-s4m-bx5,"{'10025': 4, '10028': 4, '10128': 4}"
2021-02-01,222-222@627-s4m-ckf,"{'10027': 4, '10029': 4, '10035': 4, '10037': 4, '11369': 4, '11372': 4, '11385': 4}"
2021-02-01,222-222@627-s4m-ffz,"{'10002': 4, '10025': 5, '10029': 4, '10035': 4}"
2021-02-01,222-222@627-s4m-vzz,"{'10021': 4, '10128': 4, '10456': 4, '11374': 5}"
2021-02-01,222-222@627-s4m-y7q,"{'10463': 4, '10471': 4, '11219': 4, '11220': 4, '11232': 4, '11691': 4}"
2021-02-01,222-222@627-s4n-2tv,"{'10021': 5, '10022': 5, '10065': 5, '10075': 5}"
2021-02-01,222-222@627-s4n-4gk,"{'10021': 4, '10022': 4, '10029': 4, '10065': 4}"
2021-02-01,222-222@627-s4n-4y9,"{'10028': 4, '10075': 4, '10467': 4, '10473': 4, '11354': 4, '11355': 4, '11368': 4, '11374': 4, '11375': 4}"
2021-02-01,222-222@627-s4n-5mk,"{'10021': 4, '10458': 4, '11102': 4, '11361': 4, '11364': 4}"
2021-02-01,222-222@627-s4n-6c5,"{'10005': 5, '10028': 8, '10038': 5, '10075': 4, '10128': 4, '10472': 4, '11106': 4}"
2021-02-01,222-222@627-s4n-b6k,"{'10024': 11, '10025': 7, '11209': 4, '11375': 4}"
2021-02-01,222-222@627-s4n-nbk,"{'10024': 4, '10025': 4, '10455': 4, '11368': 4, '11375': 4, '11414': 6}"
2021-02-01,222-222@627-s4n-pn5,"{'10459': 4, '10460': 4, '11434': 4}"
2021-02-01,222-222@627-s4n-q4v,"{'10029': 4, '10128': 4, '10454': 4}"
2021-02-01,222-222@627-s4n-q9f,"{'10017': 4, '10022': 4, '10025': 4, '10026': 4, '10029': 8, '10128': 4, '10302': 4, '10303': 4, '10456': 4, '10458': 4, '10459': 4, '10460': 6, '11230': 4, '11366': 4, '11367': 4, '11368': 4, '11373': 8, '11377': 4}"
2021-02-01,222-222@627-s4n-qcq,"{'10128': 4, '11101': 4, '11102': 8, '11103': 8, '11104': 4, '11105': 4, '11208': 4, '11377': 4}"
2021-02-01,222-222@627-s4n-tn5,"{'10021': 4, '10028': 8, '10075': 4, '10463': 4, '10468': 4, '11221': 4, '11694': 4}"
2021-02-01,222-222@627-s4n-vxq,"{'10007': 4, '10013': 4, '10017': 4, '10019': 4, '10022': 4, '10024': 4, '10026': 4, '10451': 4, '10456': 4}"
2021-02-01,222-222@627-s4q-v75,"{'10019': 8, '10023': 12, '10024': 4, '10026': 4, '10069': 12, '10467': 6, '11212': 4, '11236': 4, '11366': 4, '11367': 4}"
2021-02-01,222-222@627-s4q-wkz,"{'10019': 8, '10023': 4, '10024': 4, '10026': 4, '10069': 4}"
2021-02-01,222-222@627-s4q-wx5,"{'10019': 5, '10023': 13, '10024': 4, '10069': 9, '11212': 4, '11213': 4, '11373': 4, '11374': 4}"
2021-02-01,222-222@627-s4q-zvf,"{'10019': 5, '10026': 4, '10027': 8, '10030': 4, '10031': 4, '10037': 4, '10305': 4, '10465': 5, '10467': 4, '10469': 4, '11102': 4, '11106': 8, '11209': 4, '11234': 4, '11372': 4, '11373': 4, '11374': 4, '11419': 4}"
2021-02-01,222-222@627-s4r-28v,"{'10019': 4, '10023': 17, '10024': 6, '11205': 4, '11238': 4}"
2021-02-01,222-222@627-s4r-3dv,"{'10019': 4, '10036': 4, '11105': 4, '11356': 4, '11370': 4}"
2021-02-01,222-222@627-s4r-3kf,"{'10009': 4, '10019': 6, '10022': 4, '10023': 6, '10024': 8, '10029': 4, '10069': 6, '10452': 4, '10456': 4, '10459': 4, '11102': 8, '11103': 4, '11105': 4, '11360': 4, '11361': 4, '11377': 4, '11418': 5, '11421': 5, '11433': 4}"
2021-02-01,222-222@627-s4r-vs5,"{'10023': 4, '10024': 4, '10025': 4, '10026': 4}"
2021-02-01,222-222@627-s4s-bp9,"{'10027': 4, '10031': 4, '10032': 4, '10033': 4, '10308': 4, '10312': 4, '11214': 4}"
2021-02-01,222-222@627-s4s-brk,"{'10465': 4, '11214': 4, '11218': 4, '11230': 4}"
2021-02-01,222-222@627-s4s-cbk,"{'10451': 4, '10455': 4, '10456': 4, '10460': 4, '10472': 4, '11102': 4, '11106': 4}"
2021-02-01,222-222@627-s4s-ch5,"{'10027': 4, '10031': 4, '10451': 4, '10452': 4, '11414': 4, '11417': 4}"
2021-02-01,222-222@627-s4s-m6k,"{'10027': 4, '10031': 5, '10034': 4, '10039': 5, '10454': 4}"
2021-02-01,222-222@627-s4t-4sq,"{'10024': 4, '10026': 4, '10027': 8, '10031': 15, '10452': 4, '10453': 4, '10456': 8, '10457': 8, '10466': 9, '10468': 4, '10470': 5, '11209': 6}"
2021-02-01,222-222@627-s4t-5fz,"{'10025': 4, '10027': 8, '10031': 21, '10032': 9, '10463': 4, '11213': 4, '11365': 4, '11366': 4}"
2021-02-01,222-222@627-s4t-8qf,"{'10027': 4, '10030': 4, '10456': 4, '11360': 4}"
2021-02-01,222-222@627-s4t-bp9,"{'10452': 4, '10462': 4, '11201': 4, '11217': 4}"
2021-02-01,222-222@627-s4t-tgk,"{'10029': 9, '10035': 13, '11234': 4}"
2021-02-01,222-222@627-s4t-xt9,"{'10026': 8, '10039': 4, '11364': 4, '11427': 4, '11428': 4}"
2021-02-01,222-222@627-s4v-2rk,"{'10029': 8, '10037': 6, '10128': 4, '10468': 4}"
2021-02-01,222-222@627-s4v-2x5,"{'11207': 5, '11210': 4, '11432': 4, '11435': 4}"
2021-02-01,222-222@627-s4v-2zf,"{'10029': 12, '10035': 4, '10454': 4, '10455': 4}"
2021-02-01,222-222@627-s4v-3nq,"{'10019': 4, '10029': 12, '10035': 4}"
2021-02-01,222-222@627-s4v-3t9,"{'10026': 4, '10029': 4, '10037': 4, '10128': 8}"
2021-02-01,222-222@627-s4v-5pv,"{'10029': 8, '10455': 4, '10458': 4, '10459': 4}"
2021-02-01,222-222@627-s4v-789,"{'10023': 4, '10026': 4, '10029': 4, '10035': 4}"
2021-02-01,222-222@627-s4v-9cq,"{'10002': 4, '10019': 4, '10024': 4, '10025': 4, '10026': 12, '10027': 4, '10029': 4, '10030': 4, '10031': 4, '10036': 4, '10039': 4}"
2021-02-01,222-222@627-s4v-9xq,"{'10025': 4, '10026': 14, '10027': 4, '10029': 4, '10035': 4, '10460': 4, '10463': 4, '11004': 4}"
2021-02-01,222-222@627-s4v-dn5,"{'10024': 4, '10025': 8, '10027': 4, '10028': 4, '10029': 16, '10031': 4, '10035': 20, '10037': 7, '10075': 4, '10128': 12, '10453': 5, '10456': 4, '10459': 4, '10463': 4, '10465': 4, '10466': 4, '10469': 4, '10471': 4, '11101': 4, '11104': 8, '11105': 4, '11208': 4, '11216': 4, '11226': 6, '11238': 4, '11354': 4, '11355': 4, '11357': 4, '11368': 4, '11369': 4, '11372': 4, '11373': 4, '11375': 4, '11377': 12, '11426': 4, '11692': 4, '11693': 4}"
2021-02-01,222-222@627-s4v-k75,"{'10001': 4, '10026': 4, '10027': 4, '10029': 4, '10035': 8, '10037': 4, '10452': 4, '10453': 4, '10456': 4, '10459': 4, '10462': 4, '10467': 8, '10468': 4, '10473': 4, '11101': 4, '11106': 4, '11212': 4, '11223': 4, '11225': 4, '11233': 4}"
2021-02-01,222-222@627-s4v-mhq,"{'10029': 4, '10035': 4, '10453': 4, '10463': 4, '11433': 4, '11435': 4}"
2021-02-01,222-222@627-s4v-s3q,"{'10025': 4, '10026': 4, '10027': 4, '10029': 8, '10035': 8, '10465': 4, '11365': 4, '11366': 4}"
2021-02-01,222-222@627-s4v-ty9,"{'10031': 4, '10032': 4, '10035': 4, '10451': 4, '10453': 4, '10454': 4, '10468': 4}"
2021-02-01,222-222@627-s4v-v4v,"{'10035': 6, '10468': 4, '10473': 4}"
2021-02-01,222-222@627-s4v-xt9,"{'10026': 4, '10027': 4, '10452': 5, '10453': 5}"
2021-02-01,222-222@627-s5w-psq,"{'10034': 4, '10451': 4, '10456': 4, '10463': 4, '10469': 4, '10473': 4, '10475': 4, '11372': 4}"
2021-02-01,222-222@627-s5w-sbk,"{'10019': 4, '10023': 4, '10024': 8, '10025': 4, '10029': 4, '10031': 4, '10034': 4, '10039': 4, '10069': 4, '10451': 4, '10453': 8, '10456': 4, '10457': 4, '10458': 4, '10462': 4, '10468': 4, '10475': 4, '11355': 4, '11358': 4}"
2021-02-01,222-222@627-s5w-sdv,"{'10033': 4, '10034': 4, '10040': 4, '10460': 4, '10463': 4, '10471': 4, '10472': 4, '11234': 4, '11236': 4}"
2021-02-01,222-222@627-s5w-wx5,"{'10034': 8, '10040': 4, '10312': 4, '10455': 4, '10463': 4, '10468': 4, '11212': 4, '11233': 4, '11364': 4}"
2021-02-01,222-222@627-s5w-z9f,"{'10034': 4, '11201': 4, '11217': 4}"
2021-02-01,222-222@627-s5x-92k,"{'10034': 5, '10040': 5, '11435': 4, '11436': 4}"
2021-02-01,222-222@627-s5x-9pv,"{'10463': 4, '11373': 4, '11378': 4}"
2021-02-01,222-222@627-s5x-c3q,"{'10034': 4, '10456': 4, '10470': 4, '10471': 4}"
2021-02-01,222-222@627-s5x-c89,"{'10031': 4, '10032': 4, '10034': 4, '10469': 4}"
2021-02-01,222-222@627-s5x-cbk,"{'10034': 8, '10455': 4, '10459': 4, '11101': 4, '11103': 4, '11106': 4, '11237': 4, '11373': 4}"
2021-02-01,222-222@627-s6d-7bk,"{'10029': 4, '10032': 25, '10033': 4, '10039': 4, '10301': 4, '10304': 4, '10463': 4, '10471': 4, '11229': 4, '11235': 4, '11236': 4}"
2021-02-01,222-222@627-s6d-c5z,"{'10027': 4, '10452': 4, '11369': 5, '11370': 5}"
2021-02-01,222-222@627-s6d-djv,"{'10031': 6, '10032': 12, '10033': 4, '10034': 4}"
2021-02-01,222-222@627-s6d-vcq,"{'10024': 4, '10032': 4, '10033': 4, '10307': 4, '10309': 4, '11213': 4, '11221': 4, '11237': 4}"
2021-02-01,222-222@627-s6d-whq,"{'10023': 4, '10027': 4, '10028': 4, '10031': 4, '10032': 18, '10033': 10, '10034': 4, '10035': 8, '10037': 10, '10039': 4, '10040': 8, '10128': 4, '10459': 8, '10460': 4, '10462': 4, '10463': 16, '10466': 4, '10467': 4, '10468': 8, '10471': 8, '10472': 4, '10475': 4, '11203': 4, '11205': 4, '11207': 8, '11216': 4, '11220': 4, '11229': 4, '11237': 4, '11239': 4, '11360': 4, '11364': 8, '11379': 4, '11385': 4, '11413': 4, '11422': 4, '11427': 4, '11428': 4, '11429': 4, '11434': 4}"
2021-02-01,222-222@627-s6d-zcq,"{'10031': 6, '10032': 10, '10451': 4, '10452': 4, '10453': 7}"
2021-02-01,222-222@627-s6d-zfz,"{'10032': 17, '10033': 8, '10453': 4, '10455': 4, '10460': 4, '10462': 4}"
2021-02-01,222-222@627-s6f-4d9,"{'10026': 4, '10029': 4, '10030': 5, '10032': 4, '10033': 4, '10035': 4, '10037': 5, '10039': 31, '10451': 4, '10456': 4, '11214': 4, '11228': 4}"
2021-02-01,222-222@627-s6f-4n5,"{'10029': 4, '10039': 11, '11229': 4, '11374': 4, '11375': 4}"
2021-02-01,222-222@627-s6f-bx5,"{'10033': 4, '10034': 4, '10040': 8, '10463': 4, '10468': 4}"
2021-02-01,222-222@627-s6f-ygk,"{'10456': 8, '10459': 4, '11203': 4, '11212': 4}"
