date_range_end,placekey,visitor
2021-08-23,222-222@627-s4k-d7q,"{'10025': 4, '10458': 4, '10459': 4, '10460': 4}"
2021-08-23,222-222@627-s4k-fvf,"{'10028': 4, '10033': 4, '10128': 4}"
2021-08-23,222-222@627-s4k-kzz,"{'11220': 4, '11385': 4, '11419': 4}"
2021-08-23,222-222@627-s4k-nqz,"{'10019': 4, '10024': 12, '10025': 12, '10036': 4, '10301': 4, '11235': 4, '11374': 4}"
2021-08-23,222-222@627-s4k-p35,"{'10021': 4, '10023': 4, '10024': 4}"
2021-08-23,222-222@627-s4k-psq,"{'10004': 4, '10024': 4, '10025': 8, '10280': 4}"
2021-08-23,222-222@627-s4m-4jv,"{'10025': 4, '10026': 4, '10027': 4, '10031': 4, '10032': 4, '10035': 4, '10039': 4, '10305': 4, '11372': 4, '11373': 4}"
2021-08-23,222-222@627-s4m-575,"{'10025': 4, '10030': 4, '10039': 4, '11225': 4}"
2021-08-23,222-222@627-s4m-75z,"{'10026': 4, '10027': 4, '10029': 4}"
2021-08-23,222-222@627-s4m-835,"{'10025': 4, '10306': 4, '11214': 4}"
2021-08-23,222-222@627-s4m-8d9,"{'10025': 8, '10027': 4, '10306': 4, '10457': 4, '10458': 4}"
2021-08-23,222-222@627-s4m-9j9,"{'10024': 4, '10025': 8, '10037': 4, '10453': 4, '10463': 4, '10468': 4, '10471': 4, '11104': 4, '11377': 9, '11422': 4}"
2021-08-23,222-222@627-s4m-ckf,"{'10027': 6, '10128': 4, '11101': 4, '11104': 4, '11235': 4, '11379': 4}"
2021-08-23,222-222@627-s4m-vzz,"{'11207': 4, '11221': 4, '11433': 4, '11435': 4}"
2021-08-23,222-222@627-s4n-4y9,"{'10001': 4, '10451': 4, '10454': 4, '11226': 4, '11234': 4, '11374': 4, '11375': 4}"
2021-08-23,222-222@627-s4n-5mk,"{'10021': 6, '10032': 5, '10033': 5, '10075': 6, '11101': 10, '11104': 10, '11377': 10}"
2021-08-23,222-222@627-s4n-6c5,"{'10306': 4, '10308': 4, '10454': 4, '11220': 7, '11229': 4, '11230': 4, '11414': 4, '11433': 4, '11434': 4, '11435': 4}"
2021-08-23,222-222@627-s4n-8sq,"{'11236': 4, '11691': 4, '11692': 4}"
2021-08-23,222-222@627-s4n-b6k,"{'10024': 4, '10025': 8, '10027': 4}"
2021-08-23,222-222@627-s4n-gp9,"{'11204': 4, '11416': 4, '11417': 4}"
2021-08-23,222-222@627-s4n-nbk,"{'10028': 4, '10128': 4, '10461': 6, '11369': 4, '11370': 4, '11379': 4, '11385': 4}"
2021-08-23,222-222@627-s4n-q9f,"{'10024': 4, '10025': 4, '10027': 4, '10029': 12, '10030': 4, '10031': 4, '10039': 4, '10128': 4, '10456': 4, '10457': 4, '10459': 8, '10463': 4, '11204': 4, '11208': 4, '11209': 4, '11216': 8, '11220': 4, '11221': 4, '11233': 4, '11369': 4, '11370': 4, '11412': 4, '11421': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-08-23,222-222@627-s4n-qcq,"{'10029': 18, '10031': 8, '10032': 8, '10128': 4, '10452': 4, '10454': 4, '10467': 5, '11201': 4, '11205': 4, '11206': 4, '11214': 4, '11217': 4, '11221': 4, '11223': 4, '11224': 5}"
2021-08-23,222-222@627-s4n-r49,"{'10029': 8, '10301': 4, '10304': 4, '10306': 4, '10461': 4, '10462': 4, '10469': 4, '11203': 4, '11210': 4, '11234': 4, '11235': 4, '11362': 6, '11414': 4}"
2021-08-23,222-222@627-s4n-tn5,"{'10023': 4, '10029': 4, '10069': 4, '11229': 5, '11230': 5}"
2021-08-23,222-222@627-s4q-v75,"{'10003': 4, '10009': 4, '10019': 4, '10023': 14, '10024': 4, '10025': 4, '10069': 10, '10467': 4, '11419': 4}"
2021-08-23,222-222@627-s4q-wx5,"{'10019': 6, '10023': 11, '10069': 11, '10451': 4, '10452': 4, '11229': 4, '11235': 4}"
2021-08-23,222-222@627-s4q-zvf,"{'10001': 4, '10005': 4, '10010': 4, '10011': 4, '10023': 8, '10027': 4, '10030': 4, '10032': 4, '10033': 4, '10037': 4, '10038': 4, '10463': 4, '10467': 4, '11355': 6, '11365': 4}"
2021-08-23,222-222@627-s4r-28v,"{'10019': 8, '10023': 20, '10069': 4, '11212': 4}"
2021-08-23,222-222@627-s4r-2rk,"{'10461': 4, '10462': 4, '11223': 4, '11229': 4, '11235': 4}"
2021-08-23,222-222@627-s4r-3kf,"{'10009': 4, '10019': 15, '10023': 10, '10024': 4, '10069': 10, '10302': 4, '10310': 4, '10314': 4, '11214': 4, '11222': 4, '11223': 4, '11365': 4, '11366': 4, '11372': 4, '11416': 4, '11417': 4, '11420': 4}"
2021-08-23,222-222@627-s4r-5j9,"{'10010': 6, '10016': 6, '10019': 4, '10023': 8, '10035': 4, '10036': 4, '10069': 4, '11223': 4, '11236': 4, '11697': 4}"
2021-08-23,222-222@627-s4r-hkf,"{'10019': 4, '10023': 4, '10069': 4, '10452': 4, '10472': 4, '11103': 4, '11105': 4, '11212': 8, '11236': 4, '11377': 4}"
2021-08-23,222-222@627-s4r-q75,"{'10023': 4, '10024': 4, '10027': 4}"
2021-08-23,222-222@627-s4r-tgk,"{'10023': 8, '10069': 4, '10472': 4}"
2021-08-23,222-222@627-s4r-vs5,"{'10026': 4, '10027': 4, '10035': 4, '11218': 4, '11375': 8}"
2021-08-23,222-222@627-s4s-bp9,"{'10027': 4, '10030': 4, '10031': 4, '10037': 4, '11203': 4, '11226': 4}"
2021-08-23,222-222@627-s4s-brk,"{'10026': 4, '10027': 4, '10468': 8, '11204': 4, '11207': 5, '11223': 4, '11230': 4, '11233': 5}"
2021-08-23,222-222@627-s4s-cbk,"{'10027': 5, '10031': 4, '10032': 4, '10457': 4}"
2021-08-23,222-222@627-s4s-ch5,"{'10012': 4, '10019': 4, '10025': 4, '10027': 8, '10035': 4, '10037': 4, '10472': 4, '11368': 4, '11373': 4}"
2021-08-23,222-222@627-s4t-4sq,"{'10002': 4, '10025': 4, '10027': 8, '10031': 4, '10040': 5, '10451': 8, '10456': 8, '10467': 4}"
2021-08-23,222-222@627-s4t-5fz,"{'10027': 4, '10030': 4, '10031': 12, '10034': 4, '10037': 4, '10454': 4, '10455': 4, '10457': 4, '10464': 4, '10466': 4, '10468': 4, '10475': 4, '11379': 4}"
2021-08-23,222-222@627-s4t-bp9,"{'10027': 4, '10032': 4, '10033': 4, '10452': 4, '10453': 8}"
2021-08-23,222-222@627-s4t-tgk,"{'10001': 4, '10029': 4, '10453': 4, '11101': 4, '11106': 4}"
2021-08-23,222-222@627-s4t-xt9,"{'10453': 4, '10456': 4, '10459': 4}"
2021-08-23,222-222@627-s4v-2rk,"{'10029': 12, '10453': 4, '11360': 4, '11421': 4}"
