date_range_end,placekey,visitor
2021-02-22,222-222@627-s4k-d7q,"{'10024': 8, '10025': 16, '10466': 4, '11203': 4, '11691': 4}"
2021-02-22,222-222@627-s4k-fvf,"{'10025': 4, '10026': 4, '10027': 4}"
2021-02-22,222-222@627-s4k-nqz,"{'10021': 4, '10024': 9, '10025': 9, '10028': 4, '10031': 4, '10039': 4, '10065': 4, '10128': 4, '10456': 4, '10457': 4, '10464': 4, '10466': 4, '10475': 4, '11221': 4, '11237': 4, '11357': 4}"
2021-02-22,222-222@627-s4k-p35,"{'10021': 4, '10022': 4, '10028': 4, '10065': 4, '10451': 4, '11102': 4, '11219': 4, '11228': 4}"
2021-02-22,222-222@627-s4k-psq,"{'10024': 4, '10025': 4, '10467': 4, '10470': 4, '10471': 4, '11211': 4, '11222': 4}"
2021-02-22,222-222@627-s4m-75z,"{'10025': 8, '10033': 4, '10040': 4, '11214': 6, '11420': 4}"
2021-02-22,222-222@627-s4m-835,"{'10002': 4, '10025': 4, '10031': 4, '10032': 4}"
2021-02-22,222-222@627-s4m-9j9,"{'10025': 12, '10028': 4, '10030': 4, '10037': 4, '10128': 4, '11214': 4, '11223': 4, '11418': 4}"
2021-02-22,222-222@627-s4m-btv,"{'10024': 5, '10025': 5, '11212': 4}"
2021-02-22,222-222@627-s4m-v4v,"{'10021': 6, '10022': 4, '10023': 4, '10028': 4, '10065': 10, '10075': 4, '10454': 4, '10455': 4, '11428': 4}"
2021-02-22,222-222@627-s4m-vzz,"{'10001': 4, '10029': 4, '10452': 4, '10453': 4, '10466': 5}"
2021-02-22,222-222@627-s4m-y7q,"{'10024': 4, '11219': 4, '11220': 4, '11232': 4, '11356': 4, '11691': 4, '11692': 4}"
2021-02-22,222-222@627-s4n-4y9,"{'10464': 4, '10475': 4, '11229': 4, '11374': 7, '11375': 7}"
2021-02-22,222-222@627-s4n-6c5,"{'10021': 4, '10075': 4, '10458': 4, '10468': 4, '11413': 4, '11422': 4}"
2021-02-22,222-222@627-s4n-b6k,"{'10028': 4, '10451': 4, '10456': 4, '10475': 4}"
2021-02-22,222-222@627-s4n-gp9,"{'11237': 4, '11416': 4, '11417': 4}"
2021-02-22,222-222@627-s4n-mc5,"{'10029': 8, '10128': 8, '11235': 4}"
2021-02-22,222-222@627-s4n-nbk,"{'10026': 4, '10027': 4, '10029': 4, '11369': 4, '11370': 4}"
2021-02-22,222-222@627-s4n-pjv,"{'10459': 4, '10474': 4, '11203': 4, '11230': 5}"
2021-02-22,222-222@627-s4n-pn5,"{'10029': 4, '10035': 4, '10037': 4}"
2021-02-22,222-222@627-s4n-q4v,"{'10029': 5, '11356': 4, '11385': 4}"
2021-02-22,222-222@627-s4n-q9f,"{'10029': 17, '10035': 8, '10037': 4, '10128': 4, '10304': 6, '10305': 6, '10456': 4, '10462': 5, '10463': 4, '10469': 4, '10472': 4, '11106': 4, '11207': 4, '11208': 4, '11366': 4, '11367': 4, '11375': 4, '11377': 4, '11432': 4}"
2021-02-22,222-222@627-s4n-qcq,"{'10029': 4, '10452': 4, '11229': 4}"
2021-02-22,222-222@627-s4n-vxq,"{'10028': 4, '10128': 8, '11101': 4, '11104': 4, '11365': 8, '11366': 8, '11377': 8, '11378': 4}"
2021-02-22,222-222@627-s4n-xbk,"{'10021': 4, '10075': 4, '10128': 4}"
2021-02-22,222-222@627-s4q-tvz,"{'10023': 4, '10024': 4, '11354': 4, '11357': 4}"
2021-02-22,222-222@627-s4q-v75,"{'10010': 4, '10016': 4, '10023': 8, '10024': 4, '10025': 4, '10033': 5, '10040': 5, '10069': 8, '11362': 4, '11363': 4}"
2021-02-22,222-222@627-s4q-wx5,"{'10019': 6, '10023': 10, '10069': 10, '10301': 4, '10304': 4, '10314': 4, '11229': 4, '11235': 4}"
2021-02-22,222-222@627-s4q-zvf,"{'10019': 8, '10023': 4, '10024': 4, '10305': 4, '10457': 4, '10458': 4, '11205': 4, '11206': 4, '11207': 4, '11216': 4, '11355': 4, '11365': 4, '11366': 4, '11374': 4, '11375': 4}"
2021-02-22,222-222@627-s4r-28v,"{'10019': 4, '10023': 16, '10024': 7, '10462': 4}"
2021-02-22,222-222@627-s4r-2rk,"{'10027': 4, '10030': 4, '10037': 4, '10456': 4}"
2021-02-22,222-222@627-s4r-3kf,"{'10009': 8, '10019': 8, '10023': 4, '10036': 4, '10069': 4, '10308': 4, '10312': 4, '10459': 8, '10462': 4, '10474': 8, '11229': 4}"
2021-02-22,222-222@627-s4r-hkf,"{'10021': 4, '10028': 4, '10075': 8, '10460': 4, '10461': 4, '10462': 4, '11360': 4}"
2021-02-22,222-222@627-s4r-pjv,"{'10024': 8, '10473': 4, '11356': 4}"
2021-02-22,222-222@627-s4r-q75,"{'10034': 4, '11366': 4, '11367': 4}"
2021-02-22,222-222@627-s4s-bp9,"{'10027': 9, '10031': 5, '10032': 4, '10033': 4, '10463': 4, '11357': 4}"
2021-02-22,222-222@627-s4s-brk,"{'10027': 4, '10031': 4, '11203': 4}"
2021-02-22,222-222@627-s4s-jjv,"{'10026': 8, '10035': 4, '10469': 7}"
2021-02-22,222-222@627-s4s-k2k,"{'10025': 4, '10027': 12, '10031': 4}"
2021-02-22,222-222@627-s4s-k4v,"{'10025': 4, '10032': 4, '10039': 4, '11365': 4, '11366': 4}"
2021-02-22,222-222@627-s4s-m6k,"{'10027': 4, '11207': 4, '11221': 4, '11233': 4}"
2021-02-22,222-222@627-s4t-4sq,"{'10031': 4, '10451': 4, '10454': 4, '10456': 8, '10457': 9, '10458': 4, '10468': 4, '11231': 4}"
2021-02-22,222-222@627-s4t-5fz,"{'10026': 4, '10027': 4, '10463': 5, '10467': 4}"
2021-02-22,222-222@627-s4t-tgk,"{'10010': 4, '10016': 4, '10027': 4, '10029': 6, '10035': 10, '10457': 4, '10459': 4, '10474': 4}"
2021-02-22,222-222@627-s4t-tvz,"{'10029': 9, '10032': 4, '10033': 4, '10035': 4}"
2021-02-22,222-222@627-s4t-xt9,"{'10026': 4, '10029': 4, '10035': 12, '10037': 4, '10454': 4, '10455': 4, '10459': 4, '10463': 4, '10464': 5, '10466': 5, '10472': 4, '10475': 5}"
2021-02-22,222-222@627-s4v-2hq,"{'10019': 4, '10027': 4, '10029': 4, '10473': 4}"
2021-02-22,222-222@627-s4v-2rk,"{'10029': 8, '10039': 4, '10128': 4, '10456': 4, '10457': 4, '11418': 4, '11421': 6}"
2021-02-22,222-222@627-s4v-2x5,"{'10029': 8, '10035': 4, '10466': 4}"
2021-02-22,222-222@627-s4v-2zf,"{'10029': 19, '10128': 4, '11212': 4, '11432': 4}"
2021-02-22,222-222@627-s4v-3nq,"{'10025': 4, '10027': 4, '10029': 6, '10467': 4}"
2021-02-22,222-222@627-s4v-789,"{'10023': 4, '10024': 4, '10025': 4, '10028': 4, '10029': 8, '10075': 4, '10466': 4, '11234': 4}"
2021-02-22,222-222@627-s4v-9cq,"{'10026': 4, '10031': 4, '10032': 4, '10033': 4, '10040': 4, '10454': 4, '10455': 4, '10470': 4}"
2021-02-22,222-222@627-s4v-9xq,"{'10026': 4, '10028': 4, '10128': 4, '11233': 4}"
2021-02-22,222-222@627-s4v-dn5,"{'10002': 4, '10009': 4, '10016': 4, '10017': 4, '10029': 12, '10128': 4, '10303': 4, '10309': 4, '10312': 4, '10459': 4, '10461': 4, '10462': 4, '10463': 4, '10465': 4, '10468': 4, '10474': 4, '11203': 4, '11225': 4, '11226': 4, '11235': 4, '11356': 4, '11368': 4, '11369': 4, '11370': 4, '11377': 4, '11416': 4, '11418': 4, '11419': 4, '11420': 4}"
2021-02-22,222-222@627-s4v-hh5,"{'10029': 8, '10128': 4, '10459': 4, '10460': 4, '11217': 4, '11238': 4}"
2021-02-22,222-222@627-s4v-k4v,"{'10029': 8, '10035': 12, '10037': 4, '11418': 4, '11421': 4}"
2021-02-22,222-222@627-s4v-k75,"{'10022': 4, '10029': 4, '10030': 4, '10035': 16, '10037': 8, '10452': 4, '10453': 8, '10457': 4, '10458': 4, '11102': 4, '11223': 4, '11369': 4, '11692': 4, '11693': 4}"
2021-02-22,222-222@627-s4v-kpv,"{'10035': 4, '10037': 4, '10457': 4}"
2021-02-22,222-222@627-s4v-s3q,"{'10455': 4, '10463': 4, '10474': 4, '11367': 4, '11432': 4, '11435': 4}"
2021-02-22,222-222@627-s4v-ty9,"{'10029': 4, '10035': 8, '11233': 4, '11374': 4, '11375': 4, '11414': 5}"
2021-02-22,222-222@627-s4v-v4v,"{'10457': 4, '11370': 4, '11372': 4, '11691': 4, '11692': 4}"
2021-02-22,222-222@627-s4v-xt9,"{'10302': 4, '10310': 4, '10459': 4, '10460': 4, '10468': 4}"
2021-02-22,222-222@627-s5w-psq,"{'10453': 8, '10458': 4, '10462': 4, '10466': 9, '10467': 4}"
2021-02-22,222-222@627-s5w-sbk,"{'10024': 4, '10025': 4, '10032': 4, '10453': 4, '10457': 4, '10462': 4, '10463': 4, '10465': 4, '10471': 4}"
2021-02-22,222-222@627-s5w-sdv,"{'10032': 4, '10033': 8, '10034': 4, '10040': 9, '10128': 4, '10452': 4, '10460': 4, '10463': 4, '10468': 4, '10472': 4}"
2021-02-22,222-222@627-s5w-wp9,"{'10034': 4, '10467': 4, '11418': 4}"
2021-02-22,222-222@627-s5w-wx5,"{'10034': 4, '10040': 4, '10306': 4, '10453': 4, '11236': 4, '11385': 4}"
2021-02-22,222-222@627-s5w-x89,"{'10032': 6, '10033': 6, '10034': 8, '10458': 4, '10468': 4, '11366': 5, '11367': 5}"
2021-02-22,222-222@627-s5w-zmk,"{'11354': 4, '11357': 4, '11358': 4}"
2021-02-22,222-222@627-s5x-92k,"{'10034': 13, '10458': 4, '10468': 4}"
2021-02-22,222-222@627-s5x-9pv,"{'10034': 4, '10040': 8, '10463': 4, '10466': 4, '10468': 4}"
2021-02-22,222-222@627-s5x-c3q,"{'10034': 8, '10453': 4, '10468': 4}"
2021-02-22,222-222@627-s5x-c89,"{'10034': 5, '10035': 4, '10040': 9, '10451': 4, '10452': 4, '10469': 4, '10471': 4, '10472': 4}"
2021-02-22,222-222@627-s6d-7bk,"{'10029': 4, '10031': 4, '10032': 18, '10033': 6, '10128': 4, '10458': 6, '10460': 4, '11236': 4}"
2021-02-22,222-222@627-s6d-c89,"{'10027': 4, '10031': 4, '10039': 4}"
2021-02-22,222-222@627-s6d-djv,"{'10027': 4, '10031': 4, '10035': 4, '10040': 4, '10451': 4, '10452': 4}"
2021-02-22,222-222@627-s6d-vcq,"{'10002': 4, '10032': 4, '10456': 4, '10469': 4, '10475': 4, '11233': 4}"
