date_range_end,placekey,visitor
2021-09-20,222-222@627-s4k-ffz,"{'11213': 4, '11233': 4, '11426': 4, '11428': 4}"
2021-09-20,222-222@627-s4k-nqz,"{'10001': 4, '10010': 4, '10011': 4, '10017': 4, '10019': 8, '10021': 8, '10022': 4, '10023': 8, '10024': 13, '10025': 18, '10027': 4, '10028': 8, '10030': 4, '10069': 4, '10128': 8, '11412': 4, '11418': 4}"
2021-09-20,222-222@627-s4k-p35,"{'10019': 4, '10021': 8, '10023': 8, '10024': 4, '10025': 4, '10028': 8, '10029': 4, '10035': 8, '10037': 4, '10065': 4, '10069': 8, '10075': 8, '10128': 4, '11357': 4, '11416': 4}"
2021-09-20,222-222@627-s4k-psq,"{'10024': 4, '10025': 4, '10452': 4, '10453': 4, '10463': 4, '11102': 4, '11106': 4, '11204': 5}"
2021-09-20,222-222@627-s4m-4jv,"{'10025': 12, '10027': 12, '10031': 8, '10032': 4, '10451': 4, '10456': 4, '11385': 4}"
2021-09-20,222-222@627-s4m-75z,"{'10025': 27, '10027': 23, '10035': 4, '10037': 4, '10456': 4, '10459': 4, '10469': 4, '11207': 4, '11208': 4, '11234': 8, '11412': 4, '11433': 4, '11434': 4}"
2021-09-20,222-222@627-s4m-835,"{'10025': 8, '10027': 4, '11207': 4, '11208': 4}"
2021-09-20,222-222@627-s4m-9j9,"{'10019': 4, '10025': 19, '10026': 8, '10027': 4, '10304': 4, '10453': 4, '10456': 4, '10457': 4, '11219': 4, '11228': 4, '11373': 4}"
2021-09-20,222-222@627-s4m-btv,"{'10024': 4, '10025': 12, '10473': 4}"
2021-09-20,222-222@627-s4m-ckf,"{'10023': 4, '10024': 8, '10025': 4, '10314': 4, '10457': 4, '11203': 4, '11224': 4, '11385': 4}"
2021-09-20,222-222@627-s4m-ffz,"{'10001': 5, '10025': 4, '10027': 4, '10030': 10, '10037': 6, '10039': 4, '10456': 4, '10457': 4, '10462': 4, '10473': 4}"
2021-09-20,222-222@627-s4m-v4v,"{'10021': 4, '10022': 4, '10023': 4, '10030': 4, '10037': 4, '10065': 4, '10069': 4, '11422': 4}"
2021-09-20,222-222@627-s4m-vzz,"{'10028': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-09-20,222-222@627-s4m-y7q,"{'10128': 4, '11355': 4, '11358': 4, '11375': 4}"
2021-09-20,222-222@627-s4n-5mk,"{'10021': 8, '10024': 4, '10075': 4, '10458': 4}"
2021-09-20,222-222@627-s4n-5pv,"{'10021': 4, '10028': 4, '10075': 4, '11205': 4}"
2021-09-20,222-222@627-s4n-6c5,"{'10016': 4, '10017': 8, '10022': 4, '10028': 4, '10075': 4, '10455': 4, '10470': 4, '11102': 4, '11220': 4, '11374': 4}"
2021-09-20,222-222@627-s4n-b6k,"{'10023': 5, '10024': 4, '10026': 8, '10027': 8, '10028': 8, '10029': 4, '10075': 4, '10128': 4, '10452': 4, '10462': 4, '10473': 4, '11372': 4, '11377': 4, '11435': 4}"
2021-09-20,222-222@627-s4n-mc5,"{'10007': 4, '10021': 4, '10038': 4, '10065': 4, '11201': 4}"
2021-09-20,222-222@627-s4n-n89,"{'10029': 4, '10128': 4, '11218': 4}"
2021-09-20,222-222@627-s4n-nbk,"{'10002': 4, '10128': 4, '10461': 4, '10466': 4, '10469': 4, '11217': 4, '11231': 4, '11374': 4, '11375': 4}"
2021-09-20,222-222@627-s4n-pjv,"{'10029': 13, '10035': 5, '10128': 4}"
2021-09-20,222-222@627-s4n-q9f,"{'10025': 4, '10026': 7, '10027': 4, '10029': 26, '10030': 4, '10031': 8, '10032': 8, '10035': 19, '10037': 4, '10039': 13, '10128': 12, '10301': 4, '10309': 4, '10312': 4, '10451': 4, '10452': 4, '10456': 4, '10457': 6, '10459': 4, '10463': 4, '11358': 4, '11365': 4, '11369': 7, '11370': 7, '11433': 4, '11435': 4}"
2021-09-20,222-222@627-s4n-qcq,"{'10023': 4, '10024': 4, '10029': 7, '10451': 8, '10455': 4, '10456': 4, '11229': 4, '11235': 4, '11372': 7, '11373': 7}"
2021-09-20,222-222@627-s4n-r49,"{'10029': 20, '10035': 4, '10128': 12, '10312': 4, '11219': 4, '11223': 4, '11224': 4, '11228': 4, '11235': 4, '11374': 4, '11375': 4, '11414': 4, '11416': 4, '11417': 4}"
2021-09-20,222-222@627-s4n-tn5,"{'10028': 4, '10075': 4, '10463': 4, '10468': 4, '11355': 4}"
2021-09-20,222-222@627-s4n-vxq,"{'10002': 4, '10024': 4, '10025': 4, '10458': 4, '11214': 4, '11215': 4, '11223': 4}"
2021-09-20,222-222@627-s4q-v75,"{'10003': 4, '10009': 4, '10010': 4, '10016': 4, '10019': 4, '10023': 10, '10069': 10, '10454': 4, '10455': 4, '11207': 4, '11221': 4, '11237': 4, '11417': 4, '11420': 4}"
2021-09-20,222-222@627-s4q-wx5,"{'10019': 4, '10023': 4, '10031': 4, '10069': 4}"
2021-09-20,222-222@627-s4r-28v,"{'10023': 14, '10024': 9, '10025': 4, '10027': 4}"
2021-09-20,222-222@627-s4r-2rk,"{'10301': 4, '10310': 4, '11214': 4, '11223': 8, '11224': 4, '11229': 4, '11235': 4, '11361': 5, '11364': 5, '11368': 4, '11373': 4, '11375': 4, '11385': 5}"
2021-09-20,222-222@627-s4r-3dv,"{'10023': 6, '10463': 4, '11692': 4}"
2021-09-20,222-222@627-s4r-3kf,"{'10009': 4, '10011': 4, '10019': 6, '10023': 6, '10069': 6, '10461': 4, '10466': 11, '10467': 4, '11225': 4, '11226': 4, '11372': 4, '11373': 4, '11385': 4}"
2021-09-20,222-222@627-s4r-5j9,"{'10040': 4, '11209': 4, '11236': 4}"
2021-09-20,222-222@627-s4r-5s5,"{'10019': 4, '10023': 4, '10024': 4, '11208': 4, '11416': 4}"
2021-09-20,222-222@627-s4r-hkf,"{'10026': 4, '10030': 4, '10037': 4, '10039': 4, '10460': 4, '10472': 4, '11210': 4, '11226': 4, '11377': 4}"
2021-09-20,222-222@627-s4r-pjv,"{'10466': 4, '11207': 4, '11208': 4, '11226': 4}"
2021-09-20,222-222@627-s4s-bp9,"{'10025': 8, '10027': 12, '10031': 8, '10032': 4, '10039': 6, '10473': 4, '11238': 4, '11357': 4}"
2021-09-20,222-222@627-s4s-brk,"{'10026': 5, '10027': 19, '10031': 4, '10033': 4, '10035': 9, '10040': 4, '10452': 4, '11004': 4, '11214': 4, '11373': 4, '11374': 4, '11385': 4, '11426': 4}"
2021-09-20,222-222@627-s4s-ch5,"{'10027': 8, '10031': 4, '10032': 4, '11412': 4, '11433': 4, '11434': 4}"
2021-09-20,222-222@627-s4s-jjv,"{'10026': 8, '10027': 4, '10457': 4}"
2021-09-20,222-222@627-s4s-k2k,"{'10025': 40, '10026': 8, '10027': 32, '10461': 4, '10462': 4, '11223': 4}"
2021-09-20,222-222@627-s4s-k4v,"{'10012': 4, '10013': 4, '10025': 4, '10027': 5, '10464': 5, '11226': 4}"
2021-09-20,222-222@627-s4s-kj9,"{'10002': 4, '10019': 4, '10026': 4, '10027': 8, '10036': 4}"
2021-09-20,222-222@627-s4s-kpv,"{'10024': 4, '10025': 4, '10026': 4, '10027': 5, '10455': 4}"
2021-09-20,222-222@627-s4s-zmk,"{'10025': 9, '10026': 4, '10027': 9, '10029': 4, '10039': 4}"
2021-09-20,222-222@627-s4t-4sq,"{'10023': 4, '10025': 4, '10027': 4, '10029': 4, '10031': 8, '10034': 5, '10035': 4, '10069': 4, '10451': 8, '10454': 4, '10456': 4, '10467': 4}"
2021-09-20,222-222@627-s4t-5fz,"{'10025': 4, '10027': 9, '10031': 20, '10034': 5, '10039': 4, '11203': 4}"
2021-09-20,222-222@627-s4t-8qf,"{'10027': 8, '10031': 4, '10304': 4}"
2021-09-20,222-222@627-s4t-tgk,"{'10027': 4, '10029': 10, '10030': 8, '10035': 14, '10039': 4, '11206': 4, '11211': 4}"
2021-09-20,222-222@627-s4t-tvz,"{'10029': 8, '10035': 8, '11434': 4}"
2021-09-20,222-222@627-s4t-xt9,"{'10027': 4, '10029': 9, '10035': 17, '10037': 8, '11434': 4}"
2021-09-20,222-222@627-s4v-2rk,"{'10029': 7, '10469': 4, '11421': 4}"
2021-09-20,222-222@627-s4v-2x5,"{'10027': 4, '10029': 12, '10030': 4, '10037': 8, '10451': 4, '10453': 4, '10456': 4, '10461': 4, '10462': 4, '10470': 4, '11373': 4, '11377': 4}"
2021-09-20,222-222@627-s4v-2zf,"{'10029': 16, '10035': 4, '10454': 4, '10455': 4, '10459': 8}"
2021-09-20,222-222@627-s4v-35z,"{'10029': 8, '10035': 4, '10452': 4}"
2021-09-20,222-222@627-s4v-3t9,"{'10025': 4, '10026': 4, '10027': 4, '10029': 13}"
2021-09-20,222-222@627-s4v-5pv,"{'10029': 4, '10032': 7, '10460': 4, '10462': 4}"
2021-09-20,222-222@627-s4v-789,"{'10026': 9, '10457': 6, '11207': 4, '11235': 4, '11237': 4}"
2021-09-20,222-222@627-s4v-9cq,"{'10025': 8, '10026': 8, '10027': 4, '10035': 4, '10037': 4, '10040': 4, '10044': 4, '10451': 4, '10456': 4}"
2021-09-20,222-222@627-s4v-bc5,"{'10026': 8, '10030': 4, '10031': 4, '10039': 4}"
2021-09-20,222-222@627-s4v-bx5,"{'10026': 4, '10027': 4, '10033': 4, '10040': 4}"
2021-09-20,222-222@627-s4v-hh5,"{'10027': 4, '10029': 20, '10031': 4, '10032': 4, '10033': 4, '10035': 4, '10128': 4, '10451': 4, '10452': 5, '10454': 4, '10456': 4, '10457': 4, '10460': 4, '11236': 4, '11412': 4}"
2021-09-20,222-222@627-s4v-k4v,"{'10027': 4, '10029': 4, '10035': 14, '10037': 6, '10305': 4, '10451': 4, '10452': 4, '11101': 4, '11104': 4}"
2021-09-20,222-222@627-s4v-k75,"{'10002': 4, '10009': 4, '10023': 4, '10026': 4, '10027': 4, '10029': 4, '10030': 4, '10035': 12, '10037': 4, '10069': 4, '10451': 8, '10452': 4, '10453': 4, '10454': 4, '10455': 4, '10459': 8, '10460': 4, '10461': 4, '10462': 8, '10467': 4, '10468': 4, '10469': 8, '10472': 4, '10474': 8, '10475': 4, '11220': 4, '11223': 4, '11355': 4, '11372': 8, '11373': 4}"
2021-09-20,222-222@627-s4v-mhq,"{'10026': 4, '10027': 4, '10035': 8, '10451': 4, '10454': 4, '10456': 4, '10459': 4, '11218': 4}"
2021-09-20,222-222@627-s4v-nqz,"{'10026': 8, '10027': 4, '10030': 4, '10032': 4, '10035': 4, '10037': 4, '10039': 8, '10452': 8, '11420': 4}"
2021-09-20,222-222@627-s4v-s3q,"{'10001': 4, '10010': 4, '10011': 4, '10025': 4, '10026': 4, '10029': 16, '10032': 4, '10033': 4, '10128': 4, '10451': 4, '10452': 4, '10453': 8, '10454': 4, '10455': 4, '10456': 8, '10457': 4, '10459': 4, '10461': 12, '10465': 4, '10469': 8, '10473': 4, '10475': 4, '11368': 4, '11369': 4, '11372': 4, '11377': 4}"
2021-09-20,222-222@627-s4v-ty9,"{'10035': 15, '10037': 4, '10451': 4, '10454': 4, '10456': 4, '10459': 4, '10475': 4, '11103': 4, '11231': 4, '11692': 4, '11693': 4}"
2021-09-20,222-222@627-s4v-xt9,"{'10026': 8, '10027': 8, '10037': 4, '10128': 4, '10460': 4, '11234': 4}"
2021-09-20,222-222@627-s5w-psq,"{'10025': 4, '10027': 4, '10029': 4, '10030': 4, '10034': 11, '10039': 4, '10453': 4, '10456': 4, '10460': 4, '10463': 4, '10468': 4, '11368': 5, '11369': 5}"
2021-09-20,222-222@627-s5w-q4v,"{'10029': 4, '10453': 4, '10473': 4, '11428': 4}"
2021-09-20,222-222@627-s5w-sbk,"{'10451': 4, '10458': 4, '10460': 4, '10467': 4, '10471': 4, '11233': 4}"
2021-09-20,222-222@627-s5w-sdv,"{'10032': 4, '10040': 9, '10453': 4, '10458': 4, '10460': 4, '10463': 12, '10472': 8, '11373': 4, '11374': 4}"
2021-09-20,222-222@627-s5w-wx5,"{'10030': 4, '10033': 4, '10034': 12, '10037': 4, '10039': 4, '10040': 8, '10452': 4, '10460': 4, '10463': 4, '11234': 4, '11373': 4, '11377': 4}"
2021-09-20,222-222@627-s5w-x89,"{'10034': 4, '10040': 4, '10457': 5, '10458': 5, '10460': 5, '10468': 4}"
2021-09-20,222-222@627-s5w-z9f,"{'10031': 4, '10034': 4, '10309': 5, '10463': 13, '10465': 4, '10467': 4, '10468': 4, '11355': 4, '11358': 4, '11691': 6}"
2021-09-20,222-222@627-s5x-92k,"{'10034': 4, '10040': 8, '10456': 7}"
2021-09-20,222-222@627-s5x-9pv,"{'10024': 4, '10025': 4, '10033': 4, '10034': 12, '10040': 16, '10462': 4, '10466': 4, '10468': 4, '10469': 8, '10475': 4}"
2021-09-20,222-222@627-s5x-b49,"{'10034': 8, '10040': 4, '10471': 4}"
2021-09-20,222-222@627-s5x-c3q,"{'10034': 12, '10040': 8, '10458': 4, '10463': 4, '10468': 4, '11420': 4}"
2021-09-20,222-222@627-s5x-c89,"{'10040': 4, '10456': 4, '10459': 4, '10460': 4, '10462': 4, '10466': 4, '10467': 6, '10470': 4}"
2021-09-20,222-222@627-s5x-cbk,"{'10034': 28, '10040': 6, '10451': 4, '10455': 4, '10458': 4, '10461': 4, '10463': 4}"
2021-09-20,222-222@627-s5x-nyv,"{'10032': 4, '10033': 4, '10034': 4}"
2021-09-20,222-222@627-s6d-52k,"{'10031': 12, '10032': 12, '10456': 4, '10459': 4}"
2021-09-20,222-222@627-s6d-7bk,"{'10032': 9, '10312': 4, '10452': 4, '10475': 5, '11102': 4, '11364': 4}"
2021-09-20,222-222@627-s6d-c5z,"{'10031': 8, '10039': 4, '10463': 4}"
2021-09-20,222-222@627-s6d-c89,"{'10031': 12, '10032': 14, '10460': 4, '10465': 4, '11201': 4}"
2021-09-20,222-222@627-s6d-vcq,"{'10001': 5, '10010': 5, '10011': 5, '10032': 4, '10033': 4, '10454': 4, '11354': 4, '11355': 4, '11385': 4}"
2021-09-20,222-222@627-s6d-whq,"{'10022': 4, '10027': 4, '10032': 4, '10033': 4, '10034': 4, '10035': 4, '10065': 4, '10314': 4, '10451': 8, '10452': 4, '10454': 4, '10455': 4, '10456': 20, '10459': 12, '10467': 5, '10468': 4, '10469': 4, '10470': 5, '10471': 5, '10475': 4, '11207': 4, '11212': 4, '11233': 4, '11421': 4}"
2021-09-20,222-222@627-s6d-zcq,"{'10032': 4, '10033': 4, '10040': 4}"
2021-09-20,222-222@627-s6d-zfz,"{'10032': 20, '10033': 8, '10040': 8, '10452': 4, '10453': 8, '10459': 4}"
2021-09-20,222-222@627-s6f-4d9,"{'10019': 8, '10024': 4, '10026': 4, '10027': 8, '10030': 4, '10031': 14, '10032': 12, '10033': 8, '10035': 8, '10037': 12, '10039': 27, '10453': 6, '10456': 8, '10468': 4, '11212': 4, '11213': 4, '11233': 4}"
2021-09-20,222-222@627-s6f-4n5,"{'10027': 4, '10039': 21, '10457': 5}"
2021-09-20,222-222@627-s6f-4qf,"{'10039': 4, '10459': 4, '11416': 4, '11417': 4}"
2021-09-20,222-222@627-s6f-bx5,"{'10019': 4, '10032': 8, '10033': 4, '10036': 4, '11210': 4, '11230': 4}"
2021-09-20,222-222@627-s6f-yvz,"{'10030': 8, '10037': 8, '10039': 4, '10454': 4, '10456': 4, '11220': 4}"
2021-09-20,222-222@627-s6g-435,"{'10030': 4, '10035': 4, '10037': 8, '10039': 10, '11413': 4, '11422': 4}"
2021-09-20,222-222@627-s6g-5zz,"{'10029': 12, '10035': 8, '10037': 4, '10456': 8, '10458': 4, '10459': 4, '10462': 4, '10468': 4, '11212': 5, '11229': 4, '11235': 4}"
2021-09-20,222-222@627-s6g-6ff,"{'10001': 4, '10026': 4, '10027': 4, '10031': 4, '10035': 4, '10037': 4, '10451': 4, '10453': 4, '10456': 4, '10468': 5, '10472': 4, '10473': 4, '11004': 4}"
2021-09-20,222-222@627-s6g-7yv,"{'10029': 4, '10035': 4, '10037': 4, '10464': 4, '10475': 4}"
2021-09-20,222-222@627-s6g-rrk,"{'10031': 4, '10032': 12, '10033': 4, '10037': 4, '10039': 24, '10455': 4, '10461': 5, '10469': 4, '10473': 4, '10474': 4, '10475': 4}"
2021-09-20,222-222@627-s6m-5vf,"{'10034': 4, '10040': 4, '10463': 4}"
2021-09-20,222-222@627-s6m-6p9,"{'10034': 4, '10453': 4, '10455': 4, '10459': 4, '10473': 4, '11207': 4, '11234': 4, '11239': 4, '11378': 4, '11385': 4, '11434': 6}"
2021-09-20,222-222@627-s6m-6tv,"{'10040': 4, '10451': 4, '10452': 4, '11691': 4, '11692': 4}"
