date_range_end,placekey,visitor
2021-05-24,222-222@627-s4k-d7q,"{'10025': 4, '10029': 4, '10302': 7, '10310': 7, '10314': 7, '11203': 4}"
2021-05-24,222-222@627-s4k-kzz,"{'10005': 4, '10024': 4, '10028': 5, '10038': 4, '10128': 5, '11105': 4, '11229': 4, '11385': 4}"
2021-05-24,222-222@627-s4k-nqz,"{'10007': 4, '10013': 4, '10016': 4, '10017': 4, '10021': 8, '10022': 4, '10023': 4, '10024': 4, '10025': 8, '10027': 4, '10028': 6, '10029': 4, '10030': 4, '10065': 4, '10069': 4, '10128': 6, '10453': 4, '10464': 4, '10466': 8, '10468': 4, '10473': 4, '10475': 4, '11214': 4, '11356': 4, '11385': 4}"
2021-05-24,222-222@627-s4k-p35,"{'10010': 4, '10016': 4, '10021': 17, '10022': 8, '10023': 4, '10024': 4, '10025': 8, '10028': 12, '10031': 4, '10065': 8, '10069': 4, '10075': 8, '10128': 4, '11212': 4, '11364': 4, '11365': 4, '11372': 4, '11385': 4}"
2021-05-24,222-222@627-s4k-psq,"{'10003': 4, '11233': 4, '11374': 4}"
2021-05-24,222-222@627-s4m-4jv,"{'10025': 4, '10026': 4, '10027': 8, '10030': 4, '10031': 8, '10034': 4, '10037': 4, '10040': 4, '10457': 4, '11373': 4}"
2021-05-24,222-222@627-s4m-575,"{'10024': 4, '10025': 4, '10026': 4, '10027': 4, '10032': 4, '10033': 4}"
2021-05-24,222-222@627-s4m-75z,"{'10025': 18, '10027': 18, '11203': 4, '11204': 4, '11210': 4, '11212': 4, '11226': 4, '11411': 4, '11413': 4}"
2021-05-24,222-222@627-s4m-835,"{'10025': 13, '10026': 4, '10027': 4, '10457': 4, '11223': 4}"
2021-05-24,222-222@627-s4m-9j9,"{'10016': 4, '10017': 4, '10023': 4, '10025': 16, '10463': 4, '10471': 4, '11214': 4}"
2021-05-24,222-222@627-s4m-btv,"{'10024': 6, '10025': 18, '10029': 8, '10128': 4, '10454': 4, '10455': 4, '11229': 4}"
2021-05-24,222-222@627-s4m-ffz,"{'10025': 4, '10030': 4, '10037': 4, '10452': 4, '10459': 4, '11204': 4, '11220': 4}"
2021-05-24,222-222@627-s4m-v4v,"{'10002': 4, '10028': 8, '10075': 4, '10128': 4, '10465': 4, '11694': 4}"
2021-05-24,222-222@627-s4m-vzz,"{'10017': 4, '10019': 8, '10022': 4, '10028': 4, '10036': 4, '10075': 4, '10453': 4, '10472': 4, '11235': 4, '11368': 4, '11372': 4, '11373': 8, '11377': 4, '11385': 4}"
2021-05-24,222-222@627-s4m-wc5,"{'10028': 8, '10075': 8, '10128': 4, '10305': 4}"
2021-05-24,222-222@627-s4m-y7q,"{'10028': 4, '10037': 4, '10128': 4}"
2021-05-24,222-222@627-s4n-2tv,"{'10019': 4, '10021': 4, '10075': 4, '10128': 8}"
2021-05-24,222-222@627-s4n-4y9,"{'10458': 4, '11101': 4, '11103': 4, '11106': 4, '11212': 4, '11236': 4, '11373': 4}"
