date_range_end,placekey,visitor
2020-10-19,222-222@627-s4k-d7q,"{'10025': 17, '10030': 4, '10037': 4, '10039': 4, '10452': 4, '10453': 4, '10457': 5, '10467': 4, '10473': 4, '11203': 4, '11210': 4, '11226': 4, '11230': 4}"
2020-10-19,222-222@627-s4k-kpv,"{'10024': 4, '11201': 4, '11217': 4, '11358': 4, '11361': 4, '11368': 4, '11372': 4}"
2020-10-19,222-222@627-s4k-nqz,"{'10019': 7, '10021': 4, '10022': 10, '10023': 7, '10024': 16, '10025': 12, '10028': 5, '10031': 8, '10039': 4, '10069': 7, '10463': 4, '10464': 4, '10466': 4, '10475': 4, '11203': 5, '11235': 7, '11372': 4}"
2020-10-19,222-222@627-s4k-p35,"{'10021': 4, '10022': 4, '10023': 4, '10024': 12, '10025': 8, '10028': 8, '10029': 4, '10065': 4, '10128': 16, '10456': 4, '11364': 4, '11365': 4}"
2020-10-19,222-222@627-s4k-psq,"{'10024': 4, '10025': 8, '10456': 4, '10459': 4}"
2020-10-19,222-222@627-s4m-4jv,"{'10032': 4, '10451': 4, '10456': 4, '11360': 4}"
2020-10-19,222-222@627-s4m-75z,"{'10012': 4, '10024': 4, '10025': 12, '10027': 4, '10304': 4, '10305': 4, '10306': 4, '10453': 4, '10456': 4, '10458': 4, '10474': 4, '11104': 4, '11368': 4, '11373': 4, '11377': 4}"
2020-10-19,222-222@627-s4m-835,"{'10025': 8, '10026': 4, '10035': 4, '11417': 4, '11419': 4}"
2020-10-19,222-222@627-s4m-9j9,"{'10001': 8, '10021': 4, '10024': 4, '10025': 22, '10029': 4, '10031': 4, '10065': 4, '10128': 4, '10452': 4, '10456': 4, '10457': 4, '10463': 4}"
2020-10-19,222-222@627-s4m-btv,"{'10025': 8, '10451': 4, '10454': 4}"
2020-10-19,222-222@627-s4m-ckf,"{'10019': 4, '10021': 4, '10023': 4, '10025': 4, '10467': 4}"
2020-10-19,222-222@627-s4m-ffz,"{'10025': 8, '11207': 4, '11211': 4}"
2020-10-19,222-222@627-s4m-v4v,"{'10021': 8, '10022': 4, '10024': 6, '10028': 8, '10065': 8, '10075': 12, '11212': 4, '11369': 4, '11372': 4, '11694': 4}"
2020-10-19,222-222@627-s4m-vzz,"{'10021': 8, '10028': 8, '10065': 4, '10075': 12, '10466': 4, '10467': 4, '10469': 4, '11207': 4, '11208': 4, '11374': 4}"
2020-10-19,222-222@627-s4m-wc5,"{'10010': 4, '10016': 4, '10021': 4, '10065': 4, '10128': 4, '11375': 4}"
2020-10-19,222-222@627-s4n-2tv,"{'10028': 5, '10128': 5, '11204': 4, '11223': 4, '11370': 4, '11372': 4, '11377': 4}"
2020-10-19,222-222@627-s4n-4y9,"{'10028': 4, '10075': 4, '10464': 4, '10469': 4, '10475': 4, '11221': 4}"
2020-10-19,222-222@627-s4n-52k,"{'10033': 4, '10040': 4, '10128': 4, '11691': 4}"
2020-10-19,222-222@627-s4n-5mk,"{'10021': 9, '10028': 4, '10029': 4, '10035': 4, '10075': 9, '11374': 4}"
2020-10-19,222-222@627-s4n-5pv,"{'10031': 5, '10032': 5, '10034': 4, '10040': 4}"
2020-10-19,222-222@627-s4n-6c5,"{'10001': 4, '10011': 4, '10022': 4, '10065': 4, '10463': 4, '11104': 4, '11229': 4, '11235': 4, '11377': 4, '11413': 4, '11434': 4}"
2020-10-19,222-222@627-s4n-b6k,"{'10001': 4, '10011': 4, '10017': 4, '10018': 4, '10024': 7, '10028': 4, '10303': 4, '10451': 4, '10452': 4, '11229': 4, '11362': 4, '11374': 4, '11375': 4}"
2020-10-19,222-222@627-s4n-mc5,"{'10007': 6, '10009': 4, '10012': 6, '10013': 6, '10023': 4, '10028': 4, '10069': 4, '10075': 4, '10128': 8, '11236': 4}"
2020-10-19,222-222@627-s4n-n89,"{'10022': 4, '10023': 4, '10069': 4}"
2020-10-19,222-222@627-s4n-nbk,"{'10024': 4, '10025': 8, '10028': 4, '10075': 4, '10128': 4, '10307': 4, '10309': 4, '10467': 4, '11214': 4, '11377': 4, '11420': 4}"
2020-10-19,222-222@627-s4n-q4v,"{'10029': 8, '10128': 4, '10457': 9, '11209': 4, '11434': 4}"
2020-10-19,222-222@627-s4n-q9f,"{'10010': 4, '10016': 4, '10019': 5, '10023': 5, '10026': 4, '10028': 4, '10029': 24, '10035': 16, '10069': 5, '10075': 4, '10128': 4, '10452': 4, '10458': 8, '10459': 4, '10460': 4, '10462': 10, '10465': 4, '10469': 8, '10473': 4, '11102': 4, '11104': 4, '11214': 4, '11228': 4, '11368': 4, '11373': 4, '11377': 4, '11413': 4}"
2020-10-19,222-222@627-s4n-qcq,"{'10009': 4, '10024': 4, '10025': 4, '10028': 4, '10029': 15, '10035': 4, '10128': 8, '10460': 4, '10472': 4, '11203': 5, '11234': 5, '11236': 5, '11364': 4, '11368': 4, '11436': 4}"
2020-10-19,222-222@627-s4n-skf,"{'10028': 4, '10128': 4, '11204': 4, '11219': 4, '11223': 4}"
2020-10-19,222-222@627-s4n-sqz,"{'10003': 4, '10021': 4, '10028': 4, '10075': 4}"
2020-10-19,222-222@627-s4n-xbk,"{'10019': 4, '10024': 4, '10026': 4, '10128': 4}"
2020-10-19,222-222@627-s4q-v75,"{'10007': 4, '10013': 4, '10023': 22, '10024': 8, '10031': 4, '10069': 18, '10455': 4, '10464': 4, '10466': 4, '10475': 4, '11228': 4, '11369': 4, '11372': 4}"
2020-10-19,222-222@627-s4q-wkz,"{'10019': 4, '10023': 4, '10069': 4, '10301': 4, '10304': 4, '10314': 4, '10451': 4, '10455': 4, '11354': 4, '11355': 4}"
2020-10-19,222-222@627-s4q-wx5,"{'10019': 8, '10023': 8, '10024': 8, '10026': 4, '10028': 5, '10069': 4, '10128': 5, '10306': 4, '11101': 4, '11109': 4, '11355': 4}"
2020-10-19,222-222@627-s4q-zvf,"{'10001': 4, '10011': 4, '10018': 4, '10019': 8, '10023': 8, '10024': 4, '10025': 4, '10031': 4, '10032': 5, '10033': 5, '10034': 8, '10314': 4, '10452': 4, '10453': 4, '10465': 8, '10466': 4, '10468': 4, '10469': 4, '11201': 4, '11208': 4, '11213': 4, '11216': 4, '11223': 4, '11229': 4, '11235': 4, '11238': 4, '11368': 4, '11378': 4, '11385': 4, '11411': 4, '11418': 5, '11421': 5}"
2020-10-19,222-222@627-s4r-2rk,"{'11104': 4, '11208': 5, '11377': 4, '11421': 5}"
2020-10-19,222-222@627-s4r-3dv,"{'10019': 4, '10023': 4, '10024': 8, '10025': 4, '10069': 4}"
2020-10-19,222-222@627-s4r-3kf,"{'10019': 8, '10022': 4, '10023': 4, '10024': 4, '10069': 4, '10306': 4, '10308': 4, '11105': 4, '11222': 4, '11418': 4, '11421': 4}"
2020-10-19,222-222@627-s4r-hkf,"{'10019': 4, '10023': 4, '10069': 4, '10461': 4, '10462': 4, '10463': 4, '10468': 4, '11228': 4, '11356': 4, '11372': 4}"
2020-10-19,222-222@627-s4r-q75,"{'11215': 4, '11232': 4, '11377': 4}"
2020-10-19,222-222@627-s4r-vs5,"{'10002': 4, '10023': 4, '10030': 4, '10037': 4, '10069': 4, '10458': 4}"
2020-10-19,222-222@627-s4s-bp9,"{'10003': 4, '10010': 4, '10027': 14, '10031': 6, '10303': 4, '10456': 4, '10457': 4, '11357': 4, '11413': 4, '11434': 4}"
2020-10-19,222-222@627-s4s-brk,"{'10026': 5, '10027': 9, '10030': 5, '10031': 4, '10034': 4, '10035': 5, '10037': 5, '10039': 5, '10040': 9, '10452': 4, '10463': 4, '10468': 4}"
2020-10-19,222-222@627-s4s-cbk,"{'10031': 4, '10032': 4, '10452': 4, '10467': 4}"
2020-10-19,222-222@627-s4s-ch5,"{'10007': 4, '10013': 4, '10027': 4, '10455': 4, '10456': 4}"
2020-10-19,222-222@627-s4s-jjv,"{'10026': 12, '10027': 12, '10459': 4, '10474': 4, '11414': 4}"
2020-10-19,222-222@627-s4s-jn5,"{'10026': 4, '10035': 4, '10037': 4}"
2020-10-19,222-222@627-s4s-m6k,"{'10021': 4, '10027': 4, '10028': 4, '10065': 4, '10075': 4}"
2020-10-19,222-222@627-s4s-nwk,"{'10026': 4, '10027': 4, '10035': 4, '11436': 4}"
2020-10-19,222-222@627-s4t-4sq,"{'10007': 4, '10013': 4, '10027': 5, '10031': 13, '10032': 8, '10451': 14, '10452': 10, '10453': 4, '10454': 4, '10456': 4, '10468': 8, '11206': 8}"
2020-10-19,222-222@627-s4t-5fz,"{'10024': 4, '10025': 6, '10027': 11, '10031': 19, '10039': 4, '10451': 4, '10455': 4}"
2020-10-19,222-222@627-s4t-8qf,"{'10027': 13, '10030': 4, '10031': 4, '10035': 4, '10037': 4, '10453': 4, '11368': 4}"
2020-10-19,222-222@627-s4t-9cq,"{'10031': 4, '10032': 4, '10466': 4}"
2020-10-19,222-222@627-s4t-bp9,"{'10019': 4, '10031': 4, '10032': 4, '10036': 4, '10040': 4, '10451': 4, '10455': 4, '11236': 4}"
2020-10-19,222-222@627-s4t-tgk,"{'10026': 4, '10027': 4, '10029': 4, '10035': 4, '10451': 4, '10456': 4, '10457': 4, '10469': 4}"
2020-10-19,222-222@627-s4t-tvz,"{'10029': 11, '10035': 11, '10128': 8, '10457': 4}"
2020-10-19,222-222@627-s4t-xt9,"{'10029': 4, '10035': 8, '10037': 4, '10451': 4, '10456': 4, '10473': 4, '11364': 4}"
2020-10-19,222-222@627-s4v-2rk,"{'10029': 23, '10128': 8, '10466': 4, '10469': 4, '11105': 4, '11370': 4, '11418': 4}"
2020-10-19,222-222@627-s4v-2x5,"{'10029': 4, '11209': 4, '11220': 7, '11373': 4, '11432': 4}"
2020-10-19,222-222@627-s4v-435,"{'10029': 4, '10461': 4, '10462': 4}"
2020-10-19,222-222@627-s4v-789,"{'10026': 12, '10029': 4, '10035': 4, '10462': 4, '10467': 4, '11103': 4, '11214': 4, '11223': 4}"
2020-10-19,222-222@627-s4v-9cq,"{'10026': 10, '10029': 4, '10031': 4, '10032': 4, '10035': 5, '10037': 5, '10451': 8, '10452': 4, '10453': 8, '10455': 4, '11101': 4, '11103': 4, '11106': 4}"
2020-10-19,222-222@627-s4v-9xq,"{'10026': 9, '10037': 4, '10460': 4, '10466': 4, '10467': 4, '11373': 4}"
2020-10-19,222-222@627-s4v-bc5,"{'10029': 4, '10030': 4, '10031': 8, '10035': 4, '10037': 4, '10454': 4, '10455': 4}"
2020-10-19,222-222@627-s4v-dn5,"{'10004': 4, '10021': 4, '10027': 4, '10029': 28, '10030': 4, '10031': 4, '10035': 8, '10037': 4, '10065': 4, '10128': 9, '10280': 4, '10303': 4, '10467': 4, '10469': 4, '10473': 4, '10475': 4, '11102': 4, '11203': 4, '11204': 4, '11207': 4, '11214': 4, '11215': 4, '11218': 4, '11221': 4, '11224': 4, '11230': 4, '11233': 4, '11235': 4, '11374': 4, '11375': 4, '11377': 4, '11385': 4, '11427': 4, '11428': 4, '11432': 8}"
2020-10-19,222-222@627-s4v-hh5,"{'10029': 8, '10033': 4, '10035': 4, '10128': 4, '10308': 4, '10312': 4, '10462': 4, '11434': 4}"
2020-10-19,222-222@627-s4v-k75,"{'10027': 4, '10029': 4, '10031': 4, '10032': 4, '10035': 8, '10037': 4, '10044': 4, '10467': 10, '10469': 5, '10472': 8, '11223': 4, '11412': 4, '11418': 4, '11419': 4}"
2020-10-19,222-222@627-s4v-mhq,"{'10026': 4, '10027': 4, '10029': 4, '10035': 8, '10039': 5}"
2020-10-19,222-222@627-s4v-nqz,"{'10025': 4, '10035': 4, '10037': 4, '10457': 4, '10462': 4, '10468': 4, '10475': 4}"
2020-10-19,222-222@627-s4v-s3q,"{'10026': 4, '10027': 4, '10463': 4, '10465': 4, '10470': 4, '11210': 4, '11226': 4, '11236': 4}"
2020-10-19,222-222@627-s4v-v4v,"{'10035': 12, '10037': 4, '10039': 4, '11229': 4}"
2020-10-19,222-222@627-s4w-3t9,"{'10030': 4, '10035': 4, '10037': 4, '10452': 4, '11207': 6}"
2020-10-19,222-222@627-s5w-psq,"{'10032': 4, '10034': 4, '10456': 5, '10457': 5, '11207': 4, '11208': 4, '11360': 4, '11373': 4}"
2020-10-19,222-222@627-s5w-sbk,"{'10451': 4, '10455': 4, '10456': 4, '10457': 4, '10463': 4, '10468': 4, '10472': 4, '11233': 4, '11420': 5}"
2020-10-19,222-222@627-s5w-sdv,"{'10034': 4, '10453': 9, '10460': 4, '10463': 4}"
2020-10-19,222-222@627-s5w-wx5,"{'10034': 8, '10040': 4, '10306': 4, '10453': 4, '10463': 4, '10465': 4}"
2020-10-19,222-222@627-s5w-x89,"{'10029': 4, '10034': 4, '10468': 4, '11210': 4, '11234': 4}"
2020-10-19,222-222@627-s5w-z9f,"{'10034': 4, '10452': 4, '10456': 4, '10457': 4, '11364': 4}"
2020-10-19,222-222@627-s5x-92k,"{'10034': 11, '10040': 11, '10457': 4, '10460': 4, '10463': 4, '10466': 4, '11421': 4}"
2020-10-19,222-222@627-s5x-9pv,"{'10034': 11, '10040': 11, '10466': 4, '10468': 8, '11207': 4}"
2020-10-19,222-222@627-s5x-b49,"{'10034': 5, '10040': 5, '10463': 4, '10471': 4}"
2020-10-19,222-222@627-s5x-c3q,"{'10002': 4, '10034': 8, '10040': 4, '10453': 4, '11229': 4}"
2020-10-19,222-222@627-s5x-c89,"{'10029': 4, '10032': 4, '10033': 4, '10034': 5, '10040': 17, '11366': 4, '11432': 4}"
2020-10-19,222-222@627-s5x-cbk,"{'10033': 4, '10034': 33, '10040': 4, '10463': 4, '10468': 4, '11216': 4}"
2020-10-19,222-222@627-s6d-52k,"{'10032': 4, '10460': 4, '10462': 4}"
2020-10-19,222-222@627-s6d-789,"{'10032': 4, '10128': 4, '11236': 4}"
2020-10-19,222-222@627-s6d-7bk,"{'10021': 4, '10031': 8, '10032': 26, '10039': 4, '10467': 4, '10470': 4, '10471': 4, '11374': 4}"
2020-10-19,222-222@627-s6d-8jv,"{'10028': 4, '10128': 4, '10453': 4}"
2020-10-19,222-222@627-s6d-c5z,"{'10027': 8, '10030': 4, '10031': 12, '10039': 4}"
2020-10-19,222-222@627-s6d-c89,"{'10031': 4, '10033': 4, '10035': 4, '10460': 4, '11203': 4, '11220': 4}"
2020-10-19,222-222@627-s6d-djv,"{'10031': 4, '10451': 8, '10452': 4, '10456': 4}"
2020-10-19,222-222@627-s6d-pvz,"{'10025': 4, '10031': 12, '10032': 8, '10456': 4, '10457': 4}"
2020-10-19,222-222@627-s6d-vcq,"{'10032': 4, '10036': 4, '11368': 4, '11373': 4}"
