date_range_end,placekey,visitor
2021-03-15,222-222@627-s4k-cwk,"{'10468': 4, '11201': 4, '11212': 4, '11236': 4, '11238': 4}"
2021-03-15,222-222@627-s4k-d7q,"{'10024': 9, '10025': 17, '10465': 4}"
2021-03-15,222-222@627-s4k-fvf,"{'10025': 4, '10312': 4, '10462': 6}"
2021-03-15,222-222@627-s4k-kzz,"{'10017': 4, '10022': 4, '10024': 4, '10466': 4}"
2021-03-15,222-222@627-s4k-nqz,"{'10011': 4, '10014': 4, '10019': 4, '10021': 9, '10022': 4, '10023': 4, '10024': 15, '10025': 27, '10026': 4, '10027': 4, '10028': 8, '10031': 4, '10033': 4, '10040': 4, '10065': 4, '10075': 4, '10312': 4, '11212': 4, '11214': 4, '11373': 4}"
2021-03-15,222-222@627-s4k-p35,"{'10019': 4, '10021': 7, '10022': 4, '10023': 8, '10065': 4, '10069': 4, '10128': 4, '11364': 4, '11365': 4, '11413': 4, '11422': 4}"
2021-03-15,222-222@627-s4k-psq,"{'10019': 4, '10023': 4, '10024': 4, '10025': 8, '10039': 4, '10069': 4, '10451': 4, '10456': 4, '11368': 4, '11373': 4}"
2021-03-15,222-222@627-s4m-575,"{'10025': 6, '10027': 4, '10301': 4, '10310': 4}"
2021-03-15,222-222@627-s4m-75z,"{'10025': 18, '10027': 26, '10304': 4, '10305': 4, '10454': 4, '10455': 4, '10459': 4, '10464': 4, '10466': 4, '10472': 4, '10475': 4, '11208': 4, '11419': 5}"
2021-03-15,222-222@627-s4m-835,"{'10025': 6, '10030': 4, '10031': 4, '10037': 4, '10451': 4, '10456': 4, '11417': 4, '11419': 4}"
2021-03-15,222-222@627-s4m-9j9,"{'10012': 4, '10025': 11, '10027': 4}"
2021-03-15,222-222@627-s4m-ckf,"{'10025': 4, '10032': 4, '11208': 6, '11216': 6, '11235': 4, '11421': 6}"
2021-03-15,222-222@627-s4m-v4v,"{'10021': 4, '10023': 4, '10069': 4, '11201': 4, '11217': 4}"
2021-03-15,222-222@627-s4m-vzz,"{'10021': 4, '10075': 4, '10312': 4, '11207': 4, '11239': 4}"
2021-03-15,222-222@627-s4m-wc5,"{'10022': 4, '10028': 4, '10065': 4, '10128': 4, '11104': 4, '11377': 8}"
2021-03-15,222-222@627-s4m-y7q,"{'10028': 4, '10128': 4, '11103': 4, '11106': 4, '11207': 4, '11221': 4, '11237': 4, '11361': 4}"
2021-03-15,222-222@627-s4n-5mk,"{'10021': 4, '10028': 5, '10075': 9, '11374': 4}"
2021-03-15,222-222@627-s4n-5pv,"{'10002': 4, '10021': 4, '10075': 4, '11218': 4}"
2021-03-15,222-222@627-s4n-6c5,"{'10452': 4, '11373': 4, '11379': 4, '11385': 4, '11415': 4, '11418': 4}"
2021-03-15,222-222@627-s4n-b6k,"{'10017': 4, '10028': 4, '10128': 4, '10464': 4, '10466': 4, '10475': 4, '11103': 4, '11106': 4, '11236': 4}"
2021-03-15,222-222@627-s4n-pn5,"{'10314': 4, '10453': 4, '10468': 4}"
2021-03-15,222-222@627-s4n-q4v,"{'10002': 4, '10029': 4, '10457': 4, '10459': 5, '10460': 5, '11434': 4}"
2021-03-15,222-222@627-s4n-q9f,"{'10005': 9, '10029': 8, '10035': 8, '10038': 9, '10454': 4, '10455': 4, '10456': 4, '10462': 4, '10467': 4, '10472': 8, '11214': 4, '11224': 4, '11370': 4, '11372': 4}"
2021-03-15,222-222@627-s4n-qcq,"{'10029': 4, '10030': 4, '10035': 4, '11201': 4, '11208': 4, '11229': 4, '11235': 4, '11354': 4, '11356': 4, '11357': 8, '11412': 4}"
2021-03-15,222-222@627-s4n-skf,"{'10028': 4, '11433': 4, '11435': 4}"
