date_range_end,placekey,visitor
2021-05-17,222-222@627-s4k-cwk,"{'10009': 4, '10031': 4, '10128': 4, '11106': 4, '11432': 4, '11433': 4}"
2021-05-17,222-222@627-s4k-d7q,"{'10024': 4, '10025': 4, '10029': 4, '10128': 4, '10457': 4, '10458': 4, '11365': 4, '11366': 4}"
2021-05-17,222-222@627-s4k-fvf,"{'10024': 4, '10025': 8, '10030': 4, '10037': 4, '11218': 4, '11221': 4, '11226': 4}"
2021-05-17,222-222@627-s4k-kpv,"{'11004': 4, '11354': 4, '11357': 4}"
2021-05-17,222-222@627-s4k-kzz,"{'10024': 4, '11105': 4, '11220': 5, '11419': 4}"
2021-05-17,222-222@627-s4k-nqz,"{'10024': 6, '10025': 10, '10026': 4, '10028': 4, '10035': 4, '10075': 4, '10312': 4, '11106': 4, '11378': 8, '11379': 4}"
2021-05-17,222-222@627-s4k-p35,"{'10017': 4, '10019': 4, '10021': 9, '10022': 4, '10023': 4, '10025': 5, '10028': 13, '10029': 4, '10069': 4, '10075': 5, '10128': 8, '11211': 4, '11364': 5, '11365': 5}"
2021-05-17,222-222@627-s4k-psq,"{'10467': 4, '11211': 4, '11222': 4, '11354': 4, '11357': 4, '11358': 4}"
2021-05-17,222-222@627-s4m-4jv,"{'10025': 4, '10026': 4, '10027': 4, '10031': 4, '11217': 4, '11231': 4}"
2021-05-17,222-222@627-s4m-575,"{'10024': 4, '10025': 12, '10027': 4, '10032': 5, '10034': 5, '10456': 5, '10457': 5, '11215': 4, '11372': 4}"
2021-05-17,222-222@627-s4m-75z,"{'10025': 4, '10026': 4, '10027': 20, '10032': 4, '10451': 4, '10456': 4, '11204': 4, '11379': 5, '11385': 5}"
2021-05-17,222-222@627-s4m-835,"{'10001': 4, '10002': 4, '10025': 8, '10027': 8, '10303': 4, '11103': 4}"
2021-05-17,222-222@627-s4m-9j9,"{'10021': 4, '10023': 4, '10024': 4, '10025': 12, '10031': 4, '10032': 4, '10033': 4, '10065': 4, '10471': 4, '11420': 4, '11422': 4}"
2021-05-17,222-222@627-s4m-btv,"{'10025': 4, '10039': 4, '10128': 4}"
2021-05-17,222-222@627-s4m-ckf,"{'10024': 4, '10025': 8, '10301': 4, '10310': 4, '10463': 4, '11204': 4, '11230': 4}"
2021-05-17,222-222@627-s4m-v4v,"{'10028': 12, '10075': 4, '10128': 4}"
2021-05-17,222-222@627-s4m-vzz,"{'10022': 4, '10029': 12, '10035': 4, '10128': 4, '10451': 4, '10452': 4, '10453': 4, '10456': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-05-17,222-222@627-s4m-y7q,"{'10035': 4, '10128': 4, '10454': 4, '10455': 4, '11226': 4}"
2021-05-17,222-222@627-s4n-4y9,"{'10021': 4, '10025': 4, '10065': 4, '10466': 4, '10470': 4, '11374': 4, '11375': 4}"
2021-05-17,222-222@627-s4n-52k,"{'10028': 4, '10075': 4, '11374': 4, '11375': 4}"
2021-05-17,222-222@627-s4n-5mk,"{'10021': 4, '10028': 8, '10065': 4, '10075': 8, '11365': 4, '11366': 4}"
2021-05-17,222-222@627-s4n-6c5,"{'10312': 4, '10462': 4, '10473': 4, '11374': 4}"
2021-05-17,222-222@627-s4n-8sq,"{'11217': 4, '11220': 4, '11434': 4}"
2021-05-17,222-222@627-s4n-b6k,"{'10024': 8, '10025': 8, '10026': 4, '10028': 4, '10033': 4, '10035': 4, '10040': 4, '10457': 4}"
2021-05-17,222-222@627-s4n-hwk,"{'10029': 4, '10035': 4, '11377': 4}"
2021-05-17,222-222@627-s4n-nbk,"{'10017': 4, '10024': 4, '10461': 4, '10470': 4}"
2021-05-17,222-222@627-s4n-pn5,"{'10029': 4, '10035': 4, '10128': 4, '10457': 6, '10460': 6, '11101': 4, '11106': 4}"
2021-05-17,222-222@627-s4n-q4v,"{'10029': 8, '10128': 4, '11370': 4, '11372': 4, '11377': 4}"
2021-05-17,222-222@627-s4n-q9f,"{'10002': 4, '10021': 4, '10022': 8, '10025': 4, '10026': 8, '10029': 20, '10030': 4, '10034': 4, '10035': 8, '10037': 4, '10040': 4, '10065': 8, '10075': 4, '10128': 8, '10305': 4, '10306': 4, '10451': 4, '10456': 8, '10459': 12, '10466': 4, '10473': 4, '11209': 4, '11214': 4, '11220': 4, '11223': 4, '11235': 4, '11368': 4, '11432': 4}"
2021-05-17,222-222@627-s4n-qcq,"{'10004': 4, '10021': 4, '10029': 4, '10032': 5, '10033': 5, '10036': 4, '10075': 4, '10128': 4, '10280': 4, '10456': 4, '10459': 4, '10465': 4, '11101': 8, '11103': 4, '11104': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-05-17,222-222@627-s4n-tn5,"{'10028': 8, '10075': 8, '11201': 4, '11231': 4}"
2021-05-17,222-222@627-s4n-vxq,"{'10019': 4, '10023': 4, '10024': 4, '10025': 4, '10028': 4, '10036': 4, '10069': 4, '10075': 4, '10128': 4, '10451': 4, '10452': 4}"
2021-05-17,222-222@627-s4n-xbk,"{'10027': 4, '10028': 4, '10030': 4, '11214': 4}"
2021-05-17,222-222@627-s4p-3nq,"{'11101': 6, '11104': 6, '11361': 4}"
2021-05-17,222-222@627-s4q-v75,"{'10019': 4, '10023': 20, '10031': 4, '10069': 16, '11362': 4, '11363': 4}"
2021-05-17,222-222@627-s4q-wkz,"{'10019': 4, '10023': 4, '10024': 4, '10069': 4}"
2021-05-17,222-222@627-s4q-wx5,"{'10019': 6, '10021': 4, '10023': 10, '10069': 10, '10075': 4, '11212': 4, '11213': 4, '11218': 4}"
2021-05-17,222-222@627-s4q-zvf,"{'10001': 4, '10005': 4, '10018': 4, '10019': 12, '10023': 8, '10026': 4, '10029': 8, '10038': 4, '10039': 4, '10069': 4, '10305': 4, '10451': 4, '10452': 4, '11106': 4, '11207': 4, '11208': 4, '11223': 4, '11224': 4, '11373': 4, '11374': 4, '11692': 4, '11693': 4}"
2021-05-17,222-222@627-s4r-28v,"{'10019': 8, '10023': 11, '10024': 10, '10025': 4, '10033': 4, '10040': 4, '10472': 4}"
2021-05-17,222-222@627-s4r-2p9,"{'10011': 4, '10014': 4, '10019': 8, '10023': 4, '10029': 4, '10035': 4}"
2021-05-17,222-222@627-s4r-2rk,"{'10019': 4, '10023': 4, '10069': 4, '11103': 4, '11237': 4}"
2021-05-17,222-222@627-s4r-3dv,"{'10019': 4, '10023': 4, '10024': 4, '10025': 5, '10028': 4, '10075': 4, '10456': 4, '10459': 4, '10463': 8, '10471': 4, '11207': 4, '11237': 4}"
