date_range_end,placekey,visitor
2021-01-18,222-222@627-s4k-cwk,"{'10025': 4, '10027': 4, '10030': 4, '10031': 4, '10032': 4, '11373': 4}"
2021-01-18,222-222@627-s4k-fvf,"{'10023': 4, '10459': 4, '10467': 4, '10469': 4}"
2021-01-18,222-222@627-s4k-nqz,"{'10024': 9, '10025': 25, '10452': 4, '10463': 4, '11101': 4, '11106': 4, '11203': 4, '11207': 4, '11360': 4, '11373': 4, '11426': 4, '11428': 4}"
2021-01-18,222-222@627-s4k-p35,"{'10017': 4, '10021': 4, '10022': 8, '10024': 4, '10025': 4, '10065': 4}"
2021-01-18,222-222@627-s4k-psq,"{'10024': 4, '10025': 4, '10452': 4, '10463': 4, '10467': 4, '10470': 4, '10471': 4, '11208': 4, '11368': 4, '11372': 4, '11377': 4}"
2021-01-18,222-222@627-s4m-75z,"{'10025': 8, '10027': 8, '10451': 4, '10452': 4, '10459': 4, '11208': 4, '11213': 4}"
2021-01-18,222-222@627-s4m-9j9,"{'10024': 4, '10025': 19, '10026': 8, '10031': 4, '10032': 4, '10452': 4, '10453': 12, '10468': 4, '10469': 4, '11364': 4}"
2021-01-18,222-222@627-s4m-btv,"{'10001': 4, '10010': 4, '10011': 4, '10025': 8, '10454': 4, '10455': 4, '11104': 4, '11354': 4, '11358': 4, '11377': 4}"
2021-01-18,222-222@627-s4m-ckf,"{'10021': 4, '10025': 6, '10028': 4, '10075': 4, '11207': 4, '11221': 4, '11225': 4, '11233': 4}"
2021-01-18,222-222@627-s4m-ffz,"{'10025': 8, '10030': 4, '10035': 4, '10037': 8, '11222': 4}"
2021-01-18,222-222@627-s4m-v4v,"{'10023': 4, '10069': 4, '10465': 4}"
2021-01-18,222-222@627-s4m-vzz,"{'10029': 4, '11101': 4, '11102': 4, '11103': 4, '11106': 4, '11216': 8}"
2021-01-18,222-222@627-s4m-wc5,"{'10128': 4, '11369': 4, '11370': 4}"
2021-01-18,222-222@627-s4m-y7q,"{'10029': 4, '11219': 4, '11220': 4, '11232': 4}"
2021-01-18,222-222@627-s4n-2kz,"{'10001': 4, '10004': 4, '10280': 4}"
2021-01-18,222-222@627-s4n-4y9,"{'10021': 4, '10028': 4, '10075': 8, '10451': 4}"
2021-01-18,222-222@627-s4n-5mk,"{'10021': 8, '10025': 6, '10028': 8, '10075': 12, '11361': 4, '11364': 4}"
2021-01-18,222-222@627-s4n-6c5,"{'11214': 4, '11368': 8, '11369': 8}"
2021-01-18,222-222@627-s4n-b6k,"{'10011': 4, '10024': 12, '10025': 8, '10032': 4, '11354': 4, '11355': 4}"
2021-01-18,222-222@627-s4n-ch5,"{'10001': 4, '10027': 5, '10031': 5, '11416': 4, '11418': 4, '11419': 4}"
2021-01-18,222-222@627-s4n-gp9,"{'11204': 6, '11373': 4, '11377': 4, '11385': 4}"
2021-01-18,222-222@627-s4n-nbk,"{'10128': 9, '10461': 4, '11235': 4, '11379': 4, '11385': 4, '11414': 4}"
2021-01-18,222-222@627-s4n-q4v,"{'10029': 8, '10128': 8, '10459': 8, '10468': 4, '11105': 4, '11208': 4, '11370': 4, '11413': 4}"
2021-01-18,222-222@627-s4n-q9f,"{'10019': 4, '10025': 4, '10029': 23, '10035': 13, '10128': 14, '10451': 4, '10455': 12, '10456': 8, '10459': 4, '10463': 4, '10467': 4, '10469': 4, '10471': 4, '10474': 8, '11205': 4, '11207': 4, '11208': 4, '11231': 5, '11235': 4, '11238': 4, '11432': 4, '11435': 4}"
2021-01-18,222-222@627-s4n-qcq,"{'10001': 4, '10021': 4, '10029': 10, '10031': 4, '10075': 4, '10128': 8, '10456': 5, '10468': 4}"
2021-01-18,222-222@627-s4n-tn5,"{'10022': 4, '10028': 4, '10065': 4, '10307': 4, '10309': 4}"
2021-01-18,222-222@627-s4n-vxq,"{'10024': 4, '10025': 9, '10026': 4, '10028': 4, '10128': 4, '10455': 4, '10459': 4, '11104': 4, '11377': 4}"
2021-01-18,222-222@627-s4q-v75,"{'10009': 4, '10019': 8, '10023': 18, '10025': 9, '10069': 14, '11212': 4, '11214': 4, '11370': 4, '11372': 4, '11375': 4}"
2021-01-18,222-222@627-s4q-vpv,"{'10023': 4, '10069': 4, '11218': 4}"
2021-01-18,222-222@627-s4q-wkz,"{'10032': 4, '11224': 4, '11235': 4}"
2021-01-18,222-222@627-s4q-wx5,"{'10019': 6, '10023': 10, '10069': 10, '10464': 4, '10466': 4, '10475': 4, '11203': 4, '11212': 4, '11213': 4, '11234': 4, '11236': 4, '11356': 4}"
2021-01-18,222-222@627-s4q-zvf,"{'10001': 4, '10011': 4, '10018': 4, '10019': 9, '10022': 6, '10023': 9, '10024': 4, '10026': 4, '10027': 4, '10029': 4, '10034': 4, '10065': 6, '10128': 9, '10305': 4, '10451': 4, '10452': 4, '10457': 4, '10473': 4, '11105': 4, '11204': 4, '11207': 4, '11209': 4, '11220': 4, '11235': 8, '11370': 4, '11375': 4, '11412': 4, '11420': 4, '11423': 4}"
2021-01-18,222-222@627-s4r-28v,"{'10019': 4, '10023': 8, '10024': 7, '10457': 4, '10460': 4}"
2021-01-18,222-222@627-s4r-3dv,"{'10009': 4, '10018': 4, '10019': 12, '10023': 12, '10024': 4, '10025': 4, '10036': 4, '10069': 4, '10463': 4, '10471': 4, '11433': 4, '11434': 4, '11435': 4}"
2021-01-18,222-222@627-s4r-3kf,"{'10019': 4, '10023': 4, '10024': 6, '10026': 4, '10027': 4, '10028': 4, '10069': 4, '10128': 4, '11356': 4, '11360': 4, '11361': 4}"
2021-01-18,222-222@627-s4r-hkf,"{'10019': 8, '10023': 8, '10024': 4, '10026': 4, '10069': 8, '10456': 4, '11360': 4}"
2021-01-18,222-222@627-s4s-bp9,"{'10027': 7, '10031': 7, '10456': 4, '10457': 4, '11365': 4}"
2021-01-18,222-222@627-s4s-brk,"{'10027': 4, '10031': 8, '10454': 4, '10455': 4, '11219': 4, '11220': 4}"
2021-01-18,222-222@627-s4s-c5z,"{'10027': 8, '11213': 4, '11216': 4}"
2021-01-18,222-222@627-s4s-jjv,"{'10026': 10, '10027': 8, '10029': 4, '10035': 4, '10456': 4}"
2021-01-18,222-222@627-s4s-k4v,"{'10018': 4, '10026': 4, '10027': 8, '10032': 4, '10033': 4, '10036': 4}"
2021-01-18,222-222@627-s4s-kj9,"{'10025': 4, '10026': 4, '10458': 4, '10468': 4, '11213': 4, '11216': 4, '11235': 4}"
2021-01-18,222-222@627-s4s-m6k,"{'10303': 4, '10454': 4, '10469': 5, '10475': 4}"
2021-01-18,222-222@627-s4t-4sq,"{'10031': 9, '10456': 4, '10457': 4, '10463': 4, '11106': 4, '11236': 4, '11355': 4, '11373': 4}"
2021-01-18,222-222@627-s4t-5fz,"{'10025': 4, '10027': 5, '10031': 5, '10462': 4, '10465': 4}"
2021-01-18,222-222@627-s4t-bp9,"{'10025': 4, '10027': 4, '10031': 4, '10456': 5, '11204': 4, '11372': 4, '11373': 4}"
2021-01-18,222-222@627-s4t-tgk,"{'10026': 8, '10029': 4, '10035': 12, '10461': 4}"
2021-01-18,222-222@627-s4t-tvz,"{'10019': 4, '10029': 8, '10035': 4, '10036': 4, '10465': 4}"
2021-01-18,222-222@627-s4t-xt9,"{'10029': 4, '10035': 8, '10453': 4, '11427': 4, '11428': 4}"
2021-01-18,222-222@627-s4v-2rk,"{'10026': 4, '10029': 4, '10457': 5, '10458': 5}"
