date_range_end,placekey,visitor
2021-04-26,222-222@627-s4k-cwk,"{'10025': 4, '10026': 4, '10039': 4, '11210': 4, '11226': 4}"
2021-04-26,222-222@627-s4k-d7q,"{'10025': 4, '10030': 4, '10037': 4, '10463': 4, '10471': 4, '11203': 5, '11212': 5}"
2021-04-26,222-222@627-s4k-fvf,"{'10025': 4, '10463': 5, '10471': 5, '11220': 4}"
2021-04-26,222-222@627-s4k-kzz,"{'10004': 4, '10005': 4, '10024': 4, '10025': 4, '10031': 4, '10038': 4}"
2021-04-26,222-222@627-s4k-nqz,"{'10021': 8, '10024': 15, '10025': 15, '10065': 4, '10128': 4, '10314': 4, '11103': 4, '11214': 4, '11368': 4, '11378': 4, '11379': 4, '11414': 4, '11420': 4, '11691': 4, '11692': 4}"
2021-04-26,222-222@627-s4k-p35,"{'10021': 11, '10022': 4, '10023': 4, '10024': 8, '10025': 4, '10028': 12, '10029': 4, '10031': 4, '10065': 4, '10075': 8, '10128': 12, '10456': 4, '10457': 4}"
2021-04-26,222-222@627-s4k-psq,"{'10024': 5, '10025': 5, '10451': 4, '10455': 5, '10456': 4, '10459': 5, '11372': 4, '11377': 4}"
2021-04-26,222-222@627-s4m-4jv,"{'10024': 4, '10025': 4, '10031': 4, '11385': 4}"
2021-04-26,222-222@627-s4m-75z,"{'10025': 8, '10026': 4, '10027': 8, '10031': 4, '10032': 8, '10465': 4, '11208': 4}"
2021-04-26,222-222@627-s4m-9j9,"{'10016': 4, '10017': 4, '10023': 4, '10024': 4, '10025': 12, '10026': 4, '10027': 4, '10069': 4, '10452': 4, '10453': 4, '10472': 4, '11377': 4}"
2021-04-26,222-222@627-s4m-ckf,"{'10016': 4, '10018': 4, '10025': 8, '10454': 4, '10455': 4, '10467': 5, '11233': 4, '11361': 4}"
2021-04-26,222-222@627-s4m-ffz,"{'10451': 8, '10455': 4, '10456': 8, '10459': 4, '11210': 4}"
2021-04-26,222-222@627-s4m-v4v,"{'10023': 4, '10069': 4, '11214': 4}"
2021-04-26,222-222@627-s4m-vzz,"{'10028': 8, '10029': 4, '10030': 4, '10035': 4, '10037': 4, '10075': 4, '10456': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-04-26,222-222@627-s4n-2tv,"{'10021': 4, '10028': 4, '10128': 8}"
2021-04-26,222-222@627-s4n-4y9,"{'10021': 4, '10075': 4, '10466': 4, '10470': 4, '11205': 4, '11238': 4}"
2021-04-26,222-222@627-s4n-5pv,"{'10016': 4, '10028': 5, '10075': 5, '11211': 4}"
2021-04-26,222-222@627-s4n-6c5,"{'10024': 4, '10032': 4, '10466': 5, '10470': 5, '11368': 4, '11369': 4}"
2021-04-26,222-222@627-s4n-b6k,"{'10003': 4, '10011': 4, '10017': 4, '10024': 13, '10028': 4, '10034': 4, '10075': 4, '11207': 4, '11221': 4, '11233': 4, '11372': 4, '11377': 4, '11413': 4, '11432': 4, '11434': 4, '11435': 4}"
2021-04-26,222-222@627-s4n-mc5,"{'10025': 5, '10028': 4, '10029': 4, '10128': 4}"
2021-04-26,222-222@627-s4n-nbk,"{'10028': 4, '10128': 4, '10461': 4, '11361': 4, '11369': 4, '11370': 4, '11373': 4, '11377': 4, '11414': 4}"
