date_range_end,placekey,visitor
2021-07-12,222-222@627-s4k-d7q,"{'10024': 4, '10025': 13, '10029': 8, '10031': 4, '10035': 4, '10301': 4, '10467': 4, '10469': 4, '11203': 4, '11206': 4, '11211': 4, '11237': 4, '11364': 4}"
2021-07-12,222-222@627-s4k-kpv,"{'10469': 4, '10475': 4, '11354': 4, '11357': 4, '11358': 4}"
2021-07-12,222-222@627-s4k-nqz,"{'10024': 6, '10025': 6, '10030': 4, '10031': 4, '10039': 4, '10452': 4, '11214': 4, '11228': 4, '11375': 4, '11378': 4, '11416': 4}"
2021-07-12,222-222@627-s4k-p35,"{'10016': 5, '10017': 5, '11372': 4, '11416': 4}"
2021-07-12,222-222@627-s4k-psq,"{'10024': 9, '10025': 5, '10027': 4, '10031': 4, '10039': 4}"
2021-07-12,222-222@627-s4m-4jv,"{'10027': 8, '10029': 4, '10031': 4, '10035': 4, '10037': 4, '11373': 8}"
2021-07-12,222-222@627-s4m-75z,"{'10025': 8, '10027': 4, '10029': 4, '10035': 4, '11204': 4, '11219': 4, '11358': 4}"
2021-07-12,222-222@627-s4m-835,"{'10007': 4, '10013': 4, '10025': 4, '10027': 4, '10031': 4, '10306': 4, '11356': 4, '11367': 4}"
2021-07-12,222-222@627-s4m-9j9,"{'10025': 18, '10026': 8, '10027': 4, '10032': 4, '10033': 4, '10456': 4, '10463': 4, '10466': 5, '10468': 8}"
2021-07-12,222-222@627-s4m-ckf,"{'10002': 4, '10009': 4, '10016': 4, '10018': 4, '10025': 4, '10034': 4, '11203': 4, '11207': 4, '11208': 4, '11216': 4, '11221': 4, '11233': 4, '11235': 4, '11421': 4}"
2021-07-12,222-222@627-s4m-vzz,"{'10028': 8, '10029': 4, '10075': 8, '10454': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-07-12,222-222@627-s4m-wc5,"{'10001': 4, '10018': 4, '10021': 4, '10044': 4, '10065': 4, '11207': 4, '11208': 4}"
2021-07-12,222-222@627-s4n-52k,"{'10028': 6, '10075': 6, '10306': 4}"
2021-07-12,222-222@627-s4n-5fz,"{'10044': 4, '10312': 4, '10457': 4, '10458': 4}"
2021-07-12,222-222@627-s4n-6c5,"{'10028': 4, '10075': 4, '10462': 4, '10472': 4, '11102': 4, '11416': 4}"
2021-07-12,222-222@627-s4n-8sq,"{'11367': 4, '11432': 4, '11435': 4}"
2021-07-12,222-222@627-s4n-b6k,"{'10024': 10, '10025': 6, '10028': 4, '11204': 4}"
2021-07-12,222-222@627-s4n-hwk,"{'10021': 4, '10075': 4, '11374': 4}"
2021-07-12,222-222@627-s4n-pjv,"{'10029': 4, '11419': 4, '11436': 4}"
2021-07-12,222-222@627-s4n-pn5,"{'10035': 4, '10306': 4, '11207': 4}"
2021-07-12,222-222@627-s4n-q4v,"{'10029': 4, '10128': 4, '10452': 4}"
2021-07-12,222-222@627-s4n-q9f,"{'10019': 4, '10023': 4, '10026': 8, '10029': 12, '10035': 8, '10039': 4, '10069': 4, '10128': 17, '10454': 4, '10455': 4, '10456': 4, '10457': 4, '10466': 4, '10469': 4, '11103': 4, '11207': 4, '11208': 4, '11224': 4}"
2021-07-12,222-222@627-s4n-qcq,"{'10026': 4, '10027': 4, '10029': 8, '10039': 4, '10128': 4, '10451': 4, '10456': 8, '10459': 4, '11237': 4, '11368': 4}"
2021-07-12,222-222@627-s4n-skf,"{'10028': 4, '10128': 4, '10458': 4, '10468': 4}"
2021-07-12,222-222@627-s4n-tn5,"{'10314': 4, '11370': 4, '11372': 4, '11377': 4}"
2021-07-12,222-222@627-s4n-xbk,"{'10029': 4, '10128': 13, '10466': 4}"
2021-07-12,222-222@627-s4p-3nq,"{'10034': 4, '11101': 4, '11104': 4}"
2021-07-12,222-222@627-s4q-v75,"{'10001': 4, '10018': 4, '10023': 7, '10069': 7, '11412': 4}"
2021-07-12,222-222@627-s4q-wx5,"{'10010': 4, '10016': 4, '10019': 4, '10024': 4, '10025': 4}"
2021-07-12,222-222@627-s4q-zvf,"{'10019': 8, '10023': 4, '10024': 4, '10025': 4, '10030': 4, '10037': 4, '10039': 4, '10308': 4, '10312': 4, '11104': 4, '11375': 4, '11377': 4, '11412': 4, '11423': 4}"
2021-07-12,222-222@627-s4r-2p9,"{'10027': 4, '10308': 4, '10312': 4}"
2021-07-12,222-222@627-s4r-2rk,"{'10019': 4, '10023': 4, '10069': 4}"
2021-07-12,222-222@627-s4r-3kf,"{'10019': 12, '10023': 7, '10024': 4, '10069': 7, '10304': 4, '10459': 4, '10474': 4, '11212': 4, '11236': 4, '11433': 7}"
2021-07-12,222-222@627-s4r-5j9,"{'10023': 4, '10028': 4, '10075': 4, '10452': 4}"
2021-07-12,222-222@627-s4r-hkf,"{'10019': 4, '10023': 4, '10026': 4, '10069': 4, '10303': 4, '10314': 4, '10455': 4, '10459': 4, '11212': 4, '11229': 4, '11236': 4, '11413': 4, '11422': 4, '11433': 5, '11435': 5}"
2021-07-12,222-222@627-s4s-bp9,"{'10027': 4, '10031': 4, '11203': 4, '11226': 4}"
2021-07-12,222-222@627-s4s-brk,"{'10001': 4, '10019': 4, '10023': 4, '10027': 4, '10029': 4, '10030': 4, '10031': 4, '10037': 4, '10044': 5, '10069': 4, '10463': 6, '10471': 4, '11211': 4, '11362': 4, '11373': 4, '11378': 4, '11379': 4, '11385': 4}"
2021-07-12,222-222@627-s4s-k4v,"{'10025': 5, '10027': 4, '10457': 4, '10459': 4}"
2021-07-12,222-222@627-s4s-m6k,"{'10027': 4, '10030': 4, '10453': 4, '11207': 4, '11208': 4, '11239': 4, '11368': 4, '11369': 4}"
2021-07-12,222-222@627-s4s-zmk,"{'10026': 4, '10027': 7, '10028': 4, '10031': 4, '10035': 4, '10128': 4, '10451': 4}"
2021-07-12,222-222@627-s4t-4sq,"{'10026': 4, '10027': 8, '10031': 19, '10032': 4, '10034': 4, '10039': 4, '10040': 4, '10304': 4, '10451': 11, '10456': 11, '10463': 4, '10468': 6}"
2021-07-12,222-222@627-s4t-5fz,"{'10027': 14, '10029': 4, '10031': 14, '10035': 4, '10463': 4, '10470': 4, '11427': 4, '11428': 4}"
2021-07-12,222-222@627-s4t-8qf,"{'10026': 4, '10027': 4, '10457': 4, '10458': 4}"
2021-07-12,222-222@627-s4t-bp9,"{'10026': 4, '10027': 8, '10031': 4, '10032': 4}"
2021-07-12,222-222@627-s4t-tgk,"{'10018': 4, '10026': 8, '10029': 8, '10032': 4, '10033': 4, '10035': 12, '10036': 4, '10456': 4, '10458': 4, '10460': 4, '10462': 4, '10469': 4, '11102': 4, '11105': 4, '11369': 4, '11372': 4}"
2021-07-12,222-222@627-s4t-xt9,"{'10025': 4, '10029': 8, '10035': 8, '10040': 4}"
2021-07-12,222-222@627-s4v-2c5,"{'10010': 4, '10016': 4, '10028': 4, '10029': 4, '10035': 4, '10128': 4}"
2021-07-12,222-222@627-s4v-2hq,"{'10029': 8, '10470': 4, '11235': 4}"
2021-07-12,222-222@627-s4v-2rk,"{'10026': 6, '10029': 9, '10453': 4, '10459': 4, '10469': 4, '10473': 4, '10474': 4}"
2021-07-12,222-222@627-s4v-2x5,"{'10026': 4, '10029': 4, '10035': 4, '10453': 4, '10462': 4, '10469': 4, '10472': 4}"
2021-07-12,222-222@627-s4v-2zf,"{'10022': 4, '10027': 4, '10029': 16, '10031': 4, '10455': 4, '10463': 4, '10468': 4, '10469': 4, '10474': 4, '11368': 4, '11373': 4}"
2021-07-12,222-222@627-s4v-35z,"{'10026': 4, '10029': 4, '10451': 5, '10452': 4}"
2021-07-12,222-222@627-s4v-3nq,"{'10029': 4, '10457': 4, '10458': 4}"
2021-07-12,222-222@627-s4v-3t9,"{'10029': 4, '10035': 4, '10037': 4}"
2021-07-12,222-222@627-s4v-435,"{'10456': 4, '10468': 4, '10475': 4, '11372': 4, '11373': 4}"
2021-07-12,222-222@627-s4v-5pv,"{'10029': 16, '10030': 4, '10035': 4, '10037': 8, '10128': 4, '10454': 4, '11207': 4, '11212': 4, '11233': 4}"
2021-07-12,222-222@627-s4v-789,"{'10025': 4, '10026': 4, '10027': 4, '10029': 12, '10035': 4, '10466': 4}"
2021-07-12,222-222@627-s4v-9xq,"{'10026': 8, '10456': 4, '10459': 4}"
2021-07-12,222-222@627-s4v-bc5,"{'10026': 8, '10027': 8, '10030': 9, '10037': 9, '10467': 4, '10469': 4}"
2021-07-12,222-222@627-s4v-bx5,"{'10026': 4, '10451': 4, '10452': 4, '10468': 4, '11236': 4}"
2021-07-12,222-222@627-s4v-dn5,"{'10019': 4, '10024': 4, '10026': 4, '10028': 8, '10029': 20, '10032': 4, '10034': 6, '10035': 4, '10075': 4, '10128': 8, '10303': 4, '10454': 4, '10466': 4, '10467': 4, '10468': 4, '11102': 4, '11104': 4, '11105': 8, '11106': 4, '11212': 4, '11214': 4, '11219': 4, '11220': 4, '11231': 4, '11354': 4, '11355': 8, '11357': 4, '11358': 8, '11361': 4, '11364': 4, '11366': 4, '11370': 4, '11377': 4, '11416': 8, '11417': 8, '11419': 4, '11427': 4, '11428': 4}"
