date_range_end,placekey,visitor
2020-10-12,222-222@627-s4k-d7q,"{'10023': 4, '10024': 4, '10025': 4, '10029': 8, '10030': 4, '10033': 4, '10035': 4, '10037': 4, '10040': 4, '10128': 5, '10456': 4, '10459': 4}"
2020-10-12,222-222@627-s4k-kpv,"{'10023': 4, '10024': 4, '10456': 4, '10459': 4, '11201': 4, '11217': 4, '11235': 4}"
2020-10-12,222-222@627-s4k-kzz,"{'10001': 5, '10010': 5, '10016': 5, '10024': 9}"
2020-10-12,222-222@627-s4k-nqz,"{'10019': 4, '10023': 12, '10024': 10, '10025': 17, '10069': 4, '10314': 4, '10451': 4, '10452': 4, '10469': 5, '11212': 4, '11213': 4, '11233': 4, '11375': 4, '11377': 4, '11378': 4, '11418': 4}"
2020-10-12,222-222@627-s4k-p35,"{'10024': 8, '10025': 4, '10462': 4, '10473': 4, '11364': 4, '11365': 4, '11413': 4, '11422': 4}"
2020-10-12,222-222@627-s4m-4jv,"{'10021': 4, '10025': 4, '10026': 4, '10031': 8, '10075': 4, '10456': 4, '11373': 4}"
2020-10-12,222-222@627-s4m-575,"{'10025': 4, '10026': 4, '11434': 4}"
2020-10-12,222-222@627-s4m-75z,"{'10012': 4, '10025': 8, '10026': 4, '10027': 4, '10031': 4, '10454': 4, '10455': 4, '11373': 4}"
2020-10-12,222-222@627-s4m-835,"{'10025': 8, '10026': 4, '10029': 4, '10035': 4, '10312': 4, '10463': 4, '11104': 4, '11377': 4}"
2020-10-12,222-222@627-s4m-9j9,"{'10025': 17, '10032': 4, '10034': 4, '10040': 4, '10314': 4, '10451': 4, '10452': 4, '10458': 4, '10467': 4, '10469': 4, '11366': 4, '11367': 4, '11377': 4, '11411': 4, '11412': 4, '11413': 4, '11422': 4, '11429': 4}"
2020-10-12,222-222@627-s4m-cdv,"{'10014': 4, '10456': 4, '10460': 4, '10462': 4}"
2020-10-12,222-222@627-s4m-ckf,"{'10010': 4, '10016': 4, '10025': 12, '10451': 4, '10452': 4, '11204': 4, '11230': 10, '11357': 4}"
2020-10-12,222-222@627-s4m-vzz,"{'10456': 4, '11428': 4, '11429': 4}"
2020-10-12,222-222@627-s4m-wc5,"{'10021': 6, '10025': 4, '10027': 4, '10028': 4, '10075': 4, '11102': 4, '11372': 4}"
2020-10-12,222-222@627-s4m-y7q,"{'10028': 4, '10128': 4, '10453': 4}"
2020-10-12,222-222@627-s4n-4y9,"{'10021': 8, '10065': 4, '10460': 4, '11210': 4, '11226': 4}"
2020-10-12,222-222@627-s4n-54v,"{'10022': 4, '10028': 4, '10031': 4, '10032': 4, '10065': 4, '10128': 4, '10475': 4}"
2020-10-12,222-222@627-s4n-5mk,"{'10009': 4, '10010': 4, '10021': 8, '10028': 8, '10075': 16, '11104': 4, '11377': 4, '11434': 4}"
2020-10-12,222-222@627-s4n-6c5,"{'10029': 4, '10035': 4, '11221': 4, '11233': 4, '11237': 4}"
2020-10-12,222-222@627-s4n-b6k,"{'10009': 4, '10024': 5, '10026': 4, '10039': 4, '10303': 4, '10466': 4, '11225': 4, '11377': 4}"
