date_range_end,placekey,visitor
2020-11-16,222-222@627-s4k-d7q,"{'10025': 5, '10026': 5, '11105': 4, '11203': 4, '11370': 4}"
2020-11-16,222-222@627-s4k-fvf,"{'10024': 4, '10025': 8, '10306': 4, '11208': 11, '11216': 5, '11421': 5}"
2020-11-16,222-222@627-s4k-kpv,"{'10002': 4, '10025': 4, '10038': 4, '10469': 4, '11420': 6}"
2020-11-16,222-222@627-s4k-kzz,"{'10024': 6, '10029': 4, '10128': 4, '10456': 4, '10459': 4, '11204': 4, '11214': 4}"
2020-11-16,222-222@627-s4k-nqz,"{'10021': 8, '10023': 8, '10024': 6, '10025': 19, '10026': 4, '10028': 4, '10029': 4, '10031': 4, '10075': 4, '10128': 4, '10454': 4, '10455': 4, '10463': 4, '11210': 4, '11212': 4, '11225': 4, '11226': 4, '11357': 5, '11358': 5, '11372': 4, '11373': 4}"
2020-11-16,222-222@627-s4k-p35,"{'10021': 4, '10022': 4, '10024': 4, '10029': 4, '10037': 4, '10128': 4, '11201': 4, '11217': 4, '11364': 4, '11365': 4}"
2020-11-16,222-222@627-s4k-psq,"{'10024': 4, '10025': 4, '10029': 4, '10036': 4, '10463': 4, '11105': 4, '11422': 4}"
2020-11-16,222-222@627-s4m-575,"{'10024': 4, '10025': 12, '10026': 4}"
2020-11-16,222-222@627-s4m-75z,"{'10024': 4, '10025': 12, '10027': 4, '10473': 4, '11368': 4, '11416': 4, '11417': 4}"
2020-11-16,222-222@627-s4m-835,"{'10025': 8, '10029': 4, '10035': 4}"
2020-11-16,222-222@627-s4m-9j9,"{'10024': 4, '10025': 10, '10028': 4, '10075': 4, '10451': 4, '10455': 4, '10459': 4, '10460': 4, '10463': 4, '10471': 4, '11105': 4, '11212': 4, '11368': 4, '11370': 4, '11373': 4}"
2020-11-16,222-222@627-s4m-ckf,"{'10025': 7, '10037': 4, '10306': 4, '10308': 4, '10468': 4, '11224': 4, '11372': 4, '11377': 4, '11385': 4}"
2020-11-16,222-222@627-s4m-v4v,"{'10022': 4, '10028': 4, '10065': 4, '10128': 6, '10462': 4, '10465': 4, '11216': 4}"
2020-11-16,222-222@627-s4m-vzz,"{'10028': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2020-11-16,222-222@627-s4m-wc5,"{'10002': 4, '10033': 4, '10128': 4, '10301': 4, '10304': 4, '10310': 4, '10458': 4}"
2020-11-16,222-222@627-s4m-y7q,"{'10028': 4, '10075': 4, '10467': 4}"
2020-11-16,222-222@627-s4n-2tv,"{'10021': 4, '10028': 4, '10301': 4, '10310': 4, '11370': 4, '11372': 4, '11377': 4}"
2020-11-16,222-222@627-s4n-4y9,"{'10452': 4, '10453': 4, '11204': 4, '11212': 4, '11230': 4, '11236': 4}"
2020-11-16,222-222@627-s4n-5mk,"{'10021': 4, '10075': 4, '11105': 8, '11370': 4, '11374': 4}"
2020-11-16,222-222@627-s4n-6c5,"{'11104': 4, '11201': 4, '11204': 4, '11207': 4, '11214': 4, '11217': 4, '11223': 4, '11368': 4, '11377': 4}"
2020-11-16,222-222@627-s4n-b6k,"{'10021': 4, '10024': 4, '10034': 4, '10075': 4}"
2020-11-16,222-222@627-s4n-mc5,"{'10028': 4, '10035': 4, '10037': 8, '10128': 4}"
2020-11-16,222-222@627-s4n-nbk,"{'10029': 4, '10128': 12, '10451': 4, '10455': 4, '11221': 4, '11235': 4, '11356': 4, '11418': 4}"
2020-11-16,222-222@627-s4n-pn5,"{'10029': 4, '11373': 4, '11374': 4, '11427': 4}"
2020-11-16,222-222@627-s4n-q4v,"{'10021': 4, '10029': 15, '10034': 4, '10128': 4, '10451': 4, '10455': 4}"
