date_range_end,placekey,visitor
2021-07-05,222-222@627-s4k-cwk,"{'10024': 4, '10025': 4, '10472': 4}"
2021-07-05,222-222@627-s4k-d7q,"{'10024': 4, '10025': 8, '10029': 4, '10455': 4, '10461': 4, '10462': 4, '11364': 4}"
2021-07-05,222-222@627-s4k-nqz,"{'10019': 4, '10024': 17, '10025': 9, '10026': 4, '10029': 4, '10031': 4, '10032': 4, '10039': 4, '10455': 4, '11203': 4, '11214': 4, '11215': 4, '11221': 4, '11229': 4, '11372': 4, '11374': 4, '11375': 4}"
2021-07-05,222-222@627-s4k-p35,"{'10028': 4, '10075': 4, '11211': 4, '11361': 4, '11364': 4}"
2021-07-05,222-222@627-s4k-psq,"{'10029': 4, '10467': 4, '10470': 4, '10471': 4, '11368': 4}"
2021-07-05,222-222@627-s4m-4jv,"{'10027': 4, '10029': 4, '10463': 4, '10465': 4, '11105': 4}"
2021-07-05,222-222@627-s4m-75z,"{'10029': 4, '10457': 4, '11214': 4, '11223': 5}"
2021-07-05,222-222@627-s4m-835,"{'10025': 4, '10036': 4, '11209': 4}"
2021-07-05,222-222@627-s4m-9j9,"{'10025': 9, '10040': 4, '11105': 4, '11212': 4}"
2021-07-05,222-222@627-s4m-ckf,"{'10128': 4, '11106': 4, '11220': 4}"
2021-07-05,222-222@627-s4m-vzz,"{'10022': 4, '11214': 4, '11434': 4}"
2021-07-05,222-222@627-s4n-2tv,"{'10028': 4, '10075': 4, '10128': 4}"
2021-07-05,222-222@627-s4n-54v,"{'11414': 4, '11416': 4, '11417': 4}"
2021-07-05,222-222@627-s4n-6c5,"{'10024': 4, '10314': 4, '10451': 4, '10456': 4, '10473': 4}"
2021-07-05,222-222@627-s4n-8sq,"{'10001': 8, '10018': 4, '11236': 4}"
2021-07-05,222-222@627-s4n-b6k,"{'10007': 4, '10013': 4, '10023': 4, '10024': 8, '10025': 4, '10026': 8, '10304': 4, '10305': 4, '10473': 4, '11101': 4, '11102': 5, '11103': 9}"
2021-07-05,222-222@627-s4n-mc5,"{'10029': 4, '10128': 4, '10463': 4, '10471': 4, '10473': 4}"
2021-07-05,222-222@627-s4n-nbk,"{'10028': 4, '10128': 4, '11223': 4, '11224': 4, '11226': 4, '11235': 4, '11414': 4}"
2021-07-05,222-222@627-s4n-pn5,"{'10035': 4, '10037': 4, '10301': 4, '10304': 4, '10454': 4}"
2021-07-05,222-222@627-s4n-q4v,"{'10029': 16, '10035': 8, '10451': 4, '10454': 4, '10468': 4, '11236': 4, '11368': 4, '11373': 4}"
