date_range_end,placekey,visitor
2020-12-21,222-222@627-s4k-kpv,"{'10024': 8, '10025': 4, '11377': 4}"
2020-12-21,222-222@627-s4k-kzz,"{'10461': 4, '10464': 4, '10466': 4, '10475': 4, '11361': 4}"
2020-12-21,222-222@627-s4k-nqz,"{'10021': 4, '10024': 9, '10025': 9, '10030': 5, '10031': 5, '10039': 5, '10301': 4, '11373': 4, '11385': 4, '11429': 4, '11436': 4}"
2020-12-21,222-222@627-s4k-p35,"{'10021': 4, '10024': 4, '10025': 8}"
2020-12-21,222-222@627-s4k-psq,"{'10009': 4, '10024': 4, '10025': 4, '10039': 4, '10457': 4, '10459': 4, '10460': 4}"
2020-12-21,222-222@627-s4m-75z,"{'10012': 4, '10025': 8, '10027': 8, '10031': 4, '10032': 4, '10451': 4, '10452': 4, '11106': 4, '11416': 4, '11417': 4}"
2020-12-21,222-222@627-s4m-835,"{'10025': 8, '10026': 4, '10027': 4, '10457': 7}"
2020-12-21,222-222@627-s4m-9j9,"{'10025': 19, '10026': 4, '10027': 4, '10029': 4, '10030': 5, '10035': 4, '10037': 5, '10039': 5, '10462': 4, '10465': 4, '10472': 4, '11235': 4, '11368': 4}"
2020-12-21,222-222@627-s4m-ckf,"{'10024': 4, '10025': 4, '10032': 4, '10468': 4, '11417': 4, '11419': 4}"
2020-12-21,222-222@627-s4m-vzz,"{'10028': 4, '10128': 4, '10451': 4, '10454': 4, '11356': 4, '11374': 4, '11420': 4}"
2020-12-21,222-222@627-s4m-y7q,"{'10028': 6, '11219': 4, '11220': 4, '11232': 4, '11373': 4}"
2020-12-21,222-222@627-s4n-4y9,"{'10475': 4, '11212': 4, '11236': 4, '11374': 4, '11375': 4}"
2020-12-21,222-222@627-s4n-5mk,"{'10021': 4, '10028': 4, '10065': 4, '10075': 4, '11361': 4, '11364': 4}"
2020-12-21,222-222@627-s4n-5pv,"{'10017': 4, '10021': 4, '10028': 5, '10075': 5, '10462': 4}"
2020-12-21,222-222@627-s4n-6c5,"{'10021': 4, '10075': 4, '11368': 4, '11373': 4}"
2020-12-21,222-222@627-s4n-mc5,"{'10021': 4, '10128': 4, '10472': 4}"
2020-12-21,222-222@627-s4n-nbk,"{'10028': 4, '10128': 8, '10452': 4, '11373': 4, '11414': 5}"
2020-12-21,222-222@627-s4n-pjv,"{'10012': 4, '10013': 4, '10029': 4}"
2020-12-21,222-222@627-s4n-q4v,"{'10029': 4, '10451': 5, '10455': 9, '10457': 4, '10459': 4, '10461': 12, '11385': 4}"
2020-12-21,222-222@627-s4n-q9f,"{'10026': 4, '10029': 23, '10035': 4, '10128': 9, '10456': 4, '10459': 4, '11102': 4, '11210': 4, '11214': 8, '11218': 4, '11226': 4, '11229': 4, '11368': 4, '11372': 4, '11423': 4, '11432': 8, '11435': 4}"
2020-12-21,222-222@627-s4n-qcq,"{'10025': 4, '10028': 4, '10029': 4, '10035': 4, '10128': 4, '10302': 4, '10303': 4, '10307': 4, '10309': 4, '11206': 4, '11208': 4, '11229': 4, '11413': 4}"
2020-12-21,222-222@627-s4n-sqz,"{'10028': 8, '10128': 4, '10456': 4, '10459': 4, '11360': 4}"
2020-12-21,222-222@627-s4n-vxq,"{'10003': 4, '10010': 4, '10021': 4, '10022': 4, '10024': 4, '10028': 4, '10128': 9}"
2020-12-21,222-222@627-s4n-xbk,"{'10019': 4, '10021': 7, '10022': 4, '10024': 4, '10026': 4, '10028': 4, '10035': 4, '10065': 11, '10128': 4, '11432': 4}"
2020-12-21,222-222@627-s4q-v75,"{'10023': 15, '10025': 4, '10069': 15, '10473': 4, '11214': 5, '11415': 4, '11418': 4}"
2020-12-21,222-222@627-s4q-wx5,"{'10019': 4, '10023': 8, '10024': 4, '10069': 4, '10459': 4, '10460': 4, '11101': 4, '11103': 4, '11105': 4, '11106': 4, '11212': 4, '11213': 4, '11370': 4, '11422': 4}"
2020-12-21,222-222@627-s4q-zvf,"{'10001': 4, '10018': 4, '10019': 6, '10034': 4, '10128': 8, '10452': 4, '10453': 4, '11208': 4, '11216': 4, '11225': 4, '11226': 4, '11373': 4, '11421': 4}"
2020-12-21,222-222@627-s4r-3dv,"{'10019': 8, '10023': 4, '10025': 4, '10471': 4}"
2020-12-21,222-222@627-s4r-3kf,"{'10019': 4, '10023': 4, '10069': 4, '11102': 4, '11103': 4, '11229': 4, '11432': 4}"
2020-12-21,222-222@627-s4r-hkf,"{'10470': 4, '11103': 4, '11232': 4, '11377': 4, '11418': 4, '11421': 4}"
2020-12-21,222-222@627-s4s-bp9,"{'10027': 4, '10031': 4, '10032': 4, '10033': 4, '10305': 4, '10456': 4, '10457': 4, '11357': 4, '11368': 4, '11373': 4}"
2020-12-21,222-222@627-s4s-brk,"{'10027': 8, '10031': 8, '10032': 4, '10452': 4, '10454': 4, '10455': 4, '10459': 4, '10463': 4, '10468': 8, '10470': 4, '11207': 4, '11233': 4}"
2020-12-21,222-222@627-s4s-jjv,"{'10026': 4, '10029': 4, '10035': 4}"
2020-12-21,222-222@627-s4s-k4v,"{'10025': 4, '10033': 4, '10040': 4}"
2020-12-21,222-222@627-s4s-kj9,"{'10025': 4, '10026': 4, '10027': 8}"
2020-12-21,222-222@627-s4s-m6k,"{'10026': 4, '10027': 4, '10473': 4}"
2020-12-21,222-222@627-s4t-4sq,"{'10027': 4, '10033': 4, '10040': 4, '10451': 4, '10452': 4, '10456': 16, '10457': 4, '10460': 4, '10468': 4}"
2020-12-21,222-222@627-s4t-5fz,"{'10027': 4, '10030': 4, '10031': 12, '10032': 4, '10037': 4, '11235': 4}"
2020-12-21,222-222@627-s4t-bp9,"{'10025': 4, '10026': 4, '10027': 8, '10031': 4}"
2020-12-21,222-222@627-s4t-tgk,"{'10026': 4, '10029': 4, '10035': 4, '10037': 4}"
2020-12-21,222-222@627-s4t-tvz,"{'10026': 4, '10027': 8, '10029': 12, '10035': 12, '10128': 4}"
