date_range_end,placekey,visitor
2021-05-31,222-222@627-s4k-cwk,"{'10454': 4, '11106': 4, '11373': 4, '11377': 4}"
2021-05-31,222-222@627-s4k-kpv,"{'10007': 4, '10013': 4, '10024': 4, '10038': 4, '11214': 4}"
2021-05-31,222-222@627-s4k-nqz,"{'10016': 4, '10021': 4, '10024': 13, '10025': 16, '10027': 4, '10028': 4, '10030': 8, '10037': 4, '11102': 4, '11214': 4, '11378': 4, '11379': 4, '11385': 4, '11691': 4}"
2021-05-31,222-222@627-s4k-p35,"{'10010': 6, '10011': 6, '10021': 9, '10022': 4, '10023': 4, '10024': 12, '10025': 10, '10028': 8, '10065': 4, '10075': 8, '10128': 8, '11423': 4, '11427': 4, '11428': 4}"
2021-05-31,222-222@627-s4k-psq,"{'10019': 4, '10024': 4, '10025': 4, '10314': 4, '10459': 4, '10460': 4}"
2021-05-31,222-222@627-s4m-4jv,"{'10025': 4, '10026': 8, '10027': 4, '11234': 4}"
2021-05-31,222-222@627-s4m-575,"{'10025': 12, '10026': 4, '10027': 4}"
2021-05-31,222-222@627-s4m-75z,"{'10025': 20, '10026': 4, '10027': 13, '10031': 4, '10032': 8, '10465': 4}"
2021-05-31,222-222@627-s4m-835,"{'10025': 15, '11207': 4, '11208': 4, '11209': 4}"
2021-05-31,222-222@627-s4m-9j9,"{'10007': 4, '10013': 4, '10019': 4, '10021': 4, '10023': 4, '10024': 4, '10025': 8, '10026': 4, '10028': 4, '10037': 5, '10065': 4, '10128': 8, '10282': 4, '10314': 6, '10471': 4, '11212': 4}"
2021-05-31,222-222@627-s4m-ckf,"{'10025': 8, '10461': 4, '10463': 4, '10466': 4, '10469': 4}"
2021-05-31,222-222@627-s4m-ffz,"{'10010': 4, '10016': 4, '10030': 4, '10037': 4, '10451': 8, '10454': 4, '10455': 4, '10456': 8, '11211': 4}"
2021-05-31,222-222@627-s4m-v4v,"{'10024': 4, '10028': 4, '10075': 4}"
