date_range_end,placekey,visitor
2021-03-01,222-222@627-s4k-cwk,"{'10025': 4, '10030': 4, '10037': 4, '10128': 4}"
2021-03-01,222-222@627-s4k-d7q,"{'10024': 8, '10025': 4, '10037': 4}"
2021-03-01,222-222@627-s4k-fvf,"{'10025': 4, '10027': 4, '10035': 4, '11370': 4, '11372': 4, '11377': 4, '11428': 4}"
2021-03-01,222-222@627-s4k-nqz,"{'10021': 4, '10024': 12, '10025': 8, '10026': 4, '10030': 4, '10031': 4, '10037': 4, '10457': 4, '10460': 4, '11225': 4, '11229': 4, '11368': 4, '11373': 4, '11411': 4, '11412': 4, '11429': 4}"
2021-03-01,222-222@627-s4k-p35,"{'10021': 4, '10022': 4, '10025': 4, '10028': 4, '10065': 4, '10128': 4}"
2021-03-01,222-222@627-s4k-psq,"{'10025': 6, '10037': 4, '10305': 4, '10451': 4, '10456': 4, '10469': 4, '11368': 8, '11372': 4, '11377': 4}"
2021-03-01,222-222@627-s4m-4jv,"{'10025': 4, '10030': 4, '10037': 4, '10463': 4, '10469': 4, '11358': 4}"
2021-03-01,222-222@627-s4m-75z,"{'10025': 17, '10027': 4, '10028': 4, '10075': 4, '11209': 4, '11220': 4, '11377': 4, '11413': 4, '11434': 4}"
2021-03-01,222-222@627-s4m-8d9,"{'10024': 4, '10026': 4, '10031': 4, '11208': 4, '11223': 4}"
2021-03-01,222-222@627-s4m-9j9,"{'10024': 4, '10025': 11, '11433': 4, '11435': 4}"
2021-03-01,222-222@627-s4m-btv,"{'10019': 4, '10025': 5, '10026': 4, '10027': 4}"
2021-03-01,222-222@627-s4m-ckf,"{'10021': 4, '10023': 4, '10025': 8, '10065': 4, '11208': 4, '11216': 4, '11373': 4, '11377': 4, '11421': 4}"
2021-03-01,222-222@627-s4m-ffz,"{'10022': 4, '10029': 4, '10035': 4, '10463': 4, '10468': 4}"
2021-03-01,222-222@627-s4m-v4v,"{'10004': 4, '10005': 4, '10019': 4, '10023': 4, '10025': 4, '10038': 4, '10069': 4, '10128': 4}"
2021-03-01,222-222@627-s4n-4y9,"{'10001': 4, '10467': 4, '11212': 4, '11236': 4}"
2021-03-01,222-222@627-s4n-52k,"{'10028': 4, '10075': 4, '11219': 4, '11374': 4, '11375': 4}"
2021-03-01,222-222@627-s4n-5pv,"{'10021': 4, '10065': 4, '11375': 4}"
2021-03-01,222-222@627-s4n-6c5,"{'10028': 16, '10029': 5, '10075': 12, '10128': 4, '10308': 4, '10312': 4, '11369': 4, '11372': 4, '11373': 4, '11374': 4}"
2021-03-01,222-222@627-s4n-b6k,"{'10019': 4, '10023': 4, '10024': 8, '10025': 4, '10069': 4}"
2021-03-01,222-222@627-s4n-nbk,"{'10128': 4, '11368': 4, '11375': 4, '11414': 5}"
2021-03-01,222-222@627-s4n-q9f,"{'10028': 4, '10029': 22, '10031': 4, '10035': 4, '10128': 13, '10302': 4, '10303': 4, '10451': 4, '10456': 12, '10457': 4, '10459': 8, '10460': 4, '10461': 4, '10462': 8, '10465': 4, '10472': 4, '11209': 4, '11214': 8}"
2021-03-01,222-222@627-s4n-qcq,"{'10025': 6, '10029': 12, '10039': 4, '10128': 8, '10458': 6, '10459': 4, '10460': 4, '11101': 4, '11366': 4, '11378': 4, '11379': 4, '11423': 4, '11432': 4}"
2021-03-01,222-222@627-s4n-skf,"{'10028': 4, '10128': 4, '11228': 4, '11373': 4}"
2021-03-01,222-222@627-s4n-tn5,"{'10021': 4, '10028': 8, '10075': 12}"
2021-03-01,222-222@627-s4q-v75,"{'10019': 4, '10023': 8, '10024': 4, '10069': 8}"
2021-03-01,222-222@627-s4q-wx5,"{'10019': 6, '10023': 10, '10024': 4, '10069': 10, '11212': 4, '11213': 4, '11228': 4, '11368': 4, '11432': 4}"
2021-03-01,222-222@627-s4q-zvf,"{'10019': 13, '10036': 9, '11368': 4, '11373': 12, '11374': 4, '11377': 8, '11378': 4, '11385': 4}"
2021-03-01,222-222@627-s4r-2rk,"{'10027': 4, '10462': 4, '11105': 4, '11370': 4}"
2021-03-01,222-222@627-s4r-3dv,"{'10021': 4, '10022': 4, '10023': 4, '10065': 4, '10069': 4, '10463': 4, '10471': 4}"
2021-03-01,222-222@627-s4r-3kf,"{'10019': 13, '10023': 13, '10024': 4, '10069': 5, '10456': 4, '10459': 4, '11377': 4}"
2021-03-01,222-222@627-s4r-p35,"{'10024': 4, '11221': 4, '11237': 4, '11360': 4, '11361': 4}"
2021-03-01,222-222@627-s4r-pjv,"{'10466': 4, '11420': 4, '11421': 4}"
2021-03-01,222-222@627-s4r-vs5,"{'10024': 4, '10451': 4, '10452': 4, '10457': 4, '10460': 4, '10470': 4}"
2021-03-01,222-222@627-s4s-bp9,"{'10027': 4, '10031': 4, '11222': 5, '11415': 4, '11418': 4}"
2021-03-01,222-222@627-s4s-brk,"{'10002': 4, '10027': 7, '10031': 7, '10302': 4, '10314': 4, '10453': 4, '10465': 4}"
2021-03-01,222-222@627-s4s-ch5,"{'10022': 4, '10027': 4, '10031': 4, '10475': 9}"
2021-03-01,222-222@627-s4s-jjv,"{'10028': 7, '10037': 4, '10075': 7, '11103': 4, '11106': 4, '11433': 4, '11435': 4}"
2021-03-01,222-222@627-s4s-k2k,"{'10025': 4, '10027': 8, '10034': 4, '10040': 4}"
2021-03-01,222-222@627-s4s-m6k,"{'10027': 4, '11365': 4, '11366': 4, '11691': 4}"
2021-03-01,222-222@627-s4s-nwk,"{'10027': 4, '10467': 4, '10469': 4, '11209': 4, '11220': 4}"
2021-03-01,222-222@627-s4t-4sq,"{'10024': 4, '10026': 4, '10029': 4, '10030': 4, '10035': 4, '10037': 4, '10039': 4, '10456': 4, '10457': 4, '11372': 4, '11377': 4}"
2021-03-01,222-222@627-s4t-5fz,"{'10004': 4, '10005': 4, '10024': 5, '10025': 5, '10027': 4, '10030': 4, '10031': 8, '10037': 4, '11103': 4, '11106': 4, '11204': 4, '11214': 4, '11235': 4, '11366': 4, '11367': 4, '11416': 4, '11691': 4}"
2021-03-01,222-222@627-s4t-tgk,"{'10026': 4, '10029': 16, '10035': 8}"
2021-03-01,222-222@627-s4t-tvz,"{'10029': 8, '10032': 4, '10035': 8, '10039': 4, '10466': 4, '11203': 4, '11434': 4, '11693': 4}"
2021-03-01,222-222@627-s4t-xt9,"{'10029': 16, '10035': 4, '10452': 4, '10468': 4, '10472': 4}"
2021-03-01,222-222@627-s4v-2hq,"{'10029': 9, '10454': 4, '11421': 4}"
2021-03-01,222-222@627-s4v-2rk,"{'10029': 12, '10453': 4, '10462': 4, '10468': 4}"
2021-03-01,222-222@627-s4v-2x5,"{'10028': 4, '10029': 4, '10461': 4, '10462': 4, '11369': 6}"
2021-03-01,222-222@627-s4v-2zf,"{'10019': 4, '10023': 4, '10029': 16, '10069': 4, '10454': 4, '11206': 4, '11207': 4, '11233': 4}"
2021-03-01,222-222@627-s4v-3qz,"{'11204': 4, '11218': 4, '11412': 4}"
2021-03-01,222-222@627-s4v-3t9,"{'10029': 4, '10451': 4, '10456': 4, '11221': 4}"
2021-03-01,222-222@627-s4v-789,"{'10026': 4, '10028': 4, '10075': 4, '11207': 4, '11208': 4, '11239': 4}"
