date_range_end,placekey,visitor
2020-09-07,222-222@627-s4k-cwk,"{'10002': 4, '10009': 4, '10029': 4, '10035': 4, '10036': 4, '10452': 4, '10453': 4, '10471': 6, '10472': 4, '11373': 4, '11374': 4}"
2020-09-07,222-222@627-s4k-d7q,"{'10001': 8, '10010': 4, '10018': 4, '10023': 4, '10024': 6, '10030': 4, '10037': 4, '11203': 4}"
2020-09-07,222-222@627-s4k-fvf,"{'10025': 4, '10462': 4, '10473': 4}"
2020-09-07,222-222@627-s4k-kpv,"{'10018': 4, '10024': 4, '10036': 4, '10467': 4}"
2020-09-07,222-222@627-s4k-nqz,"{'10024': 8, '10025': 8, '10030': 4, '10035': 4, '10037': 4, '10039': 4, '10454': 4, '10455': 4, '11101': 4, '11103': 8, '11226': 4, '11230': 8, '11234': 4, '11370': 4, '11372': 4}"
2020-09-07,222-222@627-s4k-p35,"{'10025': 4, '10030': 4, '10037': 4, '10039': 4}"
2020-09-07,222-222@627-s4k-psq,"{'10021': 4, '10024': 5, '10025': 9, '10075': 4, '10467': 4, '11205': 5, '11224': 4, '11411': 4, '11429': 4}"
2020-09-07,222-222@627-s4m-4jv,"{'10031': 4, '10458': 4, '10463': 4}"
2020-09-07,222-222@627-s4m-575,"{'10025': 5, '10026': 5, '10463': 4}"
2020-09-07,222-222@627-s4m-75z,"{'10025': 19, '10027': 4, '10455': 4, '10456': 4, '10459': 4, '10469': 4, '11208': 4, '11355': 4, '11361': 4, '11364': 4, '11368': 4, '11373': 4}"
2020-09-07,222-222@627-s4m-835,"{'10025': 4, '10027': 4, '10451': 4, '10456': 4, '11229': 4, '11235': 4}"
2020-09-07,222-222@627-s4m-9j9,"{'10009': 4, '10025': 26, '10026': 4, '10027': 8, '10030': 8, '10037': 4, '10039': 4, '10459': 4, '10460': 4, '10464': 4, '10466': 4, '10467': 4, '10472': 4, '10475': 4, '11212': 4, '11221': 4, '11223': 4, '11364': 4, '11417': 4, '11691': 7}"
2020-09-07,222-222@627-s4m-ckf,"{'10024': 4, '10025': 13, '10029': 4, '10034': 4, '10314': 4, '10473': 4, '11377': 4}"
2020-09-07,222-222@627-s4m-v4v,"{'10025': 4, '10029': 4, '10128': 4, '11369': 4}"
2020-09-07,222-222@627-s4m-y7q,"{'10028': 5, '10128': 5, '11105': 4, '11419': 4, '11420': 4}"
2020-09-07,222-222@627-s4n-2tv,"{'10021': 8, '10075': 4, '11216': 4}"
2020-09-07,222-222@627-s4n-4y9,"{'10028': 4, '10075': 4, '10460': 4, '10468': 5}"
2020-09-07,222-222@627-s4n-54v,"{'10028': 4, '10029': 4, '10031': 4, '10032': 4, '10128': 4, '10469': 4}"
2020-09-07,222-222@627-s4n-5pv,"{'10021': 4, '10075': 4, '10452': 4}"
2020-09-07,222-222@627-s4n-b6k,"{'10024': 12, '10027': 4, '10452': 4, '11102': 5, '11207': 4, '11208': 4, '11215': 4, '11235': 4}"
2020-09-07,222-222@627-s4n-gp9,"{'10301': 4, '10304': 4, '10314': 4, '11204': 4, '11373': 4, '11416': 4, '11417': 4}"
2020-09-07,222-222@627-s4n-mc5,"{'10027': 4, '10028': 4, '10075': 4, '10128': 4, '11101': 4, '11106': 4}"
2020-09-07,222-222@627-s4n-nbk,"{'10009': 4, '10019': 4, '10024': 4, '10026': 4, '10128': 4, '10301': 4, '10310': 4, '10314': 4, '11378': 4, '11379': 4}"
2020-09-07,222-222@627-s4n-pjv,"{'10029': 4, '10128': 4, '11232': 4, '11435': 5}"
2020-09-07,222-222@627-s4n-q4v,"{'10029': 4, '10037': 4, '10451': 4, '10454': 4, '10455': 4, '11105': 4, '11207': 4, '11220': 4, '11232': 4, '11239': 4, '11354': 4, '11357': 4, '11370': 4}"
2020-09-07,222-222@627-s4n-q9f,"{'10021': 4, '10029': 20, '10032': 4, '10033': 4, '10035': 12, '10037': 8, '10038': 4, '10039': 4, '10075': 4, '10128': 4, '10451': 13, '10453': 4, '10454': 4, '10455': 25, '10456': 4, '10457': 15, '10459': 8, '10460': 4, '10462': 4, '10466': 4, '10467': 8, '10469': 12, '11103': 4, '11204': 9, '11207': 4, '11209': 8, '11218': 8, '11220': 4, '11223': 5, '11230': 12, '11378': 4, '11379': 4}"
2020-09-07,222-222@627-s4n-qcq,"{'10027': 4, '10029': 16, '10035': 8, '10037': 4, '10128': 15, '10458': 4, '10462': 4, '10467': 4, '10472': 9, '11105': 4, '11226': 4, '11236': 4, '11374': 4, '11375': 4, '11413': 4, '11432': 4}"
2020-09-07,222-222@627-s4n-skf,"{'11373': 4, '11423': 4, '11432': 4}"
2020-09-07,222-222@627-s4n-xbk,"{'10019': 4, '10021': 5, '10036': 4, '10065': 5, '10128': 4, '11373': 4}"
2020-09-07,222-222@627-s4q-v75,"{'10019': 4, '10023': 7, '10024': 4, '10032': 5, '10033': 5, '10069': 7, '10460': 4, '10462': 4, '11212': 4, '11370': 4, '11372': 4, '11435': 4, '11436': 4}"
2020-09-07,222-222@627-s4q-vpv,"{'10002': 4, '10009': 4, '10022': 4, '10065': 4}"
2020-09-07,222-222@627-s4q-wkz,"{'10019': 4, '10023': 8, '10069': 4, '11103': 4}"
2020-09-07,222-222@627-s4q-wx5,"{'10019': 13, '10023': 13, '10069': 13, '10464': 4, '10466': 4, '10475': 4, '11209': 4, '11385': 4}"
2020-09-07,222-222@627-s4q-zvf,"{'10002': 4, '10011': 4, '10014': 4, '10019': 12, '10022': 4, '10023': 12, '10065': 4, '10069': 4, '10305': 4, '11201': 4, '11205': 4, '11234': 4, '11238': 4, '11378': 4, '11385': 4, '11691': 4, '11692': 4}"
2020-09-07,222-222@627-s4r-3dv,"{'10019': 4, '10023': 4, '10028': 4, '10128': 4, '10463': 4, '10471': 4}"
