date_range_end,placekey,visitor
2021-10-11,222-222@627-s4k-d7q,"{'10025': 4, '10028': 4, '10030': 4, '10037': 4, '10040': 4, '10128': 4, '11368': 4}"
2021-10-11,222-222@627-s4k-ffz,"{'10024': 6, '10025': 5, '11379': 4, '11385': 4}"
2021-10-11,222-222@627-s4k-fvf,"{'10025': 4, '10312': 4, '11356': 4, '11357': 4}"
2021-10-11,222-222@627-s4k-kpv,"{'10023': 4, '10024': 4, '10036': 4, '10069': 4}"
2021-10-11,222-222@627-s4k-kzz,"{'10019': 4, '10024': 9, '10025': 4, '10026': 4, '10471': 4, '11435': 4}"
2021-10-11,222-222@627-s4k-mff,"{'10460': 5, '10461': 4, '10470': 4}"
2021-10-11,222-222@627-s4k-nqz,"{'10001': 4, '10009': 4, '10011': 4, '10014': 4, '10021': 10, '10022': 8, '10023': 4, '10024': 16, '10025': 20, '10028': 17, '10029': 8, '10065': 4, '10075': 8, '10128': 13, '10452': 4, '10463': 8, '10471': 4, '11229': 5, '11691': 4}"
2021-10-11,222-222@627-s4k-p35,"{'10021': 12, '10022': 4, '10024': 8, '10025': 4, '10028': 16, '10065': 4, '10075': 12, '10128': 8, '10457': 4, '10458': 4, '11364': 5, '11365': 5}"
2021-10-11,222-222@627-s4k-psq,"{'10019': 4, '10024': 8, '10025': 8, '10026': 8, '10452': 4, '11230': 6}"
2021-10-11,222-222@627-s4m-4jv,"{'10016': 4, '10025': 14, '10026': 4, '10027': 12}"
2021-10-11,222-222@627-s4m-575,"{'10024': 4, '10025': 12, '10027': 8, '10456': 4, '10459': 4}"
2021-10-11,222-222@627-s4m-75z,"{'10025': 28, '10027': 28, '10455': 4, '10456': 4, '10474': 4, '11416': 4, '11418': 4, '11419': 4}"
2021-10-11,222-222@627-s4m-835,"{'10025': 14, '10027': 8, '10452': 5, '11373': 4}"
2021-10-11,222-222@627-s4m-9j9,"{'10022': 4, '10024': 4, '10025': 24, '10026': 11, '10030': 4, '10032': 5, '10033': 5, '10039': 4, '10128': 4, '10456': 4, '10457': 4, '11213': 4, '11229': 4, '11230': 4, '11368': 4, '11372': 4}"
