date_range_end,placekey,visitor
2021-03-29,222-222@627-s4k-cwk,"{'10024': 4, '10028': 4, '10075': 4}"
2021-03-29,222-222@627-s4k-d7q,"{'10024': 4, '10025': 12, '10033': 4, '10040': 4, '10470': 4, '11209': 4}"
2021-03-29,222-222@627-s4k-fvf,"{'10025': 4, '11237': 4, '11373': 4, '11436': 4}"
2021-03-29,222-222@627-s4k-nqz,"{'10024': 13, '10025': 8, '10459': 4, '10460': 4, '11208': 4, '11212': 4, '11214': 4, '11378': 4}"
2021-03-29,222-222@627-s4k-psq,"{'11103': 4, '11106': 4, '11219': 4, '11365': 4, '11367': 4}"
2021-03-29,222-222@627-s4m-4jv,"{'10026': 8, '10027': 4, '10035': 4, '11385': 4}"
2021-03-29,222-222@627-s4m-575,"{'10009': 4, '10025': 4, '10026': 4, '10452': 4}"
2021-03-29,222-222@627-s4m-75z,"{'10025': 4, '10027': 8, '10469': 7}"
2021-03-29,222-222@627-s4m-835,"{'10025': 4, '10027': 4, '10469': 4}"
2021-03-29,222-222@627-s4m-8d9,"{'10024': 4, '10454': 4, '11204': 4}"
2021-03-29,222-222@627-s4m-9j9,"{'10002': 4, '10024': 6, '10025': 15, '10029': 4, '10035': 4, '11411': 4}"
2021-03-29,222-222@627-s4m-btv,"{'10019': 7, '10023': 7, '10025': 4, '10069': 7, '10466': 4, '10470': 4}"
2021-03-29,222-222@627-s4m-ckf,"{'10025': 4, '10029': 4, '10031': 4, '10032': 4, '10455': 4, '10459': 4, '10465': 4}"
2021-03-29,222-222@627-s4m-ffz,"{'10022': 5, '10456': 4, '10468': 4}"
2021-03-29,222-222@627-s4m-vzz,"{'10021': 4, '10029': 4, '10075': 4, '10463': 4, '10468': 4, '11377': 4}"
2021-03-29,222-222@627-s4m-wc5,"{'10019': 4, '10028': 4, '10075': 4}"
2021-03-29,222-222@627-s4n-5mk,"{'10028': 8, '10075': 4, '10128': 4, '10458': 4, '11222': 4}"
2021-03-29,222-222@627-s4n-5pv,"{'10021': 8, '10024': 4, '10075': 4}"
2021-03-29,222-222@627-s4n-6c5,"{'10021': 4, '10028': 4, '10075': 8, '10460': 4, '11378': 4, '11385': 4, '11435': 4}"
2021-03-29,222-222@627-s4n-b6k,"{'10023': 4, '10024': 4, '10025': 4, '10029': 4, '10032': 4, '10069': 4, '10464': 4, '10466': 4, '10475': 4}"
2021-03-29,222-222@627-s4n-mc5,"{'10029': 4, '10035': 4, '10314': 4}"
2021-03-29,222-222@627-s4n-q4v,"{'10029': 8, '10459': 4, '11103': 4, '11106': 4, '11356': 4}"
2021-03-29,222-222@627-s4n-q9f,"{'10026': 12, '10027': 4, '10029': 21, '10039': 4, '10128': 12, '10462': 4, '10472': 4, '11214': 4, '11223': 4, '11229': 4, '11368': 10, '11372': 4, '11374': 4, '11375': 4}"
2021-03-29,222-222@627-s4n-qcq,"{'10019': 4, '10024': 4, '10026': 4, '10029': 12, '10035': 4, '10314': 4, '11101': 4, '11106': 4, '11210': 4, '11233': 4, '11372': 4, '11373': 4, '11385': 4, '11413': 6}"
2021-03-29,222-222@627-s4n-sqz,"{'10028': 5, '11366': 4, '11367': 4}"
2021-03-29,222-222@627-s4q-v75,"{'10019': 10, '10023': 22, '10024': 8, '10026': 4, '10069': 18, '11377': 7}"
2021-03-29,222-222@627-s4q-vpv,"{'11104': 4, '11377': 4, '11432': 4, '11435': 4}"
2021-03-29,222-222@627-s4q-wx5,"{'10010': 5, '10016': 5, '10019': 5, '10023': 5, '10069': 5}"
2021-03-29,222-222@627-s4q-zvf,"{'10019': 13, '10025': 4, '10029': 4, '10312': 4, '11104': 4, '11206': 4, '11208': 4, '11223': 6, '11368': 4, '11372': 8, '11373': 4, '11377': 8, '11414': 4}"
2021-03-29,222-222@627-s4r-28v,"{'10019': 4, '10023': 15, '10024': 4, '10457': 5, '10460': 5, '11205': 4, '11238': 4}"
2021-03-29,222-222@627-s4r-2p9,"{'10012': 4, '11205': 4, '11210': 4, '11226': 4, '11378': 4, '11379': 4}"
2021-03-29,222-222@627-s4r-2rk,"{'10019': 4, '10023': 12, '10069': 4}"
2021-03-29,222-222@627-s4r-3kf,"{'10009': 4, '10019': 9, '10023': 8, '10069': 4, '10470': 4, '11210': 4, '11219': 4, '11228': 4, '11230': 4}"
2021-03-29,222-222@627-s4r-q75,"{'10025': 4, '10027': 4, '10307': 4, '10309': 4}"
2021-03-29,222-222@627-s4r-vs5,"{'10019': 4, '10023': 4, '10069': 4, '10463': 4, '10468': 4}"
2021-03-29,222-222@627-s4s-bp9,"{'10027': 4, '10030': 4, '10031': 4, '10032': 4, '10033': 4, '10037': 4, '10456': 4, '10457': 4, '10475': 4, '11226': 4, '11231': 6}"
2021-03-29,222-222@627-s4s-brk,"{'10019': 4, '10023': 4, '10025': 4, '10027': 14, '10031': 6, '10034': 4, '10069': 4, '11368': 4, '11369': 4, '11373': 4, '11433': 4, '11435': 4}"
2021-03-29,222-222@627-s4s-ch5,"{'10027': 5, '10031': 4, '10032': 4, '10033': 4, '10452': 4}"
2021-03-29,222-222@627-s4s-k2k,"{'10027': 4, '10463': 4, '11226': 4}"
2021-03-29,222-222@627-s4s-m6k,"{'10027': 5, '10039': 4, '10453': 4, '11365': 4, '11367': 4}"
2021-03-29,222-222@627-s4t-4sq,"{'10025': 4, '10027': 4, '10029': 8, '10030': 4, '10031': 8, '10035': 4, '10039': 4, '10451': 4, '10452': 4, '10461': 4, '10472': 4, '11377': 4, '11433': 4, '11434': 4}"
2021-03-29,222-222@627-s4t-5fz,"{'10011': 4, '10027': 8, '10031': 12, '10032': 4, '10033': 4, '10039': 4, '10463': 8, '10468': 4, '10471': 5}"
2021-03-29,222-222@627-s4t-bp9,"{'10026': 4, '10027': 4, '10032': 4, '10039': 4, '10452': 4, '10467': 4, '10469': 4}"
2021-03-29,222-222@627-s4t-tgk,"{'10029': 8, '10451': 4, '10452': 4, '10456': 4, '11233': 4, '11366': 4, '11367': 4, '11370': 4}"
2021-03-29,222-222@627-s4t-tvz,"{'10029': 8, '10032': 4, '10033': 4, '10035': 9, '10040': 4, '11220': 4, '11368': 4, '11369': 4}"
2021-03-29,222-222@627-s4t-xt9,"{'10029': 8, '10035': 4, '10451': 4, '10475': 4, '11208': 5}"
2021-03-29,222-222@627-s4v-2hq,"{'10029': 8, '10454': 5, '11223': 4, '11224': 4, '11225': 4, '11234': 4, '11235': 4}"
2021-03-29,222-222@627-s4v-2rk,"{'10029': 4, '10455': 4, '10474': 4, '10475': 4, '11234': 4}"
2021-03-29,222-222@627-s4v-2zf,"{'10029': 19, '10035': 11, '10451': 4, '10454': 4, '10456': 4}"
2021-03-29,222-222@627-s4v-5pv,"{'10029': 4, '10031': 4, '10032': 4, '10463': 4, '10472': 4, '11434': 4}"
2021-03-29,222-222@627-s4v-789,"{'10023': 4, '10024': 4, '10025': 4, '10026': 12, '10029': 4, '10034': 4, '11221': 4}"
2021-03-29,222-222@627-s4v-9cq,"{'10019': 4, '10027': 5, '10039': 8, '10451': 4, '10456': 4}"
2021-03-29,222-222@627-s4v-9xq,"{'10026': 8, '11370': 4, '11372': 4, '11377': 4}"
2021-03-29,222-222@627-s4v-dn5,"{'10019': 4, '10027': 4, '10029': 8, '10030': 4, '10031': 4, '10032': 4, '10033': 4, '10035': 8, '10036': 4, '10128': 8, '10308': 4, '10312': 4, '10314': 4, '10453': 8, '10457': 8, '10465': 4, '10466': 4, '10467': 4, '10468': 4, '10475': 4, '11101': 4, '11103': 7, '11105': 4, '11106': 11, '11201': 4, '11203': 4, '11207': 4, '11209': 4, '11210': 4, '11213': 4, '11214': 4, '11220': 4, '11221': 4, '11223': 4, '11229': 4, '11233': 4, '11234': 4, '11235': 4, '11236': 12, '11367': 5, '11377': 8, '11421': 4, '11427': 4, '11428': 8, '11429': 4, '11434': 4}"
2021-03-29,222-222@627-s4v-hh5,"{'10017': 4, '10022': 4, '10308': 4, '10312': 4, '10463': 4, '10468': 4, '11209': 4, '11220': 4, '11229': 4, '11694': 4}"
2021-03-29,222-222@627-s4v-k75,"{'10016': 4, '10018': 4, '10027': 4, '10030': 4, '10031': 4, '10032': 4, '10035': 4, '10037': 4, '10301': 4, '10310': 4, '10451': 4, '10452': 5, '10453': 4, '10455': 4, '10456': 8, '10457': 9, '10458': 4, '10459': 4, '10461': 8, '10462': 8, '10466': 4, '10467': 4, '10468': 4, '10470': 4, '10472': 4, '10473': 4, '11103': 4, '11106': 4, '11224': 4, '11234': 4, '11237': 4}"
2021-03-29,222-222@627-s4v-kpv,"{'10001': 4, '10010': 4, '10011': 4, '10026': 4, '10035': 8, '10037': 4, '10465': 4}"
2021-03-29,222-222@627-s4v-nqz,"{'10027': 4, '10029': 6, '10031': 4, '10451': 4, '10452': 4, '10463': 4, '10471': 4}"
2021-03-29,222-222@627-s4v-s3q,"{'10026': 4, '10029': 4, '10035': 8, '10457': 4, '10465': 4, '10467': 4, '10469': 4, '11434': 4, '11435': 4, '11436': 4}"
2021-03-29,222-222@627-s4v-ty9,"{'10019': 4, '10023': 4, '10025': 4, '10026': 4, '10037': 4, '10069': 4, '10457': 4, '10472': 4}"
2021-03-29,222-222@627-s4v-v4v,"{'10035': 11, '10453': 4, '10462': 4}"
2021-03-29,222-222@627-s5w-psq,"{'10026': 4, '10452': 4, '10453': 4, '10457': 5, '10458': 4, '10463': 4, '10473': 4}"
2021-03-29,222-222@627-s5w-sbk,"{'10029': 4, '10453': 4, '11233': 4}"
2021-03-29,222-222@627-s5w-sdv,"{'10033': 4, '10034': 4, '10040': 4, '10453': 8, '10460': 4, '10472': 4}"
2021-03-29,222-222@627-s5w-wx5,"{'10002': 4, '10034': 12, '10040': 8, '10452': 4, '10453': 4, '10467': 4, '10468': 4, '11203': 5}"
2021-03-29,222-222@627-s5w-zmk,"{'10304': 4, '10305': 4, '10306': 4, '11102': 4, '11103': 4}"
2021-03-29,222-222@627-s5x-92k,"{'10031': 4, '10032': 4, '10034': 12, '10040': 8, '10468': 4, '10469': 4, '11212': 4, '11233': 4, '11416': 4, '11422': 4}"
2021-03-29,222-222@627-s5x-9pv,"{'10034': 9, '10040': 9, '10451': 4, '10456': 4, '10463': 4, '10467': 4}"
2021-03-29,222-222@627-s5x-b49,"{'10033': 4, '10034': 8, '10040': 4}"
2021-03-29,222-222@627-s6d-52k,"{'10027': 4, '10031': 4, '10451': 8, '10452': 4}"
