date_range_end,placekey,visitor
2020-11-23,222-222@627-s4k-cwk,"{'10025': 4, '10458': 4, '11354': 4, '11358': 4}"
2020-11-23,222-222@627-s4k-d7q,"{'10002': 4, '10023': 4, '10024': 12, '10025': 4, '10030': 4, '10031': 4, '10037': 4, '10454': 4, '10455': 4, '11102': 4, '11106': 4}"
2020-11-23,222-222@627-s4k-fvf,"{'10025': 4, '10028': 4, '10075': 4}"
2020-11-23,222-222@627-s4k-kzz,"{'10024': 4, '11414': 4, '11419': 4}"
2020-11-23,222-222@627-s4k-nqz,"{'10021': 5, '10022': 4, '10024': 6, '10025': 10, '10028': 6, '10031': 4, '11208': 4, '11212': 4, '11372': 4, '11373': 8, '11375': 4, '11416': 4}"
2020-11-23,222-222@627-s4k-p35,"{'10021': 8, '10028': 4, '10065': 4, '10075': 4, '11102': 4, '11212': 4}"
2020-11-23,222-222@627-s4k-psq,"{'10024': 8, '10025': 4, '10032': 4, '10306': 4, '11234': 4}"
2020-11-23,222-222@627-s4m-575,"{'10025': 8, '10458': 4, '10467': 4}"
2020-11-23,222-222@627-s4m-75z,"{'10016': 4, '10017': 4, '10024': 4, '10025': 8, '10027': 4, '10031': 4, '10455': 4, '10463': 4, '10474': 4, '11105': 4, '11224': 4, '11370': 4}"
2020-11-23,222-222@627-s4m-9j9,"{'10001': 4, '10021': 4, '10025': 18, '10026': 4, '10028': 4, '10031': 4, '10032': 4, '10065': 4, '10075': 4, '10312': 4, '10460': 4, '10473': 4, '11208': 4, '11212': 4, '11414': 4}"
2020-11-23,222-222@627-s4m-ckf,"{'10025': 4, '11206': 4, '11208': 4, '11216': 4, '11221': 4, '11421': 4, '11435': 4}"
2020-11-23,222-222@627-s4m-v4v,"{'10023': 4, '10029': 6, '10069': 4, '10472': 4, '11205': 4, '11216': 4, '11428': 4}"
2020-11-23,222-222@627-s4m-vzz,"{'10028': 9, '10075': 4, '10128': 4, '11372': 4}"
2020-11-23,222-222@627-s4m-wc5,"{'10022': 8, '10028': 4, '10029': 4, '10065': 4, '10128': 4, '11372': 4, '11377': 4}"
2020-11-23,222-222@627-s4m-y7q,"{'10009': 4, '10019': 4, '10023': 4, '10029': 4, '10069': 4, '10128': 8}"
2020-11-23,222-222@627-s4n-4y9,"{'10001': 4, '10473': 4, '11377': 4}"
2020-11-23,222-222@627-s4n-5fz,"{'10021': 4, '10028': 5, '10075': 5}"
2020-11-23,222-222@627-s4n-5mk,"{'10021': 4, '10034': 4, '10075': 4, '10458': 4, '10467': 4, '11358': 4, '11365': 4, '11419': 4, '11420': 4}"
2020-11-23,222-222@627-s4n-6c5,"{'10004': 4, '10006': 4, '10007': 4, '10021': 4, '10075': 4, '11101': 4, '11104': 4, '11214': 4, '11377': 4, '11385': 4}"
2020-11-23,222-222@627-s4n-b6k,"{'10019': 4, '10022': 4, '10024': 4, '10026': 4, '10029': 4, '11207': 4, '11214': 4, '11223': 8, '11224': 4, '11235': 4}"
2020-11-23,222-222@627-s4n-mc5,"{'10032': 4, '10453': 4, '10472': 4, '11102': 4, '11106': 4}"
2020-11-23,222-222@627-s4n-n89,"{'10022': 4, '10040': 4, '11432': 4, '11433': 4}"
2020-11-23,222-222@627-s4n-nbk,"{'10028': 4, '10128': 8, '10454': 4, '10455': 4, '11105': 4, '11218': 4, '11226': 4, '11369': 4, '11370': 8, '11374': 4, '11375': 4, '11414': 4}"
2020-11-23,222-222@627-s4n-pjv,"{'10029': 9, '10035': 9, '10037': 4, '11208': 4, '11230': 4, '11435': 4}"
2020-11-23,222-222@627-s4n-pn5,"{'10035': 4, '11203': 4, '11207': 4, '11236': 4}"
2020-11-23,222-222@627-s4n-q4v,"{'10023': 4, '10029': 9, '10128': 5, '10462': 4, '10473': 4, '11236': 4, '11367': 4}"
2020-11-23,222-222@627-s4n-q9f,"{'10019': 4, '10021': 4, '10024': 4, '10026': 8, '10027': 4, '10029': 25, '10032': 4, '10035': 8, '10037': 4, '10075': 4, '10128': 9, '10451': 4, '10456': 10, '10457': 4, '10459': 5, '10460': 5, '10463': 4, '10466': 4, '10467': 4, '10469': 4, '10473': 4, '11102': 4, '11106': 4, '11205': 4, '11210': 4, '11214': 4, '11216': 4, '11218': 4, '11223': 4, '11228': 4, '11229': 4, '11230': 8, '11374': 4, '11375': 4, '11433': 4, '11435': 4}"
2020-11-23,222-222@627-s4n-qcq,"{'10021': 4, '10028': 4, '10029': 16, '10035': 4, '10075': 8, '10128': 10, '10301': 4, '10310': 4, '10314': 4, '10453': 4, '10455': 4, '10456': 4, '10462': 4, '11435': 4}"
