date_range_end,placekey,visitor
2021-03-22,222-222@627-s4k-cwk,"{'10025': 4, '10027': 4, '10035': 4, '10037': 4, '10467': 4}"
2021-03-22,222-222@627-s4k-d7q,"{'10025': 9, '10032': 4, '10033': 4, '10034': 4, '10463': 4, '10472': 4, '11355': 4}"
2021-03-22,222-222@627-s4k-kzz,"{'10004': 4, '10005': 8, '10038': 8, '11229': 6, '11234': 4, '11236': 4}"
2021-03-22,222-222@627-s4k-nqz,"{'10021': 9, '10024': 14, '10025': 17, '10028': 4, '10031': 4, '10039': 4, '10065': 5, '10128': 4, '10312': 4, '10464': 4, '10466': 4, '10475': 4}"
2021-03-22,222-222@627-s4k-p35,"{'10017': 4, '10021': 4, '10022': 12, '10024': 4, '10025': 4, '10030': 4, '10031': 4, '10037': 4, '10065': 8, '11413': 4, '11422': 4}"
2021-03-22,222-222@627-s4k-psq,"{'10451': 4, '10452': 4, '10456': 4, '11208': 5, '11372': 4, '11377': 4}"
2021-03-22,222-222@627-s4m-4jv,"{'10025': 12, '10026': 8, '10027': 13, '10031': 4, '11208': 6, '11215': 4, '11217': 4, '11238': 4}"
2021-03-22,222-222@627-s4m-575,"{'10024': 4, '10025': 8, '10026': 4}"
2021-03-22,222-222@627-s4m-75z,"{'10025': 8, '10027': 8, '10463': 5, '11207': 4}"
2021-03-22,222-222@627-s4m-835,"{'10457': 4, '10471': 4, '11377': 6, '11378': 6}"
2021-03-22,222-222@627-s4m-9j9,"{'10025': 10, '10452': 4, '10453': 4, '10462': 4, '10472': 5, '11213': 4, '11373': 5, '11377': 9, '11422': 4}"
2021-03-22,222-222@627-s4m-btv,"{'10007': 4, '10025': 13, '10027': 4, '10035': 4, '10037': 4, '10280': 4, '10282': 4, '11101': 4, '11104': 4}"
2021-03-22,222-222@627-s4m-ckf,"{'10003': 4, '10010': 4, '10032': 4}"
2021-03-22,222-222@627-s4m-ffz,"{'10022': 4, '10025': 4, '10461': 4, '10472': 4, '11211': 4}"
2021-03-22,222-222@627-s4m-vzz,"{'10021': 4, '10028': 6, '10065': 4, '10128': 6, '10304': 4, '10475': 4}"
2021-03-22,222-222@627-s4m-y7q,"{'10003': 4, '10009': 4, '10028': 4, '10029': 4, '10128': 8, '10457': 4, '10458': 4, '11101': 4, '11104': 4, '11206': 4, '11211': 4}"
2021-03-22,222-222@627-s4n-2tv,"{'10016': 4, '11214': 4, '11221': 4, '11229': 6}"
2021-03-22,222-222@627-s4n-4y9,"{'10021': 4, '10027': 4, '10075': 4, '11354': 4, '11355': 4}"
2021-03-22,222-222@627-s4n-54v,"{'10022': 4, '10028': 4, '10075': 4}"
2021-03-22,222-222@627-s4n-5mk,"{'10019': 4, '10021': 4, '10023': 4, '10028': 4, '10069': 4, '10075': 8, '11102': 4}"
2021-03-22,222-222@627-s4n-6c5,"{'10458': 6, '10460': 4, '11213': 4, '11216': 4, '11372': 4, '11373': 4, '11377': 4}"
2021-03-22,222-222@627-s4n-b6k,"{'10002': 4, '10024': 16, '10028': 4, '10029': 4, '10075': 4, '11372': 4, '11377': 4}"
2021-03-22,222-222@627-s4n-mc5,"{'10029': 4, '10128': 8, '11101': 4, '11104': 4, '11423': 4, '11427': 4}"
