date_range_end,placekey,visitor
2021-08-09,222-222@627-s4k-d7q,"{'10017': 4, '10022': 4, '11378': 4, '11385': 4}"
2021-08-09,222-222@627-s4k-kpv,"{'10024': 4, '10025': 4, '11101': 6, '11385': 4}"
2021-08-09,222-222@627-s4k-nqz,"{'10025': 4, '10128': 8, '11210': 4, '11214': 4, '11230': 4, '11236': 4, '11354': 4, '11357': 4, '11370': 4, '11372': 4, '11377': 4, '11436': 4}"
2021-08-09,222-222@627-s4k-psq,"{'10001': 4, '10010': 4, '10011': 4, '10018': 4, '10024': 4, '10025': 8, '10036': 4, '10459': 4, '10460': 4, '10467': 4, '10470': 4, '10471': 4, '11218': 4, '11223': 4, '11224': 8, '11235': 8, '11361': 4, '11364': 4}"
2021-08-09,222-222@627-s4m-4jv,"{'10026': 8, '10027': 4, '10455': 4}"
2021-08-09,222-222@627-s4m-575,"{'10025': 12, '10026': 4, '11378': 4}"
2021-08-09,222-222@627-s4m-75z,"{'10025': 13, '10026': 4, '10032': 4, '10035': 4, '10037': 4, '10451': 4, '10453': 4, '10456': 4, '10468': 4, '10470': 4, '11214': 4}"
2021-08-09,222-222@627-s4m-9j9,"{'10025': 16, '10026': 4, '10031': 10, '10032': 6}"
2021-08-09,222-222@627-s4m-btv,"{'10025': 8, '10462': 4, '10472': 4}"
2021-08-09,222-222@627-s4m-ckf,"{'10025': 4, '10029': 8, '10035': 4, '10308': 4, '10312': 4, '11374': 4, '11375': 4}"
2021-08-09,222-222@627-s4m-ffz,"{'10025': 4, '10034': 4, '10451': 4, '10452': 4, '10456': 4, '11103': 4, '11368': 4, '11369': 4}"
2021-08-09,222-222@627-s4m-y7q,"{'10454': 4, '10462': 4, '10463': 4, '11377': 4, '11378': 4}"
2021-08-09,222-222@627-s4n-5mk,"{'10021': 4, '10028': 4, '10128': 4, '10458': 4}"
2021-08-09,222-222@627-s4n-6c5,"{'10002': 4, '10009': 4, '10028': 4, '10075': 4}"
2021-08-09,222-222@627-s4n-b6k,"{'10028': 4, '10128': 4, '10470': 4}"
2021-08-09,222-222@627-s4n-ch5,"{'10019': 4, '10023': 4, '10024': 4, '10069': 4}"
2021-08-09,222-222@627-s4n-nbk,"{'10128': 4, '10453': 4, '10468': 4, '11214': 4, '11369': 4}"
2021-08-09,222-222@627-s4n-pjv,"{'10021': 4, '10030': 4, '10037': 4, '10075': 4, '10470': 4}"
2021-08-09,222-222@627-s4n-q4v,"{'10029': 8, '10128': 8, '10456': 4, '10459': 4}"
2021-08-09,222-222@627-s4n-q9f,"{'10021': 4, '10025': 4, '10026': 4, '10027': 4, '10028': 4, '10029': 12, '10035': 8, '10039': 4, '10075': 8, '10128': 4, '10466': 4, '10469': 4, '11101': 4, '11104': 4, '11105': 4, '11214': 12, '11222': 4, '11223': 4, '11226': 4, '11370': 4, '11372': 4, '11377': 4}"
2021-08-09,222-222@627-s4n-qcq,"{'10027': 4, '10029': 12, '10031': 4, '10128': 8, '11203': 4, '11385': 4}"
2021-08-09,222-222@627-s4n-r49,"{'10028': 4, '10029': 4, '10128': 8, '10308': 4, '10312': 4, '10472': 4, '11219': 5, '11228': 5, '11229': 4, '11235': 8, '11237': 4, '11373': 4, '11375': 4, '11377': 4, '11416': 4, '11417': 4}"
2021-08-09,222-222@627-s4n-skf,"{'10025': 4, '10128': 4, '10469': 4, '11373': 4}"
2021-08-09,222-222@627-s4n-vxq,"{'10314': 4, '10451': 4, '10456': 4, '11102': 4}"
2021-08-09,222-222@627-s4q-v75,"{'10001': 4, '10003': 4, '10009': 4, '10010': 4, '10011': 4, '10019': 4, '10023': 17, '10069': 13, '10452': 4, '11422': 4}"
2021-08-09,222-222@627-s4q-wx5,"{'10019': 9, '10023': 9, '10031': 4, '10069': 9, '11233': 4, '11236': 4}"
2021-08-09,222-222@627-s4q-zvf,"{'10019': 6, '10024': 4, '10033': 4, '10305': 4, '10306': 4, '10308': 4, '11101': 4, '11103': 4, '11208': 4, '11218': 4, '11235': 4, '11377': 4, '11412': 4, '11423': 4, '11428': 4}"
2021-08-09,222-222@627-s4r-2rk,"{'10019': 4, '10023': 4, '10069': 4, '10457': 4, '10468': 4, '11223': 4, '11229': 4, '11235': 4, '11375': 4}"
2021-08-09,222-222@627-s4r-3dv,"{'10019': 4, '10023': 4, '10069': 4, '10465': 4, '11433': 4}"
2021-08-09,222-222@627-s4r-3kf,"{'10019': 8, '10023': 4, '10024': 4, '10069': 4, '11218': 4, '11230': 4, '11692': 5}"
2021-08-09,222-222@627-s4r-5j9,"{'10027': 4, '10035': 4, '10037': 4, '11207': 4, '11370': 4, '11372': 8, '11373': 4, '11423': 4, '11432': 4}"
2021-08-09,222-222@627-s4r-hkf,"{'10002': 4, '11204': 4, '11212': 9, '11223': 4, '11230': 4, '11236': 9}"
2021-08-09,222-222@627-s4s-bp9,"{'10026': 4, '10028': 4, '10029': 4, '10030': 4, '10035': 4, '10037': 4, '11004': 6, '11203': 4, '11213': 4, '11216': 4, '11226': 4, '11428': 4}"
2021-08-09,222-222@627-s4s-brk,"{'10029': 4, '10031': 4, '10032': 4, '10128': 4, '10306': 4, '10467': 4, '11105': 4, '11207': 4, '11233': 4, '11368': 4, '11370': 4}"
2021-08-09,222-222@627-s4s-ch5,"{'10456': 4, '10459': 4, '10470': 4}"
2021-08-09,222-222@627-s4s-k4v,"{'10025': 4, '10457': 4, '11101': 4, '11104': 4}"
2021-08-09,222-222@627-s4s-kj9,"{'10025': 4, '10027': 4, '10031': 4, '10032': 4}"
2021-08-09,222-222@627-s4s-nwk,"{'10027': 8, '10031': 8, '10032': 4, '11368': 4, '11434': 4}"
2021-08-09,222-222@627-s4t-4sq,"{'10027': 4, '10031': 8, '10455': 4, '10464': 6, '10465': 4, '10466': 6, '10475': 6}"
2021-08-09,222-222@627-s4t-5fz,"{'10027': 9, '10031': 13, '10039': 4, '10302': 4, '10314': 4, '10472': 4, '11212': 4}"
2021-08-09,222-222@627-s4t-8qf,"{'10027': 4, '10031': 5, '11229': 4, '11378': 4, '11379': 4}"
2021-08-09,222-222@627-s4t-94v,"{'10030': 4, '10037': 4, '10451': 4, '10454': 4, '11213': 4}"
2021-08-09,222-222@627-s4t-tgk,"{'10026': 4, '10467': 4, '10469': 4, '11234': 4}"
2021-08-09,222-222@627-s4t-tvz,"{'10021': 4, '10029': 11, '10035': 7, '10461': 4}"
2021-08-09,222-222@627-s4t-xt9,"{'10025': 6, '10029': 12, '10035': 12, '10451': 4, '10455': 4, '11361': 4, '11364': 4}"
2021-08-09,222-222@627-s4v-2rk,"{'10029': 4, '10035': 4, '10039': 4}"
2021-08-09,222-222@627-s4v-2x5,"{'10027': 4, '10029': 8, '10031': 4, '10035': 4, '10128': 4, '10451': 4, '10466': 4, '11004': 4, '11206': 6, '11210': 4, '11221': 6, '11434': 4}"
2021-08-09,222-222@627-s4v-2zf,"{'10029': 16, '10035': 4, '10128': 4, '11207': 4, '11221': 4, '11222': 4, '11233': 4}"
2021-08-09,222-222@627-s4v-3qz,"{'10029': 4, '11203': 4, '11691': 4}"
2021-08-09,222-222@627-s4v-5pv,"{'10025': 4, '10027': 4, '10030': 4, '10037': 4, '10308': 4, '10312': 4}"
2021-08-09,222-222@627-s4v-9cq,"{'10025': 12, '10027': 4, '10029': 8, '10035': 4, '10466': 4, '10467': 4}"
2021-08-09,222-222@627-s4v-9xq,"{'10026': 10, '10035': 4, '10037': 4, '10453': 4, '10459': 4, '10468': 4, '10474': 4, '11412': 4, '11423': 4}"
