date_range_end,placekey,visitor
2021-03-08,222-222@627-s4k-cwk,"{'10025': 4, '10459': 4, '11373': 4}"
2021-03-08,222-222@627-s4k-d7q,"{'10026': 4, '10027': 4, '10455': 4, '11206': 4, '11357': 4}"
2021-03-08,222-222@627-s4k-kzz,"{'10024': 5, '10028': 4, '10128': 4, '10454': 4}"
2021-03-08,222-222@627-s4k-nqz,"{'10021': 8, '10022': 4, '10024': 19, '10025': 19, '10027': 4, '10030': 4, '10065': 8, '11208': 4, '11214': 4, '11221': 4, '11237': 4, '11372': 4, '11373': 4}"
2021-03-08,222-222@627-s4k-p35,"{'10021': 13, '10022': 4, '10024': 4, '10025': 8, '10031': 4, '10065': 4, '10075': 4, '11222': 4}"
2021-03-08,222-222@627-s4k-psq,"{'10024': 7, '10025': 15, '11368': 4, '11372': 4, '11373': 4}"
2021-03-08,222-222@627-s4m-4jv,"{'10034': 4, '10455': 4, '10459': 4, '11215': 4, '11217': 4, '11238': 4, '11385': 4}"
2021-03-08,222-222@627-s4m-75z,"{'10025': 17, '10027': 9, '10031': 4, '11206': 4, '11221': 4, '11373': 5}"
2021-03-08,222-222@627-s4m-8d9,"{'10031': 4, '10457': 4, '10458': 4, '11208': 4}"
2021-03-08,222-222@627-s4m-9j9,"{'10001': 4, '10023': 4, '10024': 4, '10025': 11, '10039': 4, '10455': 4, '10456': 8, '10457': 4, '10467': 4, '11372': 4}"
2021-03-08,222-222@627-s4m-ffz,"{'10025': 4, '10029': 4, '10035': 4, '10451': 4, '10456': 8}"
2021-03-08,222-222@627-s4m-v4v,"{'10011': 4, '10022': 4, '10028': 4, '10065': 4, '10075': 4, '10128': 4}"
2021-03-08,222-222@627-s4m-vzz,"{'10017': 4, '10028': 4, '10075': 4, '11206': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-03-08,222-222@627-s4m-y7q,"{'10019': 4, '10021': 4, '10023': 4, '11229': 8, '11235': 4, '11423': 4, '11427': 4}"
2021-03-08,222-222@627-s4n-2tv,"{'11212': 4, '11416': 4, '11417': 4}"
2021-03-08,222-222@627-s4n-4gk,"{'10021': 4, '10029': 4, '10065': 4, '10128': 4, '11369': 4}"
2021-03-08,222-222@627-s4n-4y9,"{'10001': 4, '10467': 4, '10475': 4}"
2021-03-08,222-222@627-s4n-52k,"{'10028': 4, '10075': 4, '10465': 7, '11219': 4}"
