date_range_end,placekey,visitor
2021-04-12,222-222@627-s4k-cwk,"{'10024': 4, '10025': 8, '10128': 4, '10304': 4}"
2021-04-12,222-222@627-s4k-d7q,"{'10025': 8, '10030': 4, '10037': 4}"
2021-04-12,222-222@627-s4k-fvf,"{'10025': 4, '10030': 4, '10037': 4, '11207': 4, '11221': 4}"
2021-04-12,222-222@627-s4k-kzz,"{'10024': 4, '10031': 4, '11220': 4}"
2021-04-12,222-222@627-s4k-nqz,"{'10024': 16, '10025': 20, '10027': 4, '10028': 4, '10075': 4, '10455': 4, '10458': 4, '10463': 4, '10466': 4, '10468': 4, '11104': 6, '11106': 4, '11214': 4, '11372': 4, '11374': 4, '11375': 4, '11414': 4, '11417': 4}"
2021-04-12,222-222@627-s4k-p35,"{'10028': 4, '10075': 4, '10302': 6, '10314': 6, '11367': 4, '11372': 4, '11419': 4, '11420': 4, '11432': 4, '11435': 4}"
2021-04-12,222-222@627-s4m-4jv,"{'10027': 4, '10031': 8, '10032': 8, '10035': 4, '10469': 5, '11208': 5, '11221': 4}"
2021-04-12,222-222@627-s4m-575,"{'10025': 4, '10457': 4, '11220': 4}"
2021-04-12,222-222@627-s4m-75z,"{'10024': 4, '10025': 16, '10026': 4, '10027': 13, '10458': 5, '11004': 4, '11426': 4}"
2021-04-12,222-222@627-s4m-835,"{'10002': 4, '10025': 4, '10463': 4, '10467': 4, '10471': 4}"
2021-04-12,222-222@627-s4m-8d9,"{'10031': 4, '10032': 4, '10033': 4, '11204': 4, '11209': 4}"
2021-04-12,222-222@627-s4m-9j9,"{'10025': 13, '10458': 4, '11223': 4, '11229': 4, '11235': 4}"
2021-04-12,222-222@627-s4m-btv,"{'10025': 4, '10454': 4, '10455': 4, '11212': 4}"
2021-04-12,222-222@627-s4m-ckf,"{'10001': 4, '10011': 4, '10012': 4, '10013': 4, '10018': 4, '10025': 4, '10029': 4, '10033': 4, '10040': 8, '10468': 4, '11101': 4, '11109': 4, '11203': 6, '11370': 4, '11372': 4, '11377': 8}"
2021-04-12,222-222@627-s4m-v4v,"{'10029': 4, '11104': 4, '11377': 4}"
2021-04-12,222-222@627-s4m-vzz,"{'10019': 4, '10028': 4, '10036': 4, '10075': 4, '10456': 4, '10459': 4, '11412': 4, '11423': 4, '11432': 4, '11433': 4}"
2021-04-12,222-222@627-s4n-4y9,"{'10001': 4, '10028': 4, '10075': 4, '11224': 4}"
2021-04-12,222-222@627-s4n-54v,"{'10028': 8, '10075': 4, '11373': 4}"
2021-04-12,222-222@627-s4n-5fz,"{'10021': 8, '10028': 4, '10075': 4, '10128': 4}"
2021-04-12,222-222@627-s4n-5mk,"{'10021': 8, '10028': 4, '10075': 12, '11379': 4}"
2021-04-12,222-222@627-s4n-5pv,"{'10021': 8, '10065': 4, '10075': 4}"
2021-04-12,222-222@627-s4n-6c5,"{'10025': 4, '10028': 4, '10075': 4, '11220': 4, '11379': 4, '11432': 8}"
2021-04-12,222-222@627-s4n-8sq,"{'10023': 4, '11433': 4, '11435': 4, '11691': 4, '11692': 4}"
2021-04-12,222-222@627-s4n-b6k,"{'10010': 4, '10016': 4, '10017': 4, '10019': 6, '10022': 4, '10023': 6, '10024': 8, '10025': 4, '10026': 4, '10027': 4, '10035': 4, '10065': 4, '10128': 4, '10452': 4, '11233': 4}"
2021-04-12,222-222@627-s4n-nbk,"{'10021': 4, '10128': 4, '11418': 4}"
2021-04-12,222-222@627-s4n-q4v,"{'10005': 4, '10029': 4, '10038': 4, '10128': 4, '10456': 7, '10457': 4, '10459': 7, '10468': 4, '11208': 4, '11216': 4, '11421': 4, '11434': 4}"
