date_range_end,placekey,visitor
2020-08-17,222-222@627-s4k-d7q,"{'10018': 4, '10025': 8, '10032': 4, '10036': 4, '10458': 4, '10468': 4}"
2020-08-17,222-222@627-s4k-fvf,"{'10026': 4, '10451': 4, '10454': 4, '11377': 4, '11378': 4}"
2020-08-17,222-222@627-s4k-nqz,"{'10024': 6, '10025': 6, '10028': 4, '10030': 4, '10031': 4, '10039': 4, '10075': 4, '10308': 6, '10312': 6, '11212': 4}"
2020-08-17,222-222@627-s4k-psq,"{'10451': 4, '10452': 4, '11226': 4, '11230': 4}"
2020-08-17,222-222@627-s4m-4jv,"{'10031': 5, '11206': 4, '11370': 4, '11372': 4, '11377': 4}"
2020-08-17,222-222@627-s4m-75z,"{'10024': 5, '10025': 13, '10027': 8, '10031': 4, '10457': 4, '10458': 4, '10463': 4, '10471': 4, '10473': 4, '11208': 4, '11220': 6}"
2020-08-17,222-222@627-s4m-835,"{'10025': 8, '10028': 4, '10075': 4, '10452': 4, '11435': 4}"
2020-08-17,222-222@627-s4m-9j9,"{'10016': 4, '10017': 4, '10025': 10, '10029': 4, '10035': 4, '10452': 4, '10453': 4, '10457': 4, '10467': 4, '10472': 4, '11211': 4, '11421': 4}"
2020-08-17,222-222@627-s4m-bx5,"{'10014': 4, '10025': 4, '10467': 4}"
2020-08-17,222-222@627-s4m-ckf,"{'10025': 9, '10029': 5, '10466': 4}"
2020-08-17,222-222@627-s4m-ffz,"{'10002': 4, '10025': 4, '10026': 4, '11418': 4}"
2020-08-17,222-222@627-s4m-y7q,"{'10028': 4, '10029': 4, '10035': 4, '10128': 4}"
2020-08-17,222-222@627-s4n-2kz,"{'10002': 4, '10456': 4, '11214': 4}"
2020-08-17,222-222@627-s4n-2tv,"{'10028': 4, '10075': 4, '10454': 4, '10463': 4, '10468': 4, '11236': 4}"
2020-08-17,222-222@627-s4n-4y9,"{'10468': 4, '11212': 4, '11236': 4, '11377': 4, '11385': 8}"
2020-08-17,222-222@627-s4n-5fz,"{'10002': 4, '10021': 4, '10028': 4, '10075': 8, '11213': 4}"
2020-08-17,222-222@627-s4n-5mk,"{'10004': 4, '10006': 4, '10007': 4, '10021': 4, '10075': 4, '11223': 4, '11230': 4}"
