date_range_end,placekey,visitor
2021-06-21,222-222@627-s4k-cwk,"{'10025': 4, '10458': 4, '11212': 4}"
2021-06-21,222-222@627-s4k-d7q,"{'10025': 4, '10026': 4, '10033': 4, '10040': 4, '10128': 4}"
2021-06-21,222-222@627-s4k-kzz,"{'10004': 4, '10005': 4, '10024': 8, '10028': 4, '10038': 4, '10128': 4, '11385': 5}"
2021-06-21,222-222@627-s4k-nqz,"{'10001': 4, '10011': 4, '10018': 4, '10022': 4, '10024': 15, '10025': 15, '10463': 4, '10471': 4, '11203': 4, '11214': 4, '11418': 4, '11419': 4}"
2021-06-21,222-222@627-s4k-p35,"{'10007': 4, '10013': 4, '10030': 4, '10037': 4, '10039': 4, '10282': 4, '11239': 4, '11416': 4}"
2021-06-21,222-222@627-s4k-psq,"{'10024': 4, '10025': 4, '10459': 4, '10460': 4}"
2021-06-21,222-222@627-s4m-4jv,"{'10023': 4, '10025': 4, '10069': 4, '10453': 8}"
2021-06-21,222-222@627-s4m-75z,"{'10002': 4, '10025': 12, '10027': 8, '10031': 4, '10032': 4}"
2021-06-21,222-222@627-s4m-835,"{'10025': 4, '10031': 4, '10032': 4, '11103': 4, '11106': 4}"
2021-06-21,222-222@627-s4m-9j9,"{'10021': 4, '10023': 4, '10025': 11, '10029': 8, '10030': 4, '10035': 4, '10037': 4, '10065': 4, '10069': 4, '10462': 4, '10471': 7, '11422': 4}"
2021-06-21,222-222@627-s4m-btv,"{'10024': 4, '10025': 4, '10309': 4, '10312': 4, '10314': 4, '10455': 4, '10459': 8, '10460': 4}"
2021-06-21,222-222@627-s4m-ckf,"{'10025': 4, '10027': 4, '10030': 4, '10037': 4, '10039': 4, '11102': 4}"
2021-06-21,222-222@627-s4m-v4v,"{'10028': 4, '10029': 4, '10075': 4, '11208': 4}"
2021-06-21,222-222@627-s4m-vzz,"{'10454': 4, '11218': 4, '11226': 4}"
2021-06-21,222-222@627-s4m-y7q,"{'10021': 4, '10028': 4, '10075': 4, '11214': 4}"
2021-06-21,222-222@627-s4n-2tv,"{'10021': 8, '10028': 6, '10065': 4, '10075': 4, '10128': 6}"
2021-06-21,222-222@627-s4n-4y9,"{'10001': 4, '11354': 4, '11355': 4}"
2021-06-21,222-222@627-s4n-6c5,"{'10028': 4, '10031': 4, '10032': 4, '10075': 4, '10306': 4, '10467': 4, '10469': 4, '11237': 4, '11692': 4}"
2021-06-21,222-222@627-s4n-8sq,"{'10028': 4, '10128': 4, '10451': 4, '10456': 4}"
2021-06-21,222-222@627-s4n-b6k,"{'10028': 12, '10075': 4, '10128': 4, '10473': 4, '11207': 4}"
2021-06-21,222-222@627-s4n-hwk,"{'10455': 4, '11218': 4, '11368': 4, '11377': 5}"
2021-06-21,222-222@627-s4n-nbk,"{'10021': 4, '11208': 4, '11377': 4, '11414': 4}"
2021-06-21,222-222@627-s4n-q4v,"{'10029': 10, '10128': 4, '11218': 4}"
