ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10001,36061007100,0.0,0.03852718849061205,0.021712907117008445,0.015576599699088416
10001,36061009900,0.1545506882294447,0.10298301227342925,0.09449135504624046,0.1314275599610585
10001,36061005800,0.03935730360600827,0.07079574087620906,0.06956172094893445,0.05298403988553559
10001,36061010300,0.11859527921704087,0.02852962692026335,0.0671491757137113,0.08213116204973891
10001,36061008400,0.0021458104359658764,0.008290660814435503,0.016887816646562123,0.00545771012183969
10001,36061010100,0.06667713403464699,0.08217507924896367,0.0735826296743064,0.07280880313892085
10001,36061011100,0.05610509237452243,0.007559131919044135,0.025733815842380377,0.03625689589049178
10001,36061010900,0.0,0.1006258636105015,0.04784881383192602,0.040033041272088975
10001,36061009100,0.09357826974407285,0.05437698122409169,0.07237635705669482,0.0777944950880609
10001,36061009700,0.14502538336735227,0.004633016337478664,0.055890631282669884,0.08752986989999115
10001,36061005600,0.016590778248809338,0.012679834186783711,0.0008041817450743868,0.014013039502020827
10001,36061007600,0.13712252054220966,0.2504267251889783,0.20345798150381986,0.18311354987167006
10001,36061009500,0.0878212173548961,0.23506461838575957,0.22275834338560516,0.15116381980706256
10001,36061009300,0.08243052284503062,0.003332520523449565,0.027744270205066344,0.049709413812431776
10002,36061003601,0.03471908729018755,0.05001351716680184,0.055001608234158894,0.03687299701127075
10002,36061000202,0.0949850207247507,0.016220600162206,0.05339337407526536,0.08741132836412084
10002,36061000800,0.13489555546435752,0.13976750473100838,0.12254744290768736,0.13452882503330812
10002,36061001401,0.07986210858948578,0.013517166801838334,0.020907044065615953,0.07214360303914155
10002,36061002202,0.0004924693232650717,0.0002703433360367667,0.000643293663557414,0.00048611861294155776
10002,36061003002,0.0034883243731275906,0.004866180048661801,0.0019298809906722419,0.003492852255950452
10002,36061000600,0.14579143924159724,0.12435793457691267,0.09874557735606304,0.14173058226207194
10002,36061001800,0.09336397586900316,0.19708029197080293,0.17111611450627212,0.10462352814086637
10002,36061001402,0.043747691550047194,0.05596107055961071,0.047282084271469925,0.04475892117676713
10002,36061001001,0.03445233307341897,0.001892403352257367,0.0064329366355741395,0.030715494580677686
10002,36061001600,0.06475971600935691,0.2384428223844282,0.16403988420714055,0.08188397969104462
10002,36061003001,0.06283087782656872,0.09813463098134631,0.12833708587970408,0.0688487991069821
10002,36061001200,0.05027291008330939,0.011084076777507435,0.014795754261820521,0.045677145223434516
10002,36061001002,0.04920589321623507,0.003514463368477967,0.025088452878739145,0.04481293435598286
10002,36061002201,0.0826732876431239,0.03514463368477967,0.06336442586040528,0.07842713622123798
10002,36061000201,0.01986292937169122,0.009462016761286834,0.025088452878739145,0.01946274891073422
10002,36061002000,0.004596380350474002,0.0002703433360367667,0.001286587327114828,0.004123006013467286
10003,36061004000,0.14632981115107913,0.07159353348729793,0.1608695652173913,0.13934744388885084
10003,36061005502,0.008964703237410072,0.009237875288683603,0.008985507246376812,0.008996049957759664
10003,36061006400,0.030013489208633094,0.008398068444257821,0.020289855072463767,0.026896819416855035
10003,36061004800,0.13216614208633093,0.05374763804325005,0.11652173913043479,0.122405644222207
10003,36061005700,0.06657486510791367,0.058366575687591855,0.0327536231884058,0.06301801493252962
10003,36061006500,0.0,0.000419903422212891,0.0005797101449275362,9.133045642395598e-05
10003,36061003800,0.17007643884892087,0.12849044719714467,0.23478260869565218,0.17065095782816175
10003,36061003602,0.048645458633093525,0.03128280495486038,0.049855072463768114,0.04685252414548942
10003,36061005000,0.12772594424460432,0.12345160613058996,0.10666666666666667,0.12560221019704546
10003,36061005900,0.08467288669064749,0.045139617887885786,0.051014492753623186,0.07772221841678653
10003,36061004200,0.06019559352517986,0.037791307999160195,0.04028985507246377,0.05619106331483892
10003,36061005200,0.044598696043165464,0.22359857232836447,0.09043478260869565,0.06767586821015138
10003,36061006100,0.08003597122302158,0.20785219399538107,0.08695652173913043,0.09448135717058247
10003,36061006300,0.0,0.0006298551333193366,0.0,6.849784231796698e-05
10004,36061000900,0.42479338842975206,0.8036573628488932,0.843558282208589,0.6162935323383084
10004,36061000100,0.0,0.0009624639076034649,0.006134969325153374,0.0008291873963515755
10004,36061000700,0.0,0.0019249278152069298,0.003067484662576687,0.0010364842454394694
10004,36061001300,0.471900826446281,0.19104908565928777,0.13803680981595093,0.3283582089552239
10004,36061031704,0.10330578512396695,0.0009624639076034649,0.006134969325153374,0.052653399668325045
10004,36061031900,0.0,0.0014436958614051972,0.003067484662576687,0.0008291873963515755
10005,36061001502,0.015187737308395444,0.004217185028993147,0.0410958904109589,0.013763440860215054
10005,36061000700,0.9389677963718183,0.8576700052714813,0.9212328767123288,0.9218279569892474
10005,36061000900,0.045844466319786246,0.13811280969952558,0.03767123287671233,0.06440860215053763
10006,36061001300,1.0,1.0,1.0,1.0
10007,36061001501,0.02116527942925089,0.026879462410751787,0.0231023102310231,0.0232202447163515
10007,36061003300,0.1403091557669441,0.15371692566148676,0.11386138613861387,0.1425194660734149
10007,36061003900,0.0,0.00041999160016799666,0.0,0.00013904338153503893
10007,36061002100,0.8135552913198573,0.5653086938261235,0.7425742574257426,0.7253893214682982
10007,36061003100,0.023543400713436385,0.0251994960100798,0.037953795379537955,0.025305895439377085
10007,36061001300,0.001426872770511296,0.20999580008399832,0.057755775577557754,0.07522246941045606
10007,36061031703,0.0,0.00041999160016799666,0.0016501650165016502,0.00027808676307007786
10007,36061002900,0.0,0.018059638807223857,0.0231023102310231,0.00792547274749722
